T1	VARIABLE 3 24	development test data
T486	ROOT_SENTENCE 5545 5683	If additional model checks have been performed on the delivered model, then the check results shall be documented, numbered and addressed.
T487	VARIABLE 5926 5949	significant assumptions
T488	CONDITION 5950 5993	have been used in the modelling of the item
T489	VARIABLE 5995 5999	this
T490	CONDITION 6000 6029	shall be explicitly indicated
T491	STATEMENT 5995 6029	this shall be explicitly indicated
T492	STATEMENT 5926 5993	significant assumptions have been used in the modelling of the item
T493	NEGATION 5923 5993	no significant assumptions have been used in the modelling of the item
T494	CAUSE 5920 5993	If no significant assumptions have been used in the modelling of the item
T495	KEY_C 5920 5922	If
T496	CAUSE_EFFECT_RELATION 5920 6029	If no significant assumptions have been used in the modelling of the item, this shall be explicitly indicated
T497	ROOT_SENTENCE 5920 6030	If no significant assumptions have been used in the modelling of the item, this shall be explicitly indicated.
T498	VARIABLE 6035 6072	any other yield and failure criterion
T499	CONDITION 6073 6083	is applied
T500	STATEMENT 6035 6083	any other yield and failure criterion is applied
T501	CAUSE 6032 6083	If any other yield and failure criterion is applied
T502	KEY_C 6032 6034	If
T503	VARIABLE 6085 6111	proper stress index values
T504	CONDITION 6112 6131	shall be documented
T505	KEY_NC 6133 6137	e.g.
T506	VARIABLE 6138 6151	failure index
T507	CONDITION 6152 6166	for composites
T508	NONE_CAUSAL 6133 6166	e.g. failure index for composites
T509	STATEMENT 6085 6131	proper stress index values shall be documented
T510	CAUSE_EFFECT_RELATION 6032 6167	If any other yield and failure criterion is applied, proper stress index values shall be documented (e.g. failure index for composites)
T511	ROOT_SENTENCE 6032 6168	If any other yield and failure criterion is applied, proper stress index values shall be documented (e.g. failure index for composites).
T512	VARIABLE 6170 6177	The SSA
T513	CONDITION 6187 6226	include the information in this section
T514	NEGATION 6178 6226	need not include the information in this section
T515	STATEMENT 6170 6226	The SSA need not include the information in this section
T516	KEY_C 6227 6229	if
T517	VARIABLE 6230 6247	fracture analysis
T518	CONDITION 6255 6264	performed
T519	NEGATION 6248 6264	is not performed
T520	STATEMENT 6230 6264	fracture analysis is not performed
T521	CAUSE 6227 6264	if fracture analysis is not performed
T522	CAUSE_EFFECT_RELATION 6170 6264	The SSA need not include the information in this section if fracture analysis is not performed
T523	ROOT_SENTENCE 6170 6265	The SSA need not include the information in this section if fracture analysis is not performed.
T524	VARIABLE 6270 6290	a mathematical model
T525	CONDITION 6291 6327	is used to perform buckling analysis
T526	KEY_C 6267 6269	If
T527	STATEMENT 6270 6327	a mathematical model is used to perform buckling analysis
T528	CAUSE 6267 6327	If a mathematical model is used to perform buckling analysis
T529	VARIABLE 6329 6345	the related MMDD
T530	CONDITION 6346 6365	shall be referenced
T531	STATEMENT 6329 6365	the related MMDD shall be referenced
T532	CAUSE_EFFECT_RELATION 6267 6365	If a mathematical model is used to perform buckling analysis, the related MMDD shall be referenced
T533	ROOT_SENTENCE 6267 6366	If a mathematical model is used to perform buckling analysis, the related MMDD shall be referenced.
T534	VARIABLE 6368 6377	Reference
T535	CONDITION 6378 6415	shall be made to applicable documents
T536	CONDITION 6420 6429	available
T537	KEY_C 6417 6419	if
T538	CAUSE 6417 6429	if available
T539	STATEMENT 6368 6415	Reference shall be made to applicable documents
T540	CAUSE_EFFECT_RELATION 6368 6429	Reference shall be made to applicable documents, if available
T541	ROOT_SENTENCE 6368 6430	Reference shall be made to applicable documents, if available.
T542	KEY_C 6432 6434	If
T543	VARIABLE 6435 6462	test analytical predictions
T544	CONDITION 6463 6484	have been carried out
T545	STATEMENT 6435 6484	test analytical predictions have been carried out
T546	CAUSE 6432 6484	If test analytical predictions have been carried out
T547	VARIABLE 6486 6492	the TE
T548	CONDITION 6493 6533	shall summarize the main aspects of them
T549	CONDITION 6538 6580	reference documentation shall be indicated
T550	STATEMENT 6486 6533	the TE shall summarize the main aspects of them
T551	AND 6486 6580	the TE shall summarize the main aspects of them and reference documentation shall be indicated
T552	CAUSE_EFFECT_RELATION 6432 6580	If test analytical predictions have been carried out, the TE shall summarize the main aspects of them and reference documentation shall be indicated
T553	ROOT_SENTENCE 6432 6581	If test analytical predictions have been carried out, the TE shall summarize the main aspects of them and reference documentation shall be indicated.
T554	KEY_C 6583 6585	If
T555	VARIABLE 6586 6613	configuration discrepancies
T556	CONDITION 6614 6626	were present
T557	VARIABLE 6628 6634	the TE
T560	STATEMENT 6586 6626	configuration discrepancies were present
T561	CAUSE 6583 6626	If configuration discrepancies were present
T562	CAUSE_EFFECT_RELATION 6583 6725	If configuration discrepancies were present, the TE shall include copies of the formal discrepancy reports, including rationale for acceptance
T563	ROOT_SENTENCE 6583 6726	If configuration discrepancies were present, the TE shall include copies of the formal discrepancy reports, including rationale for acceptance.
T564	VARIABLE 6731 6739	4.2.3.5a
T565	CONDITION 6747 6750	met
T566	NEGATION 6740 6750	is not met
T567	STATEMENT 6731 6750	4.2.3.5a is not met
T568	CAUSE 6728 6750	If 4.2.3.5a is not met
T569	KEY_C 6728 6730	If
T570	VARIABLE 6752 6764	the hardware
T571	CONDITION 6765 6859	shall be submitted to re?acceptance as specified in clause 4.2.4.3 prior to acceptance for use
T572	STATEMENT 6752 6859	the hardware shall be submitted to re?acceptance as specified in clause 4.2.4.3 prior to acceptance for use
T573	CAUSE_EFFECT_RELATION 6728 6860	If 4.2.3.5a is not met, the hardware shall be submitted to re?acceptance as specified in clause 4.2.4.3 prior to acceptance for use.
T574	ROOT_SENTENCE 6728 6860	If 4.2.3.5a is not met, the hardware shall be submitted to re?acceptance as specified in clause 4.2.4.3 prior to acceptance for use.
T582	KEY_C 7336 7338	If
T583	VARIABLE 7339 7363	single points of failure
T584	CONDITION 7371 7381	be avoided
T585	NEGATION 7364 7381	cannot be avoided
T586	STATEMENT 7339 7381	single points of failure cannot be avoided
T587	CAUSE 7336 7381	If single points of failure cannot be avoided
T588	VARIABLE 7383 7387	they
T589	CONDITION 7388 7422	shall be justified by the supplier
T590	CONDITION 7427 7451	approved by the customer
T591	AND 7388 7451	shall be justified by the supplier and approved by the customer
T592	STATEMENT 7383 7451	they shall be justified by the supplier and approved by the customer
T593	CAUSE_EFFECT_RELATION 7336 7451	If single points of failure cannot be avoided, they shall be justified by the supplier and approved by the customer
T594	ROOT_SENTENCE 7336 7452	If single points of failure cannot be avoided, they shall be justified by the supplier and approved by the customer.
T595	KEY_C 7454 7456	If
T596	VARIABLE 7457 7480	operational constraints
T597	CONDITION 7481 7509	are imposed by the mechanism
T598	STATEMENT 7457 7509	operational constraints are imposed by the mechanism
T599	CAUSE 7454 7509	If operational constraints are imposed by the mechanism
T600	VARIABLE 7511 7515	they
T601	CONDITION 7516 7535	shall be identified
T602	CONDITION 7537 7546	justified
T603	CONDITION 7551 7575	approved by the customer
T604	AND 7537 7575	justified and approved by the customer
T605	AND 7516 7575	shall be identified, justified and approved by the customer
T606	STATEMENT 7511 7575	they shall be identified, justified and approved by the customer
T607	CAUSE_EFFECT_RELATION 7454 7575	If operational constraints are imposed by the mechanism, they shall be identified, justified and approved by the customer
T608	ROOT_SENTENCE 7454 7576	If operational constraints are imposed by the mechanism, they shall be identified, justified and approved by the customer.
T609	KEY_C 7835 7837	If
T610	VARIABLE 7838 7853	bearing preload
T611	CONDITION 7861 7900	measured after final mechanism assembly
T612	NEGATION 7854 7900	is not measured after final mechanism assembly
T613	STATEMENT 7838 7900	bearing preload is not measured after final mechanism assembly
T614	CAUSE 7835 7900	If bearing preload is not measured after final mechanism assembly
T615	VARIABLE 7902 7904	it
T616	CONDITION 7905 7972	shall be assessed by means of measurements approved by the customer
T617	STATEMENT 7902 7972	it shall be assessed by means of measurements approved by the customer
T618	CAUSE_EFFECT_RELATION 7835 7972	If bearing preload is not measured after final mechanism assembly, it shall be assessed by means of measurements approved by the customer
T619	KEY_C 8035 8037	if
T620	VARIABLE 8038 8046	latching
T621	CONDITION 8054 8098	achieved on the initial completion of motion
T622	NEGATION 8047 8098	is not achieved on the initial completion of motion
T623	CAUSE 8035 8098	if latching is not achieved on the initial completion of motion
T624	VARIABLE 7975 7985	The design
T625	CONDITION 7996 8034	prevent subsequent successful latching
T626	NEGATION 7986 8034	shall not prevent subsequent successful latching
T627	STATEMENT 7975 8034	The design shall not prevent subsequent successful latching
T628	STATEMENT 8038 8098	latching is not achieved on the initial completion of motion
T629	CAUSE_EFFECT_RELATION 7975 8098	The design shall not prevent subsequent successful latching if latching is not achieved on the initial completion of motion
T630	ROOT_SENTENCE 7975 8099	The design shall not prevent subsequent successful latching if latching is not achieved on the initial completion of motion.
T631	KEY_C 12259 12261	If
T632	VARIABLE 12262 12271	the label
T633	CONDITION 12279 12331	be placed between the inner and outer packaging film
T634	NEGATION 12272 12331	cannot be placed between the inner and outer packaging film
T635	STATEMENT 12262 12331	the label cannot be placed between the inner and outer packaging film
T636	CAUSE 12259 12331	If the label cannot be placed between the inner and outer packaging film
T637	VARIABLE 12333 12342	the label
T638	CONDITION 12343 12377	shall be enclosed in a plastic bag
T639	CONDITION 12381 12411	between layers of plastic film
T640	CONDITION 12416 12453	secured to the outside of the package
T641	OR 12343 12411	shall be enclosed in a plastic bag or between layers of plastic film
T642	AND 12343 12453	shall be enclosed in a plastic bag or between layers of plastic film and secured to the outside of the package
T643	STATEMENT 12333 12453	the label shall be enclosed in a plastic bag or between layers of plastic film and secured to the outside of the package
T644	CAUSE_EFFECT_RELATION 12259 12453	If the label cannot be placed between the inner and outer packaging film, the label shall be enclosed in a plastic bag or between layers of plastic film and secured to the outside of the package
T645	ROOT_SENTENCE 12259 12454	If the label cannot be placed between the inner and outer packaging film, the label shall be enclosed in a plastic bag or between layers of plastic film and secured to the outside of the package.
T646	VARIABLE 12135 12145	desiccants
T647	VARIABLE 12149 12168	humidity indicators
T648	OR 12135 12168	desiccants or humidity indicators
T649	CONDITION 12169 12217	are required for additional corrosion protection
T650	KEY_C 12132 12134	If
T651	CAUSE 12132 12217	If desiccants or humidity indicators are required for additional corrosion protection
T652	VARIABLE 12219 12223	they
T653	CONDITION 12224 12256	shall be placed in the outer bag
T654	STATEMENT 12219 12256	they shall be placed in the outer bag
T655	CAUSE_EFFECT_RELATION 12132 12256	If desiccants or humidity indicators are required for additional corrosion protection, they shall be placed in the outer bag
T656	ROOT_SENTENCE 12132 12257	If desiccants or humidity indicators are required for additional corrosion protection, they shall be placed in the outer bag.
T657	KEY_C 11986 11988	If
T658	VARIABLE 11992 12002	filtration
T659	CONDITION 12003 12033	is used in determining the NVR
T660	STATEMENT 11992 12033	filtration is used in determining the NVR
T661	NEGATION 11989 12033	no filtration is used in determining the NVR
T662	CAUSE 11986 12033	If no filtration is used in determining the NVR
T663	VARIABLE 12035 12084	the requirements on the maximum allowed NVR level
T664	CONDITION 12085 12129	shall be the same as when filtration is used
T665	STATEMENT 12035 12129	the requirements on the maximum allowed NVR level shall be the same as when filtration is used
T666	CAUSE_EFFECT_RELATION 11986 12129	If no filtration is used in determining the NVR, the requirements on the maximum allowed NVR level shall be the same as when filtration is used
T667	ROOT_SENTENCE 11986 12130	If no filtration is used in determining the NVR, the requirements on the maximum allowed NVR level shall be the same as when filtration is used.
T668	KEY_C 11943 11945	if
T669	VARIABLE 11946 11983	required for the specific application
T670	CAUSE 11943 11983	if required for the specific application
T671	VARIABLE 11879 11887	The oven
T672	CONDITION 11888 11903	shall be closed
T673	CONDITION 11905 11911	purged
T674	CONDITION 11916 11942	filled with inert test gas
T675	AND 11905 11942	purged and filled with inert test gas
T676	AND 11888 11942	shall be closed, purged and filled with inert test gas
T677	STATEMENT 11879 11942	The oven shall be closed, purged and filled with inert test gas
T678	CAUSE_EFFECT_RELATION 11879 11983	The oven shall be closed, purged and filled with inert test gas if required for the specific application
T679	ROOT_SENTENCE 11879 11984	The oven shall be closed, purged and filled with inert test gas if required for the specific application.
T682	KEY_C 11695 11702	only if
T683	VARIABLE 11703 11726	the process of abrasion
T684	CONDITION 11736 11789	lead to unacceptable damage of the item being cleaned
T685	NEGATION 11727 11789	does not lead to unacceptable damage of the item being cleaned
T686	STATEMENT 11703 11789	the process of abrasion does not lead to unacceptable damage of the item being cleaned
T687	CAUSE 11695 11789	only if the process of abrasion does not lead to unacceptable damage of the item being cleaned
T688	VARIABLE 11652 11675	Mechanical pre?cleaning
T689	CONDITION 11676 11694	shall be performed
T690	STATEMENT 11652 11694	Mechanical pre?cleaning shall be performed
T691	KEY_C 11527 11529	If
T692	VARIABLE 11530 11547	the final rinsing
T693	CONDITION 11555 11610	compatible with the operational fluid in the operations
T694	NEGATION 11548 11610	is not compatible with the operational fluid in the operations
T695	STATEMENT 11530 11610	the final rinsing is not compatible with the operational fluid in the operations
T696	CAUSE 11527 11610	If the final rinsing is not compatible with the operational fluid in the operations
T697	VARIABLE 11612 11649	remove any residual rinsing solutions
T698	CAUSE_EFFECT_RELATION 11527 11649	If the final rinsing is not compatible with the operational fluid in the operations, remove any residual rinsing solutions
T699	ROOT_SENTENCE 11527 11650	If the final rinsing is not compatible with the operational fluid in the operations, remove any residual rinsing solutions.
T706	KEY_C 11240 11242	if
T707	VARIABLE 11247 11268	functionally required
T708	NEGATION 11243 11268	not functionally required
T709	CAUSE 11240 11268	if not functionally required
T710	VARIABLE 11196 11202	Valves
T711	VARIABLE 11207 11217	regulators
T712	AND 11196 11217	Valves and regulators
T713	CONDITION 11218 11238	shall avoid cavities
T714	STATEMENT 11196 11238	Valves and regulators shall avoid cavities
T715	CAUSE_EFFECT_RELATION 11196 11268	Valves and regulators shall avoid cavities, if not functionally required
T716	ROOT_SENTENCE 11196 11269	Valves and regulators shall avoid cavities, if not functionally required.
T717	KEY_C 11042 11044	If
T718	VARIABLE 11045 11066	the operational loads
T719	CONDITION 11067 11117	are higher than the standardized environment loads
T720	STATEMENT 11045 11117	the operational loads are higher than the standardized environment loads
T721	CAUSE 11042 11117	If the operational loads are higher than the standardized environment loads
T723	CONDITION 11173 11193	shall be carried out
T724	STATEMENT 11119 11193	complementary qualification linked to these overloads shall be carried out
T725	CAUSE_EFFECT_RELATION 11042 11193	If the operational loads are higher than the standardized environment loads, complementary qualification linked to these overloads shall be carried out
T726	ROOT_SENTENCE 11042 11194	If the operational loads are higher than the standardized environment loads, complementary qualification linked to these overloads shall be carried out.
T727	KEY_C 10958 10960	If
T728	VARIABLE 10961 10980	closed loop systems
T729	CONDITION 10981 10989	are used
T730	VARIABLE 10991 11002	the sensors
T731	CONDITION 11003 11025	shall be characterized
T732	CONDITION 11030 11039	validated
T733	AND 11003 11039	shall be characterized and validated
T734	STATEMENT 10991 11039	the sensors shall be characterized and validated
T735	STATEMENT 10961 10989	closed loop systems are used
T736	CAUSE 10958 10989	If closed loop systems are used
T737	CAUSE_EFFECT_RELATION 10958 11039	If closed loop systems are used, the sensors shall be characterized and validated
T738	ROOT_SENTENCE 10958 11040	If closed loop systems are used, the sensors shall be characterized and validated.
T739	KEY_NC 10816 10822	During
T740	VARIABLE 10823 10832	transient
T741	NONE_CAUSAL 10816 10832	During transient
T742	KEY_C 10834 10836	if
T743	VARIABLE 10837 10848	coincidence
T744	CONDITION 10849 10856	appears
T745	STATEMENT 10837 10856	coincidence appears
T746	CAUSE 10834 10856	if coincidence appears
T747	VARIABLE 10858 10935	the life of the concerned component (in terms of number of cycle and duration
T748	CONDITION 10937 10955	shall be justified
T749	STATEMENT 10858 10955	the life of the concerned component (in terms of number of cycle and duration) shall be justified
T750	CAUSE_EFFECT_RELATION 10816 10955	During transient, if coincidence appears, the life of the concerned component (in terms of number of cycle and duration) shall be justified
T751	ROOT_SENTENCE 10816 10956	During transient, if coincidence appears, the life of the concerned component (in terms of number of cycle and duration) shall be justified.
T752	KEY_C 10657 10659	If
T753	VARIABLE 10660 10665	there
T754	CONDITION 10666 10730	are specific requirements on the angular position of the igniter
T755	VARIABLE 10732 10742	the design
T756	CONDITION 10743 10756	shall be such
T757	KEY_NC 10757 10761	that
T758	NONE_CAUSAL 10757 10813	that mounting can only be done in the specified position
T759	STATEMENT 10732 10756	the design shall be such
T760	STATEMENT 10660 10730	there are specific requirements on the angular position of the igniter
T761	CAUSE 10657 10730	If there are specific requirements on the angular position of the igniter
T762	CAUSE_EFFECT_RELATION 10657 10813	If there are specific requirements on the angular position of the igniter, the design shall be such that mounting can only be done in the specified position
T763	ROOT_SENTENCE 10657 10814	If there are specific requirements on the angular position of the igniter, the design shall be such that mounting can only be done in the specified position.
T764	KEY_C 10519 10521	If
T765	VARIABLE 10522 10548	a liquid propulsion system
T766	CONDITION 10549 10601	is expected to be activated after a ballistic flight
T767	STATEMENT 10522 10601	a liquid propulsion system is expected to be activated after a ballistic flight
T768	CAUSE 10519 10601	If a liquid propulsion system is expected to be activated after a ballistic flight
T769	VARIABLE 10603 10633	a propellant settling analysis
T770	CONDITION 10634 10654	shall be carried out
T771	STATEMENT 10603 10654	a propellant settling analysis shall be carried out
T772	CAUSE_EFFECT_RELATION 10519 10654	If a liquid propulsion system is expected to be activated after a ballistic flight, a propellant settling analysis shall be carried out
T773	ROOT_SENTENCE 10519 10655	If a liquid propulsion system is expected to be activated after a ballistic flight, a propellant settling analysis shall be carried out.
T774	KEY_C 10293 10295	If
T775	VARIABLE 10296 10314	in?flight draining
T776	CONDITION 10322 10407	be performed through the flow paths for the normal operation of the propulsion system
T777	NEGATION 10315 10407	cannot be performed through the flow paths for the normal operation of the propulsion system
T778	STATEMENT 10296 10407	in?flight draining cannot be performed through the flow paths for the normal operation of the propulsion system
T779	CAUSE 10293 10407	If in?flight draining cannot be performed through the flow paths for the normal operation of the propulsion system
T780	VARIABLE 10409 10423	specific lines
T781	VARIABLE 10427 10433	valves
T782	CONDITION 10434 10516	shall be incorporated in the liquid propulsion system to enable in?flight draining
T783	OR 10409 10433	specific lines or valves
T784	STATEMENT 10409 10516	specific lines or valves shall be incorporated in the liquid propulsion system to enable in?flight draining
T785	CAUSE_EFFECT_RELATION 10293 10516	If in?flight draining cannot be performed through the flow paths for the normal operation of the propulsion system, specific lines or valves shall be incorporated in the liquid propulsion system to enable in?flight draining
T786	KEY_C 10102 10104	If
T787	VARIABLE 10105 10114	the AR?Tr
T788	CONDITION 10115 10142	is split in several volumes
T789	STATEMENT 10105 10142	the AR?Tr is split in several volumes
T790	CAUSE 10102 10142	If the AR?Tr is split in several volumes
T791	VARIABLE 10144 10155	each volume
T792	CONDITION 10156 10203	shall clearly cross?reference the other volumes
T793	KEY_NC 10205 10214	including
T794	NONE_CAUSAL 10205 10290	including their revision status and relation to the applicable design definition file
T795	STATEMENT 10144 10203	each volume shall clearly cross?reference the other volumes
T796	CAUSE_EFFECT_RELATION 10102 10290	If the AR?Tr is split in several volumes, each volume shall clearly cross?reference the other volumes, including their revision status and relation to the applicable design definition file
T797	ROOT_SENTENCE 10102 10291	If the AR?Tr is split in several volumes, each volume shall clearly cross?reference the other volumes, including their revision status and relation to the applicable design definition file.
T798	VARIABLE 10035 10044	modelling
T799	KEY_C 10032 10034	If
T800	CONDITION 10045 10052	is used
T801	STATEMENT 10035 10052	modelling is used
T802	CAUSE 10032 10052	If modelling is used
T803	VARIABLE 10054 10064	the models
T804	CONDITION 10065 10084	shall be referenced
T805	CONDITION 10089 10099	summarized
T806	AND 10065 10099	shall be referenced and summarized
T807	STATEMENT 10054 10099	the models shall be referenced and summarized
T808	CAUSE_EFFECT_RELATION 10032 10099	If modelling is used, the models shall be referenced and summarized
T809	ROOT_SENTENCE 10032 10100	If modelling is used, the models shall be referenced and summarized.
T810	VARIABLE 9916 9935	data from modelling
T811	CONDITION 9941 9967	within the project is used
T812	NEGATION 9937 9967	not within the project is used
T813	STATEMENT 9916 9967	data from modelling, not within the project is used
T814	KEY_C 9913 9915	If
T815	CAUSE 9913 9967	If data from modelling, not within the project is used
T817	CONDITION 10010 10029	shall be referenced
T818	STATEMENT 9969 10029	the models from which this data results, shall be referenced
T819	CAUSE_EFFECT_RELATION 9913 10029	If data from modelling, not within the project is used, the models from which this data results, shall be referenced
T820	ROOT_SENTENCE 9913 10030	If data from modelling, not within the project is used, the models from which this data results, shall be referenced.
T821	KEY_C 9811 9813	If
T822	VARIABLE 9814 9837	experimental input data
T823	CONDITION 9838 9845	is used
T824	STATEMENT 9814 9845	experimental input data is used
T825	CAUSE 9811 9845	If experimental input data is used
T826	VARIABLE 9847 9883	a description of the test conditions
T827	CONDITION 9884 9910	shall be given in the AR?P
T828	STATEMENT 9847 9910	a description of the test conditions shall be given in the AR?P
T829	CAUSE_EFFECT_RELATION 9811 9910	If experimental input data is used, a description of the test conditions shall be given in the AR?P
T830	ROOT_SENTENCE 9811 9911	If experimental input data is used, a description of the test conditions shall be given in the AR?P.
T831	KEY_C 9598 9600	If
T832	VARIABLE 9601 9624	experimental input data
T833	CONDITION 9625 9632	is used
T834	VARIABLE 9634 9647	the test plan
T835	VARIABLE 9649 9664	test procedures
T836	VARIABLE 9666 9699	individual test item descriptions
T837	VARIABLE 9705 9788	existing deviations from the generic design on which the experimental data is based
T838	AND 9666 9788	individual test item descriptions, and existing deviations from the generic design on which the experimental data is based
T839	AND 9649 9788	test procedures, individual test item descriptions, and existing deviations from the generic design on which the experimental data is based
T840	AND 9634 9788	the test plan, test procedures, individual test item descriptions, and existing deviations from the generic design on which the experimental data is based
T841	CONDITION 9789 9808	shall be referenced
T842	STATEMENT 9634 9808	the test plan, test procedures, individual test item descriptions, and existing deviations from the generic design on which the experimental data is based shall be referenced
T843	STATEMENT 9601 9632	experimental input data is used
T844	CAUSE 9598 9632	If experimental input data is used
T845	CAUSE_EFFECT_RELATION 9598 9808	If experimental input data is used, the test plan, test procedures, individual test item descriptions, and existing deviations from the generic design on which the experimental data is based shall be referenced
T846	ROOT_SENTENCE 9598 9809	If experimental input data is used, the test plan, test procedures, individual test item descriptions, and existing deviations from the generic design on which the experimental data is based shall be referenced.
T847	VARIABLE 9486 9509	experimental input data
T848	CONDITION 9510 9517	is used
T849	STATEMENT 9486 9517	experimental input data is used
T850	KEY_C 9483 9485	If
T851	CAUSE 9483 9517	If experimental input data is used
T852	VARIABLE 9519 9533	the data sheet
T853	VARIABLE 9537 9549	test results
T854	CONDITION 9550 9569	shall be referenced
T855	CONDITION 9573 9595	reproduced in the AR?P
T856	OR 9550 9595	shall be referenced or reproduced in the AR?P
T857	OR 9519 9549	the data sheet or test results
T858	STATEMENT 9519 9595	the data sheet or test results shall be referenced or reproduced in the AR?P
T859	CAUSE_EFFECT_RELATION 9483 9595	If experimental input data is used, the data sheet or test results shall be referenced or reproduced in the AR?P
T860	ROOT_SENTENCE 9483 9596	If experimental input data is used, the data sheet or test results shall be referenced or reproduced in the AR?P.
T861	VARIABLE 9343 9350	the GSE
T862	CONDITION 9351 9427	is intended to be used in the vicinity of inflammable or explosive materials
T863	STATEMENT 9343 9427	the GSE is intended to be used in the vicinity of inflammable or explosive materials
T864	KEY_C 9340 9342	If
T865	CAUSE 9340 9427	If the GSE is intended to be used in the vicinity of inflammable or explosive materials
T866	VARIABLE 9429 9461	inadvertent electrical discharge
T867	CONDITION 9462 9480	shall be prevented
T868	STATEMENT 9429 9480	inadvertent electrical discharge shall be prevented
T869	CAUSE_EFFECT_RELATION 9340 9480	If the GSE is intended to be used in the vicinity of inflammable or explosive materials, inadvertent electrical discharge shall be prevented
T870	ROOT_SENTENCE 9340 9481	If the GSE is intended to be used in the vicinity of inflammable or explosive materials, inadvertent electrical discharge shall be prevented.
T871	KEY_C 9138 9140	If
T872	KEY_C 9015 9017	If
T873	KEY_C 8878 8880	If
T874	KEY_C 8708 8710	If
T875	KEY_C 8513 8515	If
T877	VARIABLE 9141 9147	fluids
T878	CONDITION 9148 9166	are used to dilute
T879	CONDITION 9168 9177	ventilate
T880	CONDITION 9181 9264	purge areas where hazardous concentrations of fluids can be expected due to leakage
T881	OR 9168 9264	ventilate or purge areas where hazardous concentrations of fluids can be expected due to leakage
T882	OR 9148 9264	are used to dilute, ventilate or purge areas where hazardous concentrations of fluids can be expected due to leakage
T883	STATEMENT 9141 9264	fluids are used to dilute, ventilate or purge areas where hazardous concentrations of fluids can be expected due to leakage
T884	CAUSE 9138 9264	If fluids are used to dilute, ventilate or purge areas where hazardous concentrations of fluids can be expected due to leakage
T885	VARIABLE 9266 9292	the amount of these fluids
T886	CONDITION 9293 9337	shall be accounted for in the leakage budget
T887	STATEMENT 9266 9337	the amount of these fluids shall be accounted for in the leakage budget
T888	CAUSE_EFFECT_RELATION 9138 9337	If fluids are used to dilute, ventilate or purge areas where hazardous concentrations of fluids can be expected due to leakage, the amount of these fluids shall be accounted for in the leakage budget
T889	ROOT_SENTENCE 9138 9338	If fluids are used to dilute, ventilate or purge areas where hazardous concentrations of fluids can be expected due to leakage, the amount of these fluids shall be accounted for in the leakage budget.
T890	VARIABLE 9018 9043	nuclear generator systems
T891	CONDITION 9044 9056	are employed
T892	STATEMENT 9018 9056	nuclear generator systems are employed
T893	CAUSE 9015 9056	If nuclear generator systems are employed
T894	VARIABLE 9058 9112	the effects of radiation from them on crew and systems
T895	CONDITION 9113 9135	are carefully assessed
T896	STATEMENT 9058 9135	the effects of radiation from them on crew and systems are carefully assessed
T897	CAUSE_EFFECT_RELATION 9015 9135	If nuclear generator systems are employed, the effects of radiation from them on crew and systems are carefully assessed
T898	ROOT_SENTENCE 9015 9136	If nuclear generator systems are employed, the effects of radiation from them on crew and systems are carefully assessed.
T899	VARIABLE 8881 8893	test results
T900	CONDITION 8901 8918	match predictions
T901	NEGATION 8894 8918	do not match predictions
T902	STATEMENT 8881 8918	test results do not match predictions
T903	CAUSE 8878 8918	If test results do not match predictions
T904	VARIABLE 8920 8950	the reason of the disagreement
T905	CONDITION 8951 8965	shall be found
T906	STATEMENT 8920 8965	the reason of the disagreement shall be found
T907	VARIABLE 8971 8983	the analysis
T908	CONDITION 8984 9012	shall be updated accordingly
T909	STATEMENT 8971 9012	the analysis shall be updated accordingly
T910	AND 8920 9012	the reason of the disagreement shall be found, and the analysis shall be updated accordingly
T911	CAUSE_EFFECT_RELATION 8878 9012	If test results do not match predictions, the reason of the disagreement shall be found, and the analysis shall be updated accordingly
T912	ROOT_SENTENCE 8878 9013	If test results do not match predictions, the reason of the disagreement shall be found, and the analysis shall be updated accordingly.
T913	VARIABLE 8711 8733	the sampling frequency
T914	CONDITION 8734 8773	results in aliasing of the sampled data
T915	STATEMENT 8711 8773	the sampling frequency results in aliasing of the sampled data
T916	CAUSE 8708 8773	If the sampling frequency results in aliasing of the sampled data
T917	VARIABLE 8775 8861	an anti?aliasing filter to reduce the bandwidth of the analogue signal (to be sampled)
T918	CONDITION 8862 8875	shall be used
T919	STATEMENT 8775 8875	an anti?aliasing filter to reduce the bandwidth of the analogue signal (to be sampled) shall be used
T920	CAUSE_EFFECT_RELATION 8708 8875	If the sampling frequency results in aliasing of the sampled data, an anti?aliasing filter to reduce the bandwidth of the analogue signal (to be sampled) shall be used
T921	ROOT_SENTENCE 8708 8876	If the sampling frequency results in aliasing of the sampled data, an anti?aliasing filter to reduce the bandwidth of the analogue signal (to be sampled) shall be used.
T922	VARIABLE 8516 8526	electronic
T923	VARIABLE 8530 8551	electrical components
T924	OR 8516 8551	electronic or electrical components
T925	CONDITION 8552 8577	are mounted internally to
T926	CONDITION 8581 8608	externally on the mechanism
T927	OR 8552 8608	are mounted internally to or externally on the mechanism
T928	STATEMENT 8516 8608	electronic or electrical components are mounted internally to or externally on the mechanism
T929	CAUSE 8513 8608	If electronic or electrical components are mounted internally to or externally on the mechanism
T930	VARIABLE 8609 8631	a ground bonding strap
T931	CONDITION 8632 8675	shall be used between the mechanism housing
T932	CONDITION 8680 8705	the mounting ground plane
T933	AND 8632 8705	shall be used between the mechanism housing and the mounting ground plane
T934	STATEMENT 8609 8705	a ground bonding strap shall be used between the mechanism housing and the mounting ground plane
