T1	VARIABLE 0 22	Some open site testing
T438	ROOT_SENTENCE 11903 11994	If result is "Success," the data field contains the information as specified in Table 4.11.
T439	VARIABLE 11755 11769	The data field
T440	VARIABLE 11871 11883	the InfoType
T441	CONDITION 11891 11900	supported
T442	NEGATION 11884 11900	is not supported
T443	STATEMENT 11871 11900	the InfoType is not supported
T444	CAUSE 11868 11900	if the InfoType is not supported
T445	KEY_C 11868 11870	if
T446	CONDITION 11853 11867	shall be empty
T447	CONDITION 11770 11848	shall contain the value associated with the InfoType field sent in the Request
T448	OR 11770 11867	shall contain the value associated with the InfoType field sent in the Request, or shall be empty
T449	STATEMENT 11755 11867	The data field shall contain the value associated with the InfoType field sent in the Request, or shall be empty
T450	CAUSE_EFFECT_RELATION 11755 11900	The data field shall contain the value associated with the InfoType field sent in the Request, or shall be empty if the InfoType is not supported
T451	ROOT_SENTENCE 11755 11901	The data field shall contain the value associated with the InfoType field sent in the Request, or shall be empty if the InfoType is not supported.
T452	VARIABLE 11686 11700	L2CAP entities
T453	CONDITION 11701 11727	should ignore the contents
T454	CONDITION 11731 11741	this field
T455	KEY_C 11742 11744	if
T456	VARIABLE 11745 11752	present
T457	CAUSE 11742 11752	if present
T458	OR 11701 11741	should ignore the contents of this field
T459	STATEMENT 11686 11741	L2CAP entities should ignore the contents of this field
T460	CAUSE_EFFECT_RELATION 11686 11752	L2CAP entities should ignore the contents of this field if present
T461	ROOT_SENTENCE 11686 11753	L2CAP entities should ignore the contents of this field if present.
T462	KEY_C 11600 11602	If
T463	VARIABLE 11603 11611	the CIDs
T464	CONDITION 11619 11624	match
T465	VARIABLE 11626 11638	the response
T466	CONDITION 11639 11683	should be silently discarded at the receiver
T467	STATEMENT 11626 11683	the response should be silently discarded at the receiver
T468	NEGATION 11612 11624	do not match
T469	STATEMENT 11603 11624	the CIDs do not match
T470	CAUSE 11600 11624	If the CIDs do not match
T471	CAUSE_EFFECT_RELATION 11600 11683	If the CIDs do not match, the response should be silently discarded at the receiver
T472	ROOT_SENTENCE 11600 11684	If the CIDs do not match, the response should be silently discarded at the receiver.
T473	KEY_C 11479 11481	If
T474	VARIABLE 11482 11494	the receiver
T475	CONDITION 11495 11513	finds a DCID match
T476	VARIABLE 11518 11526	the SCID
T477	CONDITION 11527 11555	fails to find the same match
T478	STATEMENT 11482 11513	the receiver finds a DCID match
T479	STATEMENT 11518 11555	the SCID fails to find the same match
T480	VARIABLE 11557 11568	the request
T481	CONDITION 11569 11597	should be silently discarded
T482	KEY_C 11333 11335	If
T483	VARIABLE 11336 11344	the DCID
T484	CONDITION 11352 11394	recognized by the receiver of this message
T485	NEGATION 11345 11394	is not recognized by the receiver of this message
T486	STATEMENT 11336 11394	the DCID is not recognized by the receiver of this message
T487	VARIABLE 11396 11419	a CommandReject message
T488	CONDITION 11420 11476	with ’invalid CID’ result code shall be sent in response
T489	STATEMENT 11396 11476	a CommandReject message with ’invalid CID’ result code shall be sent in response
T490	CAUSE 11333 11394	If the DCID is not recognized by the receiver of this message
T491	CAUSE_EFFECT_RELATION 11333 11476	If the DCID is not recognized by the receiver of this message, a CommandReject message with ’invalid CID’ result code shall be sent in response
T492	VARIABLE 11241 11246	Hints
T493	CONDITION 11247 11279	are those options in the Request
T494	CONDITION 11280 11296	that are skipped
T495	KEY_C 11297 11299	if
T496	CONDITION 11304 11330	understood (see Section 5)
T497	NEGATION 11300 11330	not understood (see Section 5)
T498	CAUSE 11297 11330	if not understood (see Section 5)
T499	AND 11247 11296	are those options in the Request that are skipped
T500	STATEMENT 11241 11296	Hints are those options in the Request that are skipped
T501	CAUSE_EFFECT_RELATION 11241 11330	Hints are those options in the Request that are skipped if not understood (see Section 5)
T502	ROOT_SENTENCE 11241 11331	Hints are those options in the Request that are skipped if not understood (see Section 5).
T509	KEY_C 10911 10913	If
T510	VARIABLE 10914 10925	all options
T511	CONDITION 10926 10956	fit into the receiver's MTUsig
T512	KEY_C 10958 10962	then
T513	VARIABLE 10963 10967	they
T514	CONDITION 10968 11015	shall be sent in a single configuration request
T515	CONDITION 11016 11054	with the continuation flag set to zero
T516	AND 10968 11054	shall be sent in a single configuration request with the continuation flag set to zero
T517	STATEMENT 10963 11054	they shall be sent in a single configuration request with the continuation flag set to zero
T518	EFFECT 10958 11054	then they shall be sent in a single configuration request with the continuation flag set to zero
T519	STATEMENT 10914 10956	all options fit into the receiver's MTUsig
T520	CAUSE 10911 10956	If all options fit into the receiver's MTUsig
T521	CAUSE_EFFECT_RELATION 10911 11054	If all options fit into the receiver's MTUsig, then they shall be sent in a single configuration request with the continuation flag set to zero
T522	ROOT_SENTENCE 10911 11055	If all options fit into the receiver's MTUsig, then they shall be sent in a single configuration request with the continuation flag set to zero.
T529	KEY_C 10523 10525	If
T530	VARIABLE 10526 10537	the channel
T531	CONDITION 10538 10567	is configured to use "No FCS"
T532	KEY_C 10569 10573	then
T533	VARIABLE 10574 10581	the PDU
T534	CONDITION 10582 10629	is considered to have a good FCS (no FCS error)
T535	STATEMENT 10574 10629	the PDU is considered to have a good FCS (no FCS error)
T536	EFFECT 10569 10629	then the PDU is considered to have a good FCS (no FCS error)
T537	STATEMENT 10526 10567	the channel is configured to use "No FCS"
T538	CAUSE 10523 10567	If the channel is configured to use "No FCS"
T539	CAUSE_EFFECT_RELATION 10523 10629	If the channel is configured to use "No FCS", then the PDU is considered to have a good FCS (no FCS error)
T540	ROOT_SENTENCE 10523 10630	If the channel is configured to use "No FCS", then the PDU is considered to have a good FCS (no FCS error).
T541	KEY_C 10462 10464	If
T542	VARIABLE 10465 10472	the PDU
T543	CONDITION 10473 10494	contains an FCS error
T544	KEY_C 10496 10500	then
T545	VARIABLE 10501 10503	it
T546	CONDITION 10504 10520	shall be ignored
T547	STATEMENT 10501 10520	it shall be ignored
T548	EFFECT 10496 10520	then it shall be ignored
T549	STATEMENT 10465 10494	the PDU contains an FCS error
T550	CAUSE 10462 10494	If the PDU contains an FCS error
T551	KEY_C 10399 10401	If
T552	VARIABLE 10402 10409	the PDU
T553	CONDITION 10410 10433	contains an unknown CID
T554	KEY_C 10435 10439	then
T555	VARIABLE 10440 10442	it
T556	CONDITION 10443 10459	shall be ignored
T557	STATEMENT 10440 10459	it shall be ignored
T558	EFFECT 10435 10459	then it shall be ignored
T559	STATEMENT 10402 10433	the PDU contains an unknown CID
T560	CAUSE 10399 10433	If the PDU contains an unknown CID
T561	CAUSE_EFFECT_RELATION 10399 10459	If the PDU contains an unknown CID, then it shall be ignored
T562	ROOT_SENTENCE 10399 10460	If the PDU contains an unknown CID, then it shall be ignored.
T563	VARIABLE 10308 10337	Many multiplexed applications
T564	CONDITION 10338 10355	are better served
T565	KEY_C 10356 10358	if
T566	VARIABLE 10359 10364	L2CAP
T567	CONDITION 10365 10396	has control over the PDU length
T568	STATEMENT 10359 10396	L2CAP has control over the PDU length
T569	CAUSE 10356 10396	if L2CAP has control over the PDU length
T570	STATEMENT 10308 10355	Many multiplexed applications are better served
T571	CAUSE_EFFECT_RELATION 10308 10396	Many multiplexed applications are better served if L2CAP has control over the PDU length
T572	ROOT_SENTENCE 10308 10397	Many multiplexed applications are better served if L2CAP has control over the PDU length.
T573	KEY_C 10190 10192	If
T574	VARIABLE 10193 10211	this specification
T575	CONDITION 10219 10282	the final version adopted by Bluetooth SIG’s Board of Directors
T576	NEGATION 10212 10282	is not the final version adopted by Bluetooth SIG’s Board of Directors
T577	STATEMENT 10193 10282	this specification is not the final version adopted by Bluetooth SIG’s Board of Directors
T578	CAUSE 10190 10282	If this specification is not the final version adopted by Bluetooth SIG’s Board of Directors
T579	VARIABLE 10284 10286	it
T580	CONDITION 10295 10305	be adopted
T581	NEGATION 10287 10305	may not be adopted
T582	STATEMENT 10284 10305	it may not be adopted
T583	CAUSE_EFFECT_RELATION 10190 10305	If this specification is not the final version adopted by Bluetooth SIG’s Board of Directors, it may not be adopted
T584	ROOT_SENTENCE 10190 10306	If this specification is not the final version adopted by Bluetooth SIG’s Board of Directors, it may not be adopted.
T585	KEY_C 9864 9866	If
T586	VARIABLE 9867 9877	this check
T587	CONDITION 9878 9883	fails
T588	VARIABLE 9885 9887	it
T589	CONDITION 9888 9897	indicates
T590	KEY_C 9898 9902	that
T591	VARIABLE 9903 9924	the initiating device
T592	CONDITION 9933 9954	confirmed the pairing
T593	NEGATION 9925 9954	has not confirmed the pairing
T594	VARIABLE 9960 9972	the protocol
T595	CONDITION 9973 9988	must be aborted
T596	STATEMENT 9960 9988	the protocol must be aborted
T597	STATEMENT 9903 9954	the initiating device has not confirmed the pairing
T598	AND 9903 9988	the initiating device has not confirmed the pairing, and the protocol must be aborted
T599	EFFECT 9898 9988	that the initiating device has not confirmed the pairing, and the protocol must be aborted
T600	STATEMENT 9885 9897	it indicates
T601	AND 9885 9988	it indicates that the initiating device has not confirmed the pairing, and the protocol must be aborted
T602	STATEMENT 9867 9883	this check fails
T603	CAUSE 9864 9883	If this check fails
T604	CAUSE_EFFECT_RELATION 9864 9988	If this check fails, it indicates that the initiating device has not confirmed the pairing, and the protocol must be aborted
T605	ROOT_SENTENCE 9864 9989	If this check fails, it indicates that the initiating device has not confirmed the pairing, and the protocol must be aborted.
T606	KEY_C 9767 9769	If
T607	VARIABLE 9770 9778	a device
T608	CONDITION 9779 9795	has received OOB
T609	VARIABLE 9797 9799	it
T610	CONDITION 9800 9861	sets the peer's r value to what was sent by the peer (Step 5)
T611	STATEMENT 9797 9861	it sets the peer's r value to what was sent by the peer (Step 5)
T612	STATEMENT 9770 9795	a device has received OOB
T613	CAUSE 9767 9795	If a device has received OOB
T614	CAUSE_EFFECT_RELATION 9767 9861	If a device has received OOB, it sets the peer's r value to what was sent by the peer (Step 5)
T615	ROOT_SENTENCE 9767 9862	If a device has received OOB, it sets the peer's r value to what was sent by the peer (Step 5).
T616	KEY_C 9652 9654	If
T617	VARIABLE 9655 9656	r
T618	CONDITION 9664 9680	sent by a device
T619	NEGATION 9657 9680	is not sent by a device
T620	STATEMENT 9655 9680	r is not sent by a device
T621	CAUSE 9652 9680	If r is not sent by a device
T622	VARIABLE 9682 9684	it
T623	CONDITION 9685 9764	is assumed to be 0 by the device receiving the OOB information in step 4a or 4b
T624	STATEMENT 9682 9764	it is assumed to be 0 by the device receiving the OOB information in step 4a or 4b
T625	CAUSE_EFFECT_RELATION 9652 9764	If r is not sent by a device, it is assumed to be 0 by the device receiving the OOB information in step 4a or 4b
T626	ROOT_SENTENCE 9652 9765	If r is not sent by a device, it is assumed to be 0 by the device receiving the OOB information in step 4a or 4b.
T627	KEY_C 9459 9461	If
T628	VARIABLE 9462 9474	the attacker
T629	CONDITION 9475 9524	first exchanges nonces with the responding device
T630	VARIABLE 9526 9528	it
T631	CONDITION 9529 9553	must commit to the nonce
T632	KEY_C 9554 9558	that
T633	VARIABLE 9559 9561	it
T634	CONDITION 9562 9649	will use with the initiating device before it sees the nonce from the initiating device
T635	STATEMENT 9462 9524	the attacker first exchanges nonces with the responding device
T636	STATEMENT 9559 9649	it will use with the initiating device before it sees the nonce from the initiating device
T637	EFFECT 9554 9649	that it will use with the initiating device before it sees the nonce from the initiating device
T638	STATEMENT 9526 9553	it must commit to the nonce
T639	CAUSE 9459 9524	If the attacker first exchanges nonces with the responding device
T640	AND 9526 9649	it must commit to the nonce that it will use with the initiating device before it sees the nonce from the initiating device
T641	CAUSE_EFFECT_RELATION 9459 9649	If the attacker first exchanges nonces with the responding device, it must commit to the nonce that it will use with the initiating device before it sees the nonce from the initiating device
T642	ROOT_SENTENCE 9459 9650	If the attacker first exchanges nonces with the responding device, it must commit to the nonce that it will use with the initiating device before it sees the nonce from the initiating device.
T652	KEY_C 8987 8989	If
T653	VARIABLE 8990 9013	a legacy authentication
T654	CONDITION 9014 9027	is successful
T655	VARIABLE 9029 9060	the value of ACO as produced by
T656	CONDITION 9061 9078	shall be retained
T657	STATEMENT 9029 9078	the value of ACO as produced by shall be retained
T658	STATEMENT 8990 9027	a legacy authentication is successful
T659	CAUSE 8987 9027	If a legacy authentication is successful
T660	CAUSE_EFFECT_RELATION 8987 9078	If a legacy authentication is successful, the value of ACO as produced by shall be retained
T661	ROOT_SENTENCE 8987 9079	If a legacy authentication is successful, the value of ACO as produced by shall be retained.
T662	KEY_C 8870 8872	If
T663	VARIABLE 8873 8883	the master
T664	CONDITION 8884 8932	has already negotiated with some of these slaves
T665	VARIABLE 8934 8936	it
T666	CONDITION 8937 8984	has knowledge of the sizes that can be accepted
T667	STATEMENT 8934 8984	it has knowledge of the sizes that can be accepted
T668	STATEMENT 8873 8932	the master has already negotiated with some of these slaves
T669	CAUSE 8870 8932	If the master has already negotiated with some of these slaves
T670	CAUSE_EFFECT_RELATION 8870 8984	If the master has already negotiated with some of these slaves, it has knowledge of the sizes that can be accepted
T671	ROOT_SENTENCE 8870 8985	If the master has already negotiated with some of these slaves, it has knowledge of the sizes that can be accepted.
T672	KEY_C 8777 8779	If
T673	VARIABLE 8780 8800	the current link key
T674	CONDITION 8801 8816	is a master key
T675	KEY_C 8818 8822	then
T676	VARIABLE 8823 8826	COF
T677	CONDITION 8827 8867	shall be derived from the master BD_ADDR
T678	STATEMENT 8823 8867	COF shall be derived from the master BD_ADDR
T679	EFFECT 8818 8867	then COF shall be derived from the master BD_ADDR
T680	STATEMENT 8780 8816	the current link key is a master key
T681	CAUSE 8777 8816	If the current link key is a master key
T682	CAUSE_EFFECT_RELATION 8777 8867	If the current link key is a master key, then COF shall be derived from the master BD_ADDR
T683	ROOT_SENTENCE 8777 8868	If the current link key is a master key, then COF shall be derived from the master BD_ADDR.
T684	KEY_C 8648 8650	If
T685	VARIABLE 8651 8669	the device address
T686	CONDITION 8670 8683	is kept fixed
T687	VARIABLE 8685 8725	the waiting interval before the next try
T688	CONDITION 8726 8774	may be increased exponentially (see Section 5.1)
T689	STATEMENT 8685 8774	the waiting interval before the next try may be increased exponentially (see Section 5.1)
T690	STATEMENT 8651 8683	the device address is kept fixed
T691	CAUSE 8648 8683	If the device address is kept fixed
T692	CAUSE_EFFECT_RELATION 8648 8774	If the device address is kept fixed, the waiting interval before the next try may be increased exponentially (see Section 5.1)
T693	ROOT_SENTENCE 8648 8775	If the device address is kept fixed, the waiting interval before the next try may be increased exponentially (see Section 5.1).
T694	KEY_C 8591 8593	If
T695	VARIABLE 8594 8606	both devices
T696	CONDITION 8607 8623	have a fixed PIN
T697	VARIABLE 8624 8628	they
T698	CONDITION 8636 8645	be paired
T699	NEGATION 8629 8645	cannot be paired
T700	STATEMENT 8624 8645	they cannot be paired
T701	STATEMENT 8594 8623	both devices have a fixed PIN
T702	CAUSE 8591 8623	If both devices have a fixed PIN
T703	CAUSE_EFFECT_RELATION 8591 8645	If both devices have a fixed PIN they cannot be paired
T704	ROOT_SENTENCE 8591 8646	If both devices have a fixed PIN they cannot be paired.
T705	KEY_C 8491 8493	If
T706	VARIABLE 8494 8506	both devices
T707	CONDITION 8507 8526	have a variable PIN
T708	VARIABLE 8527 8574	the BD_ADDR of the device that received IN_RAND
T709	CONDITION 8575 8588	shall be used
T710	STATEMENT 8527 8588	the BD_ADDR of the device that received IN_RAND shall be used
T711	STATEMENT 8494 8526	both devices have a variable PIN
T712	CAUSE 8491 8526	If both devices have a variable PIN
T713	CAUSE_EFFECT_RELATION 8491 8588	If both devices have a variable PIN the BD_ADDR of the device that received IN_RAND shall be used
T714	ROOT_SENTENCE 8491 8589	If both devices have a variable PIN the BD_ADDR of the device that received IN_RAND shall be used.
T715	KEY_C 8412 8414	If
T716	VARIABLE 8415 8425	one device
T717	CONDITION 8426 8441	has a fixed PIN
T718	VARIABLE 8443 8474	the BD_ADDR of the other device
T719	CONDITION 8475 8488	shall be used
T720	STATEMENT 8443 8488	the BD_ADDR of the other device shall be used
T721	STATEMENT 8415 8441	one device has a fixed PIN
T722	CAUSE 8412 8441	If one device has a fixed PIN
T723	CAUSE_EFFECT_RELATION 8412 8488	If one device has a fixed PIN, the BD_ADDR of the other device shall be used
T724	ROOT_SENTENCE 8412 8489	If one device has a fixed PIN, the BD_ADDR of the other device shall be used.
T725	KEY_C 8284 8286	If
T726	VARIABLE 8287 8297	encryption
T727	CONDITION 8298 8312	is implemented
T728	VARIABLE 8314 8330	the E0 algorithm
T729	CONDITION 8331 8409	shall be used with the proper encryption key derived from the current link key
T730	STATEMENT 8314 8409	the E0 algorithm shall be used with the proper encryption key derived from the current link key
T731	STATEMENT 8287 8312	encryption is implemented
T732	CAUSE 8284 8312	If encryption is implemented
T733	CAUSE_EFFECT_RELATION 8284 8409	If encryption is implemented, the E0 algorithm shall be used with the proper encryption key derived from the current link key
T734	ROOT_SENTENCE 8284 8410	If encryption is implemented, the E0 algorithm shall be used with the proper encryption key derived from the current link key.
T735	KEY_C 8222 8224	If
T736	VARIABLE 8228 8231	PIN
T737	CONDITION 8232 8244	is available
T738	NEGATION 8225 8244	no PIN is available
T739	STATEMENT 8228 8244	PIN is available
T740	CAUSE 8222 8244	If no PIN is available
T741	VARIABLE 8246 8269	a default value of zero
T742	CONDITION 8270 8281	may be used
T743	STATEMENT 8246 8281	a default value of zero may be used
T744	CAUSE_EFFECT_RELATION 8222 8281	If no PIN is available, a default value of zero may be used
T745	ROOT_SENTENCE 8222 8282	If no PIN is available, a default value of zero may be used.
T746	KEY_C 8089 8091	If
T747	VARIABLE 8092 8103	the command
T748	KEY_C 8176 8180	then
T749	VARIABLE 8181 8205	the Physical_Link_Handle
T750	CONDITION 8206 8219	shall be 0x00
T751	STATEMENT 8181 8219	the Physical_Link_Handle shall be 0x00
T752	EFFECT 8176 8219	then the Physical_Link_Handle shall be 0x00
T753	CONDITION 8104 8174	is being executed outside of the context of any physical link creation
T754	STATEMENT 8092 8174	the command is being executed outside of the context of any physical link creation
T755	CAUSE 8089 8174	If the command is being executed outside of the context of any physical link creation
T756	CAUSE_EFFECT_RELATION 8089 8219	If the command is being executed outside of the context of any physical link creation, then the Physical_Link_Handle shall be 0x00
T757	ROOT_SENTENCE 8089 8220	If the command is being executed outside of the context of any physical link creation, then the Physical_Link_Handle shall be 0x00.
T758	VARIABLE 7988 7998	This value
T759	CONDITION 7999 8012	shall be used
T760	KEY_C 8013 8015	if
T761	VARIABLE 8016 8034	the AMP Controller
T762	CONDITION 8035 8045	is present
T763	CONDITION 8050 8086	can be powered up by the AMP Manager
T764	AND 8035 8086	is present and can be powered up by the AMP Manager
T765	STATEMENT 8016 8086	the AMP Controller is present and can be powered up by the AMP Manager
T766	CAUSE 8013 8086	if the AMP Controller is present and can be powered up by the AMP Manager
T767	STATEMENT 7988 8012	This value shall be used
T768	KEY_C 7874 7876	If
T769	VARIABLE 7877 7916	the current role of this ACL connection
T770	CONDITION 7917 7926	is Master
T771	KEY_C 7928 7932	then
T772	VARIABLE 7933 7967	the Bluetooth Clock of this device
T773	CONDITION 7968 7985	shall be returned
T774	STATEMENT 7933 7985	the Bluetooth Clock of this device shall be returned
T775	EFFECT 7928 7985	then the Bluetooth Clock of this device shall be returned
T776	STATEMENT 7877 7926	the current role of this ACL connection is Master
T777	CAUSE 7874 7926	If the current role of this ACL connection is Master
T778	CAUSE_EFFECT_RELATION 7874 7985	If the current role of this ACL connection is Master, then the Bluetooth Clock of this device shall be returned
T779	ROOT_SENTENCE 7874 7986	If the current role of this ACL connection is Master, then the Bluetooth Clock of this device shall be returned.
T780	KEY_C 7808 7810	If
T781	VARIABLE 7811 7819	the RSSI
T782	CONDITION 7827 7834	be read
T783	NEGATION 7820 7834	cannot be read
T784	STATEMENT 7811 7834	the RSSI cannot be read
T785	CAUSE 7808 7834	If the RSSI cannot be read
T786	VARIABLE 7836 7851	the RSSI metric
T787	CONDITION 7852 7871	shall be set to 127
T788	STATEMENT 7836 7871	the RSSI metric shall be set to 127
T789	CAUSE_EFFECT_RELATION 7808 7871	If the RSSI cannot be read, the RSSI metric shall be set to 127
T790	ROOT_SENTENCE 7808 7872	If the RSSI cannot be read, the RSSI metric shall be set to 127.
T791	KEY_C 7705 7707	If
T792	VARIABLE 7708 7723	this Controller
T793	CONDITION 7733 7761	have a Public Device Address
T794	NEGATION 7724 7761	does not have a Public Device Address
T795	VARIABLE 7763 7787	the value 0x000000000000
T796	CONDITION 7788 7805	shall be returned
T797	STATEMENT 7763 7805	the value 0x000000000000 shall be returned
T798	STATEMENT 7708 7761	this Controller does not have a Public Device Address
T799	CAUSE 7705 7761	If this Controller does not have a Public Device Address
T800	CAUSE_EFFECT_RELATION 7705 7805	If this Controller does not have a Public Device Address, the value 0x000000000000 shall be returned
T801	ROOT_SENTENCE 7705 7806	If this Controller does not have a Public Device Address, the value 0x000000000000 shall be returned.
T802	KEY_C 7596 7598	If
T803	VARIABLE 7599 7604	a bit
T804	CONDITION 7605 7609	is 1
T805	VARIABLE 7611 7625	the Controller
T806	CONDITION 7626 7660	supports the corresponding command
T807	CONDITION 7665 7702	the features required for the command
T808	AND 7626 7702	supports the corresponding command and the features required for the command
T809	STATEMENT 7611 7702	the Controller supports the corresponding command and the features required for the command
T810	STATEMENT 7599 7609	a bit is 1
T811	CAUSE 7596 7609	If a bit is 1
T812	CAUSE_EFFECT_RELATION 7596 7702	If a bit is 1, the Controller supports the corresponding command and the features required for the command
T813	ROOT_SENTENCE 7596 7703	If a bit is 1, the Controller supports the corresponding command and the features required for the command.
T814	KEY_C 7445 7447	If
T815	VARIABLE 7448 7457	this time
T816	CONDITION 7458 7465	expires
T817	VARIABLE 7470 7487	the remote device
T818	CONDITION 7496 7535	responded to the page at baseband level
T819	NEGATION 7488 7535	has not responded to the page at baseband level
T820	STATEMENT 7470 7535	the remote device has not responded to the page at baseband level
T821	STATEMENT 7448 7465	this time expires
T822	AND 7448 7535	this time expires and the remote device has not responded to the page at baseband level
T823	VARIABLE 7537 7559	the connection attempt
T824	CONDITION 7560 7593	will be considered to have failed
T825	STATEMENT 7537 7593	the connection attempt will be considered to have failed
T826	CAUSE 7445 7535	If this time expires and the remote device has not responded to the page at baseband level
T827	CAUSE_EFFECT_RELATION 7445 7593	If this time expires and the remote device has not responded to the page at baseband level, the connection attempt will be considered to have failed
T828	ROOT_SENTENCE 7445 7594	If this time expires and the remote device has not responded to the page at baseband level, the connection attempt will be considered to have failed.
T829	KEY_C 7323 7325	If
T830	VARIABLE 7326 7340	the connection
T831	CONDITION 7341 7356	is in hold mode
T832	VARIABLE 7358 7391	the Authenticated_Payload_Timeout
T833	CONDITION 7392 7409	shall be equal to
T834	CONDITION 7413 7442	greater than the holdTO value
T835	OR 7392 7442	shall be equal to or greater than the holdTO value
T836	STATEMENT 7358 7442	the Authenticated_Payload_Timeout shall be equal to or greater than the holdTO value
T837	STATEMENT 7326 7356	the connection is in hold mode
T838	CAUSE 7323 7356	If the connection is in hold mode
T839	CAUSE_EFFECT_RELATION 7323 7442	If the connection is in hold mode, the Authenticated_Payload_Timeout shall be equal to or greater than the holdTO value
T840	ROOT_SENTENCE 7323 7443	If the connection is in hold mode, the Authenticated_Payload_Timeout shall be equal to or greater than the holdTO value.
T841	KEY_C 7210 7212	If
T842	VARIABLE 7213 7227	the connection
T843	CONDITION 7228 7244	is in sniff mode
T844	VARIABLE 7246 7279	the Authenticated_Payload_Timeout
T845	CONDITION 7280 7297	shall be equal to
T846	CONDITION 7301 7320	greater than Tsniff
T847	OR 7280 7320	shall be equal to or greater than Tsniff
T848	STATEMENT 7246 7320	the Authenticated_Payload_Timeout shall be equal to or greater than Tsniff
T849	STATEMENT 7213 7244	the connection is in sniff mode
T850	CAUSE 7210 7244	If the connection is in sniff mode
T851	CAUSE_EFFECT_RELATION 7210 7320	If the connection is in sniff mode, the Authenticated_Payload_Timeout shall be equal to or greater than Tsniff
T852	ROOT_SENTENCE 7210 7321	If the connection is in sniff mode, the Authenticated_Payload_Timeout shall be equal to or greater than Tsniff.
T853	KEY_C 7076 7078	If
T854	VARIABLE 7079 7093	the Controller
T855	CONDITION 7094 7137	is unable to select a value from this range
T856	STATEMENT 7079 7137	the Controller is unable to select a value from this range
T857	CAUSE 7076 7137	If the Controller is unable to select a value from this range
T858	VARIABLE 7139 7141	it
T859	CONDITION 7142 7207	shall return the Invalid HCI Command Parameters (0x12) error code
T860	STATEMENT 7139 7207	it shall return the Invalid HCI Command Parameters (0x12) error code
T861	CAUSE_EFFECT_RELATION 7076 7207	If the Controller is unable to select a value from this range, it shall return the Invalid HCI Command Parameters (0x12) error code
T862	ROOT_SENTENCE 7076 7208	If the Controller is unable to select a value from this range, it shall return the Invalid HCI Command Parameters (0x12) error code.
T863	KEY_C 6944 6946	If
T864	VARIABLE 6947 6982	connectionless slave broadcast mode
T865	CONDITION 6983 6998	is still active
T866	KEY_C 7000 7004	then
T867	VARIABLE 7005 7019	the Controller
T868	CONDITION 7020 7073	shall return the Command Disallowed (0x0C) error code
T869	STATEMENT 7005 7073	the Controller shall return the Command Disallowed (0x0C) error code
T870	EFFECT 7000 7073	then the Controller shall return the Command Disallowed (0x0C) error code
T871	STATEMENT 6947 6998	connectionless slave broadcast mode is still active
T872	CAUSE 6944 6998	If connectionless slave broadcast mode is still active
T873	CAUSE_EFFECT_RELATION 6944 7073	If connectionless slave broadcast mode is still active, then the Controller shall return the Command Disallowed (0x0C) error code
T874	ROOT_SENTENCE 6944 7074	If connectionless slave broadcast mode is still active, then the Controller shall return the Command Disallowed (0x0C) error code.
T875	KEY_C 6765 6767	If
T876	VARIABLE 6768 6779	the command
T877	CONDITION 6780 6788	succeeds
T878	KEY_C 6790 6794	then
T879	VARIABLE 6795 6815	the reserved LT_ADDR
T880	KEY_C 6653 6655	If
T881	VARIABLE 6656 6688	the bit in the Event_Mask_Page_2
T882	CONDITION 6689 6704	is set to a one
T883	KEY_C 6706 6710	then
T884	VARIABLE 6711 6745	the event associated with that bit
T885	CONDITION 6746 6762	shall be enabled
T886	STATEMENT 6711 6762	the event associated with that bit shall be enabled
T887	EFFECT 6706 6762	then the event associated with that bit shall be enabled
T888	STATEMENT 6656 6704	the bit in the Event_Mask_Page_2 is set to a one
T889	CAUSE 6653 6704	If the bit in the Event_Mask_Page_2 is set to a one
T890	CAUSE_EFFECT_RELATION 6653 6762	If the bit in the Event_Mask_Page_2 is set to a one, then the event associated with that bit shall be enabled
T891	ROOT_SENTENCE 6653 6763	If the bit in the Event_Mask_Page_2 is set to a one, then the event associated with that bit shall be enabled.
T892	KEY_C 6505 6507	If
T893	VARIABLE 6508 6529	the BR/EDR Controller
T894	CONDITION 6530 6544	is powered off
T895	CONDITION 6548 6553	reset
T896	OR 6530 6553	is powered off or reset
T897	STATEMENT 6508 6553	the BR/EDR Controller is powered off or reset
T898	CAUSE 6505 6553	If the BR/EDR Controller is powered off or reset
T899	KEY_C 6555 6559	then
T900	VARIABLE 6560 6576	this information
T901	CONDITION 6577 6584	is lost
T902	VARIABLE 6589 6629	the values obtained before the power off
T903	VARIABLE 6633 6638	reset
T904	OR 6589 6638	the values obtained before the power off or reset
T905	CONDITION 6639 6650	are invalid
T906	STATEMENT 6589 6650	the values obtained before the power off or reset are invalid
T907	STATEMENT 6560 6584	this information is lost
T908	AND 6560 6650	this information is lost and the values obtained before the power off or reset are invalid
T909	EFFECT 6555 6650	then this information is lost and the values obtained before the power off or reset are invalid
T910	CAUSE_EFFECT_RELATION 6505 6650	If the BR/EDR Controller is powered off or reset, then this information is lost and the values obtained before the power off or reset are invalid
T911	ROOT_SENTENCE 6505 6651	If the BR/EDR Controller is powered off or reset, then this information is lost and the values obtained before the power off or reset are invalid.
T912	KEY_C 6373 6375	If
T913	VARIABLE 6376 6388	this command
T914	CONDITION 6389 6396	is used
T915	VARIABLE 6398 6405	updates
T916	CONDITION 6406 6502	should be sent within 10 seconds of the Host knowing that the channel classification has changed
