T1	VARIABLE 35 47	extra audits
T461	CAUSE_EFFECT_RELATION 10238 10345	When an external liquid flux is used in conjunction with flux cored solders, the fluxes shall be compatible
T462	ROOT_SENTENCE 10238 10346	When an external liquid flux is used in conjunction with flux cored solders, the fluxes shall be compatible.
T463	KEY_C 10064 10068	When
T464	VARIABLE 10069 10073	heat
T465	CONDITION 10074 10109	is applied by a jet of heated gases
T466	CONDITION 10114 10137	by radiant-energy beams
T467	OR 10074 10137	is applied by a jet of heated gases, or by radiant-energy beams
T468	STATEMENT 10069 10137	heat is applied by a jet of heated gases, or by radiant-energy beams
T469	CAUSE 10064 10137	When heat is applied by a jet of heated gases, or by radiant-energy beams
T470	VARIABLE 10139 10147	the user
T471	CONDITION 10148 10235	shall demonstrate the production of joints to the workmanship standard of this standard
T472	STATEMENT 10139 10235	the user shall demonstrate the production of joints to the workmanship standard of this standard
T473	CAUSE_EFFECT_RELATION 10064 10235	When heat is applied by a jet of heated gases, or by radiant-energy beams, the user shall demonstrate the production of joints to the workmanship standard of this standard
T474	ROOT_SENTENCE 10064 10236	When heat is applied by a jet of heated gases, or by radiant-energy beams, the user shall demonstrate the production of joints to the workmanship standard of this standard.
T475	VARIABLE 9905 9923	A cage-type holder
T476	CONDITION 9924 9971	that leaves the soldering- iron tip unsupported
T477	CONDITION 9972 9984	is preferred
T478	AND 9924 9984	that leaves the soldering- iron tip unsupported is preferred
T479	STATEMENT 9905 9984	A cage-type holder that leaves the soldering- iron tip unsupported is preferred
T480	KEY_C 9985 9989	when
T481	VARIABLE 9990 10009	temperature control
T482	CONDITION 10010 10061	is used (variable power control, properly adjusted)
T483	STATEMENT 9990 10061	temperature control is used (variable power control, properly adjusted)
T484	CAUSE 9985 10061	when temperature control is used (variable power control, properly adjusted)
T485	CAUSE_EFFECT_RELATION 9905 10061	A cage-type holder that leaves the soldering- iron tip unsupported is preferred when temperature control is used (variable power control, properly adjusted)
T486	ROOT_SENTENCE 9905 10062	A cage-type holder that leaves the soldering- iron tip unsupported is preferred when temperature control is used (variable power control, properly adjusted).
T487	VARIABLE 9836 9858	A grounded wrist strap
T488	CONDITION 9859 9872	shall be worn
T489	KEY_C 9873 9877	when
T492	VARIABLE 9878 9902	handling sensitive items
T493	CAUSE 9873 9902	when handling sensitive items
T494	STATEMENT 9836 9872	A grounded wrist strap shall be worn
T495	CAUSE_EFFECT_RELATION 9836 9902	A grounded wrist strap shall be worn when handling sensitive items
T496	ROOT_SENTENCE 9836 9903	A grounded wrist strap shall be worn when handling sensitive items.
T497	VARIABLE 9800 9806	Occurs
T498	KEY_C 9807 9811	when
T501	VARIABLE 9812 9833	joining stranded wire
T502	CAUSE 9807 9833	when joining stranded wire
T503	CAUSE_EFFECT_RELATION 9800 9833	Occurs when joining stranded wire
T504	ROOT_SENTENCE 9800 9834	Occurs when joining stranded wire.
T505	KEY_C 9659 9663	When
T506	VARIABLE 9664 9674	COTS items
T507	CONDITION 9675 9687	are selected
T508	STATEMENT 9664 9687	COTS items are selected
T509	CAUSE 9659 9687	When COTS items are selected
T510	VARIABLE 9689 9701	the designer
T511	CONDITION 9702 9747	should attempt to identify the materials used
T512	CONDITION 9752 9797	determine if an SCC failure would be critical
T513	AND 9702 9797	should attempt to identify the materials used and determine if an SCC failure would be critical
T514	STATEMENT 9689 9797	the designer should attempt to identify the materials used and determine if an SCC failure would be critical
T515	CAUSE_EFFECT_RELATION 9659 9797	When COTS items are selected, the designer should attempt to identify the materials used and determine if an SCC failure would be critical
T516	ROOT_SENTENCE 9659 9798	When COTS items are selected, the designer should attempt to identify the materials used and determine if an SCC failure would be critical.
T517	VARIABLE 9588 9609	Long-life performance
T518	CONDITION 9610 9630	should be considered
T519	KEY_C 9631 9635	when
T520	VARIABLE 9636 9645	selecting
T521	CONDITION 9646 9656	lubricants
T522	STATEMENT 9636 9656	selecting lubricants
T523	CAUSE 9631 9656	when selecting lubricants
T524	STATEMENT 9588 9630	Long-life performance should be considered
T525	CAUSE_EFFECT_RELATION 9588 9656	Long-life performance should be considered when selecting lubricants
T526	ROOT_SENTENCE 9588 9657	Long-life performance should be considered when selecting lubricants.
T527	VARIABLE 9463 9473	Elastomers
T528	CONDITION 9484 9526	have a corrosive effect on other materials
T529	NEGATION 9474 9526	shall not have a corrosive effect on other materials
T530	STATEMENT 9463 9526	Elastomers shall not have a corrosive effect on other materials
T531	KEY_C 9527 9531	when
T532	VARIABLE 9532 9539	exposed
T533	CONDITION 9540 9585	to conditions normally encountered in service
T534	STATEMENT 9532 9585	exposed to conditions normally encountered in service
T535	CAUSE 9527 9585	when exposed to conditions normally encountered in service
T536	CAUSE_EFFECT_RELATION 9463 9585	Elastomers shall not have a corrosive effect on other materials when exposed to conditions normally encountered in service
T537	ROOT_SENTENCE 9463 9586	Elastomers shall not have a corrosive effect on other materials when exposed to conditions normally encountered in service.
T538	VARIABLE 9357 9363	Copper
T539	CONDITION 9364 9389	has the potential for SCC
T540	KEY_C 9390 9394	when
T541	VARIABLE 9395 9402	exposed
T542	CONDITION 9403 9413	to ammonia
T543	KEY_NC 9415 9420	which
T544	VARIABLE 9421 9460	is a product of hydrazine decomposition
T545	NONE_CAUSAL 9415 9460	which is a product of hydrazine decomposition
T546	STATEMENT 9395 9413	exposed to ammonia
T547	CAUSE 9390 9413	when exposed to ammonia
T548	STATEMENT 9357 9389	Copper has the potential for SCC
T549	CAUSE_EFFECT_RELATION 9357 9413	Copper has the potential for SCC when exposed to ammonia
T550	ROOT_SENTENCE 9357 9461	Copper has the potential for SCC when exposed to ammonia, which is a product of hydrazine decomposition.
T553	VARIABLE 8983 9048	The ductile-to-brittle transition temperature exhibited in steels
T554	CONDITION 9049 9069	should be considered
T555	STATEMENT 8983 9069	The ductile-to-brittle transition temperature exhibited in steels should be considered
T556	KEY_C 9070 9074	when
T557	VARIABLE 9075 9080	using
T558	CONDITION 9081 9087	carbon
T559	CONDITION 9092 9108	low-alloy steels
T560	CONDITION 9109 9133	in hardware operating in
T561	CONDITION 9137 9181	exposed to low temperatures while in service
T562	OR 9109 9181	in hardware operating in or exposed to low temperatures while in service
T563	AND 9081 9108	carbon and low-alloy steels
T564	AND 9081 9181	carbon and low-alloy steels in hardware operating in or exposed to low temperatures while in service
T565	STATEMENT 9075 9181	using carbon and low-alloy steels in hardware operating in or exposed to low temperatures while in service
T566	CAUSE 9070 9181	when using carbon and low-alloy steels in hardware operating in or exposed to low temperatures while in service
T567	CAUSE_EFFECT_RELATION 8983 9181	The ductile-to-brittle transition temperature exhibited in steels should be considered when using carbon and low-alloy steels in hardware operating in or exposed to low temperatures while in service
T568	ROOT_SENTENCE 8983 9182	The ductile-to-brittle transition temperature exhibited in steels should be considered when using carbon and low-alloy steels in hardware operating in or exposed to low temperatures while in service.
T569	KEY_C 8592 8596	When
T570	VARIABLE 8597 8621	liquid-locking compounds
T571	CONDITION 8622 8656	are used for fastener installation
T572	VARIABLE 8658 8678	engineering drawings
T573	CONDITION 8679 8728	shall specify a validated process for application
T574	STATEMENT 8658 8728	engineering drawings shall specify a validated process for application
T575	STATEMENT 8597 8656	liquid-locking compounds are used for fastener installation
T576	CAUSE_EFFECT_RELATION 8592 8728	When liquid-locking compounds are used for fastener installation, engineering drawings shall specify a validated process for application
T577	CAUSE 8592 8656	When liquid-locking compounds are used for fastener installation
T578	ROOT_SENTENCE 8592 8729	When liquid-locking compounds are used for fastener installation, engineering drawings shall specify a validated process for application.
T579	VARIABLE 8431 8448	Protective covers
T580	VARIABLE 8452 8456	caps
T581	OR 8431 8456	Protective covers or caps
T582	CONDITION 8457 8483	shall be specified for use
T583	CONDITION 8484 8515	with electrical-connector plugs
T584	CONDITION 8520 8561	receptacles in accordance with KSC-GP-864
T585	AND 8484 8561	with electrical-connector plugs and receptacles in accordance with KSC-GP-864
T586	AND 8457 8561	shall be specified for use with electrical-connector plugs and receptacles in accordance with KSC-GP-864
T587	STATEMENT 8431 8561	Protective covers or caps shall be specified for use with electrical-connector plugs and receptacles in accordance with KSC-GP-864
T588	KEY_C 8562 8566	when
T589	VARIABLE 8567 8571	they
T590	CONDITION 8580 8589	connected
T591	NEGATION 8572 8589	are not connected
T592	STATEMENT 8567 8589	they are not connected
T593	CAUSE 8562 8589	when they are not connected
T594	CAUSE_EFFECT_RELATION 8431 8589	Protective covers or caps shall be specified for use with electrical-connector plugs and receptacles in accordance with KSC-GP-864 when they are not connected
T595	ROOT_SENTENCE 8431 8590	Protective covers or caps shall be specified for use with electrical-connector plugs and receptacles in accordance with KSC-GP-864 when they are not connected.
T596	KEY_C 8136 8140	When
T597	VARIABLE 8141 8149	possible
T598	CAUSE 8136 8149	When possible
T599	VARIABLE 8151 8160	ASTM A325
T600	VARIABLE 8164 8185	SAE Grade 5 fasteners
T601	OR 8151 8185	ASTM A325 or SAE Grade 5 fasteners
T602	CONDITION 8186 8208	should be used instead
T603	STATEMENT 8151 8208	ASTM A325 or SAE Grade 5 fasteners should be used instead
T604	CAUSE_EFFECT_RELATION 8136 8208	When possible, ASTM A325 or SAE Grade 5 fasteners should be used instead
T605	ROOT_SENTENCE 8136 8209	When possible, ASTM A325 or SAE Grade 5 fasteners should be used instead.
T606	VARIABLE 1550 1578	Specific protection measures
T607	CONDITION 1580 1610	such as protective dust covers
T608	CONDITION 1612 1673	shall be implemented to protect contamination–sensitive items
T609	AND 1580 1673	such as protective dust covers, shall be implemented to protect contamination–sensitive items
T610	STATEMENT 1550 1673	Specific protection measures, such as protective dust covers, shall be implemented to protect contamination–sensitive items
T611	KEY_C 1674 1678	when
T612	VARIABLE 1679 1683	they
T613	CONDITION 1684 1728	are integrated in a higher level of assembly
T614	STATEMENT 1679 1728	they are integrated in a higher level of assembly
T615	CAUSE 1674 1728	when they are integrated in a higher level of assembly
T616	CAUSE_EFFECT_RELATION 1550 1728	Specific protection measures, such as protective dust covers, shall be implemented to protect contamination–sensitive items when they are integrated in a higher level of assembly
T617	ROOT_SENTENCE 1550 1729	Specific protection measures, such as protective dust covers, shall be implemented to protect contamination–sensitive items when they are integrated in a higher level of assembly.
T618	VARIABLE 2319 2337	These requirements
T619	CONDITION 2338 2351	are mandatory
T620	KEY_C 2352 2356	when
T621	VARIABLE 2357 2374	specified as such
T622	CONDITION 2375 2399	by program documentation
T623	CONDITION 2403 2412	contracts
T624	OR 2375 2412	by program documentation or contracts
T625	STATEMENT 2357 2412	specified as such by program documentation or contracts
T626	CAUSE 2352 2412	when specified as such by program documentation or contracts
T627	STATEMENT 2319 2351	These requirements are mandatory
T628	CAUSE_EFFECT_RELATION 2319 2412	These requirements are mandatory when specified as such by program documentation or contracts
T629	ROOT_SENTENCE 2319 2413	These requirements are mandatory when specified as such by program documentation or contracts.
T630	VARIABLE 2415 2446	The parent metal shear sections
T631	VARIABLE 2451 2466	interface tubes
T632	CONDITION 2467 2505	are defined by the term “parent metal”
T633	AND 2415 2466	The parent metal shear sections and interface tubes
T634	STATEMENT 2415 2505	The parent metal shear sections and interface tubes are defined by the term “parent metal”
T635	KEY_C 2506 2510	when
T636	VARIABLE 2511 2515	they
T637	CONDITION 2516 2584	are machined from a single, certified bar of high-purity metal alloy
T638	CONDITION 2593 2598	welds
T639	NEGATION 2590 2598	no welds
T640	AND 2516 2598	are machined from a single, certified bar of high-purity metal alloy with no welds
T641	STATEMENT 2511 2598	they are machined from a single, certified bar of high-purity metal alloy with no welds
T642	CAUSE 2506 2598	when they are machined from a single, certified bar of high-purity metal alloy with no welds
T643	CAUSE_EFFECT_RELATION 2415 2598	The parent metal shear sections and interface tubes are defined by the term “parent metal” when they are machined from a single, certified bar of high-purity metal alloy with no welds
T644	ROOT_SENTENCE 2415 2599	The parent metal shear sections and interface tubes are defined by the term “parent metal” when they are machined from a single, certified bar of high-purity metal alloy with no welds.
T645	VARIABLE 2601 2619	This Specification
T646	CONDITION 2620 2645	is intended to be applied
T647	KEY_C 2646 2650	when
T648	VARIABLE 2651 2693	these NC parent metal shear-section valves
T649	CONDITION 2694 2773	are used to prevent failure-induced release of hazardous fluids (liquid or gas)
T650	CONDITION 2774 2789	from spacecraft
T651	AND 2694 2789	are used to prevent failure-induced release of hazardous fluids (liquid or gas) from spacecraft
T652	STATEMENT 2651 2789	these NC parent metal shear-section valves are used to prevent failure-induced release of hazardous fluids (liquid or gas) from spacecraft
T653	CAUSE 2646 2789	when these NC parent metal shear-section valves are used to prevent failure-induced release of hazardous fluids (liquid or gas) from spacecraft
T654	STATEMENT 2601 2645	This Specification is intended to be applied
T655	CAUSE_EFFECT_RELATION 2601 2789	This Specification is intended to be applied when these NC parent metal shear-section valves are used to prevent failure-induced release of hazardous fluids (liquid or gas) from spacecraft
T656	ROOT_SENTENCE 2601 2790	This Specification is intended to be applied when these NC parent metal shear-section valves are used to prevent failure-induced release of hazardous fluids (liquid or gas) from spacecraft.
T657	KEY_C 2792 2796	When
T658	VARIABLE 2797 2806	installed
T659	CONDITION 2807 2820	in the system
T660	VARIABLE 2822 2847	the parent metal sections
T661	CONDITION 2848 2908	are directly welded to the system tubing (checklist item 9A)
T662	STATEMENT 2822 2908	the parent metal sections are directly welded to the system tubing (checklist item 9A)
T663	STATEMENT 2797 2820	installed in the system
T664	CAUSE 2792 2820	When installed in the system
T665	CAUSE_EFFECT_RELATION 2792 2908	When installed in the system, the parent metal sections are directly welded to the system tubing (checklist item 9A)
T666	ROOT_SENTENCE 2792 2909	When installed in the system, the parent metal sections are directly welded to the system tubing (checklist item 9A).
T667	VARIABLE 2911 2924	This standard
T668	CONDITION 2925 2938	is applicable
T669	KEY_C 2939 2943	when
T670	VARIABLE 2944 2977	the performance of sneak analysis
T671	CONDITION 2978 3004	is required by ECSS--Q--40
T672	CONDITION 3008 3061	by the contract between the customer and the supplier
T673	OR 2978 3061	is required by ECSS--Q--40 or by the contract between the customer and the supplier
T674	STATEMENT 2944 3061	the performance of sneak analysis is required by ECSS--Q--40 or by the contract between the customer and the supplier
T675	CAUSE 2939 3061	when the performance of sneak analysis is required by ECSS--Q--40 or by the contract between the customer and the supplier
T676	STATEMENT 2911 2938	This standard is applicable
T677	CAUSE_EFFECT_RELATION 2911 3061	This standard is applicable when the performance of sneak analysis is required by ECSS--Q--40 or by the contract between the customer and the supplier
T678	ROOT_SENTENCE 2911 3062	This standard is applicable when the performance of sneak analysis is required by ECSS--Q--40 or by the contract between the customer and the supplier.
T685	KEY_C 3552 3556	When
T686	VARIABLE 3557 3566	available
T687	CAUSE 3552 3566	When available
T688	VARIABLE 3568 3579	load ratios
T689	VARIABLE 3583 3589	limits
T690	CONDITION 3590 3631	are given for different mission durations
T691	CONDITION 3635 3657	different temperatures
T692	OR 3590 3657	are given for different mission durations or different temperatures
T693	OR 3568 3589	load ratios or limits
T694	STATEMENT 3568 3657	load ratios or limits are given for different mission durations or different temperatures
T695	CAUSE_EFFECT_RELATION 3552 3657	When available, load ratios or limits are given for different mission durations or different temperatures
T696	ROOT_SENTENCE 3552 3658	When available, load ratios or limits are given for different mission durations or different temperatures.
T697	KEY_C 3660 3664	When
T698	VARIABLE 3665 3694	the procurement specification
T699	CONDITION 3695 3735	includes parameter values for transients
T700	CONDITION 3739 3755	surge conditions
T701	OR 3695 3755	includes parameter values for transients or surge conditions
T702	VARIABLE 3757 3777	the same load ratios
T703	VARIABLE 3781 3787	limits
T704	CONDITION 3788 3832	as for steady-state parameters shall be used
T705	OR 3757 3787	the same load ratios or limits
T706	STATEMENT 3757 3832	the same load ratios or limits as for steady-state parameters shall be used
T707	STATEMENT 3665 3755	the procurement specification includes parameter values for transients or surge conditions
T708	CAUSE 3660 3755	When the procurement specification includes parameter values for transients or surge conditions
T709	CAUSE_EFFECT_RELATION 3660 3832	When the procurement specification includes parameter values for transients or surge conditions, the same load ratios or limits as for steady-state parameters shall be used
T710	ROOT_SENTENCE 3660 3833	When the procurement specification includes parameter values for transients or surge conditions, the same load ratios or limits as for steady-state parameters shall be used.
T711	KEY_C 3835 3839	When
T712	VARIABLE 3840 3849	transient
T713	VARIABLE 3853 3869	surge conditions
T714	OR 3840 3869	transient or surge conditions
T715	CONDITION 3870 3900	are present in the application
T716	VARIABLE 3909 3918	transient
T717	VARIABLE 3922 3934	surge rating
T718	OR 3909 3934	transient or surge rating
T719	CONDITION 3935 3988	values are specified in the procurement specification
T720	NEGATION 3902 3988	but no transient or surge rating values are specified in the procurement specification
T721	STATEMENT 3840 3900	transient or surge conditions are present in the application
T722	AND 3840 3988	transient or surge conditions are present in the application, but no transient or surge rating values are specified in the procurement specification
T723	CAUSE 3835 3988	When transient or surge conditions are present in the application, but no transient or surge rating values are specified in the procurement specification
T724	VARIABLE 3990 4011	the design transients
T725	VARIABLE 4015 4021	surges
T726	CONDITION 4032 4106	exceed the maximum steady state rating given in procurement specifications
T727	NEGATION 4022 4106	shall not exceed the maximum steady state rating given in procurement specifications
T728	OR 3990 4021	the design transients or surges
T729	STATEMENT 3990 4106	the design transients or surges shall not exceed the maximum steady state rating given in procurement specifications
T730	CAUSE_EFFECT_RELATION 3835 4106	When transient or surge conditions are present in the application, but no transient or surge rating values are specified in the procurement specification, the design transients or surges shall not exceed the maximum steady state rating given in procurement specifications
T731	ROOT_SENTENCE 3835 4107	When transient or surge conditions are present in the application, but no transient or surge rating values are specified in the procurement specification, the design transients or surges shall not exceed the maximum steady state rating given in procurement specifications.
T732	VARIABLE 4117 4130	surge current
T733	CONDITION 4131 4143	is specified
T734	STATEMENT 4117 4143	surge current is specified
T735	NEGATION 4114 4143	no surge current is specified
T736	KEY_C 4109 4113	When
T737	CAUSE 4109 4143	When no surge current is specified
T738	VARIABLE 4145 4154	the issue
T739	CONDITION 4155 4191	shall be recorded in the design file
T740	VARIABLE 4196 4220	the components selection
T741	CONDITION 4221 4238	shall be reviewed
T742	CONDITION 4243 4279	approved as described in ECSS--Q--60
T743	AND 4221 4279	shall be reviewed and approved as described in ECSS--Q--60
T744	STATEMENT 4196 4279	the components selection shall be reviewed and approved as described in ECSS--Q--60
T745	STATEMENT 4145 4191	the issue shall be recorded in the design file
T746	AND 4145 4279	the issue shall be recorded in the design file and the components selection shall be reviewed and approved as described in ECSS--Q--60
T747	CAUSE_EFFECT_RELATION 4109 4279	When no surge current is specified, the issue shall be recorded in the design file and the components selection shall be reviewed and approved as described in ECSS--Q--60
T748	ROOT_SENTENCE 4109 4281	When no surge current is specified, the issue shall be recorded in the design file and the components selection shall be reviewed and approved as described in ECSS--Q--60 .
T757	KEY_C 4581 4585	When
T758	VARIABLE 4586 4614	operational reliability data
T759	CONDITION 4615 4627	is available
T760	STATEMENT 4586 4627	operational reliability data is available
T761	CAUSE 4581 4627	When operational reliability data is available
T762	VARIABLE 4629 4650	the compression level
T763	CONDITION 4651 4728	shall be derated to 4 dB under the highest compression level showing no drift
T764	STATEMENT 4629 4728	the compression level shall be derated to 4 dB under the highest compression level showing no drift
T765	CAUSE_EFFECT_RELATION 4581 4728	When operational reliability data is available, the compression level shall be derated to 4 dB under the highest compression level showing no drift
T766	ROOT_SENTENCE 4581 4729	When operational reliability data is available, the compression level shall be derated to 4 dB under the highest compression level showing no drift.
T767	KEY_C 4904 4908	When
T768	VARIABLE 4909 4927	the surge duration
T769	CONDITION 4928 4935	≤ 10 µs
T770	STATEMENT 4909 4935	the surge duration ≤ 10 µs
T771	CAUSE 4904 4935	When the surge duration ≤ 10 µs
T772	VARIABLE 4937 4962	the surge contact current
T773	CONDITION 4973 5013	exceed 4 times the rated contact current
T774	NEGATION 4963 5013	shall not exceed 4 times the rated contact current
T775	STATEMENT 4937 5013	the surge contact current shall not exceed 4 times the rated contact current
T776	CAUSE_EFFECT_RELATION 4904 5013	When the surge duration ≤ 10 µs, the surge contact current shall not exceed 4 times the rated contact current
T777	ROOT_SENTENCE 4904 5014	When the surge duration ≤ 10 µs, the surge contact current shall not exceed 4 times the rated contact current.
T778	KEY_C 5267 5271	When
T779	VARIABLE 5272 5291	bimetallic contacts
T780	CONDITION 5292 5300	are used
T781	VARIABLE 5302 5351	the choice of the pair of metallic materials used
T782	CONDITION 5352 5379	shall be taken into account
T783	STATEMENT 5302 5379	the choice of the pair of metallic materials used shall be taken into account
T784	STATEMENT 5272 5300	bimetallic contacts are used
T785	CAUSE 5267 5300	When bimetallic contacts are used
T786	CAUSE_EFFECT_RELATION 5267 5379	When bimetallic contacts are used, the choice of the pair of metallic materials used shall be taken into account
T787	ROOT_SENTENCE 5267 5380	When bimetallic contacts are used, the choice of the pair of metallic materials used shall be taken into account.
T788	KEY_C 5382 5386	When
T789	VARIABLE 5387 5400	an evaluation
T790	CONDITION 5401 5413	is performed
T791	VARIABLE 5415 5457	an evaluation programme (available at PDR)
T792	CONDITION 5458 5475	shall be drawn up
T793	CONDITION 5477 5488	implemented
T794	VARIABLE 5494 5537	an evaluation report (available before CDR)
T795	CONDITION 5538 5555	shall be drawn up
T796	STATEMENT 5494 5555	an evaluation report (available before CDR) shall be drawn up
T797	AND 5458 5488	shall be drawn up, implemented
T798	STATEMENT 5415 5488	an evaluation programme (available at PDR) shall be drawn up, implemented
T799	AND 5415 5555	an evaluation programme (available at PDR) shall be drawn up, implemented, and an evaluation report (available before CDR) shall be drawn up
T800	STATEMENT 5387 5413	an evaluation is performed
T801	CAUSE 5382 5413	When an evaluation is performed
T802	CAUSE_EFFECT_RELATION 5382 5555	When an evaluation is performed, an evaluation programme (available at PDR) shall be drawn up, implemented, and an evaluation report (available before CDR) shall be drawn up
T803	ROOT_SENTENCE 5382 5556	When an evaluation is performed, an evaluation programme (available at PDR) shall be drawn up, implemented, and an evaluation report (available before CDR) shall be drawn up.
T804	KEY_C 5558 5562	When
T805	VARIABLE 5563 5572	a process
T806	CONDITION 5573 5596	needs to be re-verified
T807	VARIABLE 5598 5620	a request for approval
T808	CONDITION 5621 5641	shall be established
T809	VARIABLE 5646 5673	a re-verification programme
T810	CONDITION 5674 5694	shall be implemented
T811	STATEMENT 5646 5694	a re-verification programme shall be implemented
T812	STATEMENT 5598 5641	a request for approval shall be established
T813	AND 5598 5694	a request for approval shall be established and a re-verification programme shall be implemented
T814	STATEMENT 5563 5596	a process needs to be re-verified
T815	CAUSE 5558 5596	When a process needs to be re-verified
T816	CAUSE_EFFECT_RELATION 5558 5694	When a process needs to be re-verified, a request for approval shall be established and a re-verification programme shall be implemented
T817	ROOT_SENTENCE 5558 5695	When a process needs to be re-verified, a request for approval shall be established and a re-verification programme shall be implemented.
T818	VARIABLE 5697 5716	Indication of issue
T819	VARIABLE 5720 5724	date
T820	NEGATION 5725 5742	is not applicable
T821	CONDITION 5732 5742	applicable
T822	OR 5697 5724	Indication of issue or date
T823	STATEMENT 5697 5742	Indication of issue or date is not applicable
T824	KEY_C 5743 5747	when
T825	VARIABLE 5748 5758	datasheets
T826	CONDITION 5759 5788	are used according to 6.6.1.b
T827	STATEMENT 5748 5788	datasheets are used according to 6.6.1.b
T828	CAUSE 5743 5788	when datasheets are used according to 6.6.1.b
T829	CAUSE_EFFECT_RELATION 5697 5788	Indication of issue or date is not applicable when datasheets are used according to 6.6.1.b
T830	ROOT_SENTENCE 5697 5789	Indication of issue or date is not applicable when datasheets are used according to 6.6.1.b.
T831	KEY_C 5791 5795	When
T832	VARIABLE 5796 5803	primers
T833	CONDITION 5804 5815	are applied
T834	VARIABLE 5817 5836	the complete system
T835	CONDITION 5837 5853	should be tested
T836	STATEMENT 5817 5853	the complete system should be tested
T837	STATEMENT 5796 5815	primers are applied
T838	CAUSE 5791 5815	When primers are applied
T839	CAUSE_EFFECT_RELATION 5791 5853	When primers are applied, the complete system should be tested
T840	ROOT_SENTENCE 5791 5854	When primers are applied, the complete system should be tested.
T841	KEY_C 5856 5860	When
T842	VARIABLE 5861 5887	the surface to be analysed
T843	CONDITION 5895 5904	be washed
T844	NEGATION 5888 5904	cannot be washed
T845	STATEMENT 5861 5904	the surface to be analysed cannot be washed
T846	CAUSE 5856 5904	When the surface to be analysed cannot be washed
T847	VARIABLE 5906 5908	it
T848	CONDITION 5909 5958	shall be wiped in accordance with subclause 5.3.3
T849	STATEMENT 5906 5958	it shall be wiped in accordance with subclause 5.3.3
T850	CAUSE_EFFECT_RELATION 5856 5958	When the surface to be analysed cannot be washed, it shall be wiped in accordance with subclause 5.3.3
T851	ROOT_SENTENCE 5856 5959	When the surface to be analysed cannot be washed, it shall be wiped in accordance with subclause 5.3.3.
T852	KEY_C 5961 5965	When
T853	VARIABLE 5966 5996	an infrared-transparent window
T854	CONDITION 5997 6023	is used as a witness plate
T855	VARIABLE 6025 6040	the measurement
T856	CONDITION 6041 6071	is done directly on the window
T857	STATEMENT 6025 6071	the measurement is done directly on the window
T858	STATEMENT 5966 6023	an infrared-transparent window is used as a witness plate
T859	CAUSE 5961 6023	When an infrared-transparent window is used as a witness plate
T860	CAUSE_EFFECT_RELATION 5961 6071	When an infrared-transparent window is used as a witness plate, the measurement is done directly on the window
T861	ROOT_SENTENCE 5961 6072	When an infrared-transparent window is used as a witness plate, the measurement is done directly on the window.
T862	VARIABLE 6074 6091	The witness plate
T863	CONDITION 6102 6109	be used
T864	NEGATION 6092 6109	shall not be used
T865	STATEMENT 6074 6109	The witness plate shall not be used
T866	KEY_C 6110 6114	when
T867	VARIABLE 6115 6117	it
T868	CONDITION 6118 6127	is stored
T869	CONDITION 6129 6135	unused
T870	CONDITION 6137 6161	for more than two months
T871	AND 6129 6161	unused, for more than two months
T872	AND 6118 6161	is stored, unused, for more than two months
T873	STATEMENT 6115 6161	it is stored, unused, for more than two months
T874	CAUSE 6110 6161	when it is stored, unused, for more than two months
T875	CAUSE_EFFECT_RELATION 6074 6161	The witness plate shall not be used when it is stored, unused, for more than two months
T876	ROOT_SENTENCE 6074 6162	The witness plate shall not be used when it is stored, unused, for more than two months.
T877	VARIABLE 8030 8073	The criticality categories shown in Table 1
T878	CONDITION 8074 8087	shall be used
T879	KEY_C 8088 8092	when
T880	VARIABLE 8093 8104	the program
T881	CONDITION 8114 8133	identify categories
T882	NEGATION 8105 8133	does not identify categories
T883	STATEMENT 8093 8133	the program does not identify categories
T884	CAUSE 8088 8133	when the program does not identify categories
T885	STATEMENT 8030 8087	The criticality categories shown in Table 1 shall be used
T886	CAUSE_EFFECT_RELATION 8030 8133	The criticality categories shown in Table 1 shall be used when the program does not identify categories
T887	ROOT_SENTENCE 8030 8134	The criticality categories shown in Table 1 shall be used when the program does not identify categories.
T888	KEY_C 7718 7722	When
T889	VARIABLE 7723 7746	mildly activated fluxes
T890	CONDITION 7747 7755	are used
T891	VARIABLE 7757 7761	they
T892	CONDITION 7762 7811	should be changed frequently to ensure a constant
T893	CONDITION 7816 7844	adequate level of activation
T894	AND 7762 7844	should be changed frequently to ensure a constant and adequate level of activation
T895	STATEMENT 7757 7844	they should be changed frequently to ensure a constant and adequate level of activation
T896	STATEMENT 7723 7755	mildly activated fluxes are used
T897	CAUSE 7718 7755	When mildly activated fluxes are used
T898	CAUSE_EFFECT_RELATION 7718 7844	When mildly activated fluxes are used, they should be changed frequently to ensure a constant and adequate level of activation
T899	ROOT_SENTENCE 7718 7845	When mildly activated fluxes are used, they should be changed frequently to ensure a constant and adequate level of activation.
T900	KEY_C 7522 7526	When
T901	VARIABLE 7527 7532	there
T902	CONDITION 7540 7592	changes to the Process Identification Document (PID)
T903	NEGATION 7533 7592	are no changes to the Process Identification Document (PID)
T904	STATEMENT 7527 7592	there are no changes to the Process Identification Document (PID)
T905	CAUSE 7522 7592	When there are no changes to the Process Identification Document (PID)
T906	VARIABLE 7593 7615	the period of validity
T907	CONDITION 7616 7629	is indefinite
T908	CONDITION 7634 7715	takes effect from the date on which the success- ful verification programme ended
T909	AND 7616 7715	is indefinite and takes effect from the date on which the success- ful verification programme ended
