T1	VARIABLE 0 4	This
T412	CONDITION 7083 7154	shall be documented to a level allowing consistency check with the TPRO
T413	CONDITION 7159 7167	the TPSE
T414	AND 7083 7167	shall be documented to a level allowing consistency check with the TPRO and the TPSE
T415	STATEMENT 7044 7167	the listing of the automated procedure shall be documented to a level allowing consistency check with the TPRO and the TPSE
T416	CAUSE_EFFECT_RELATION 7011 7167	When the procedure is automated, the listing of the automated procedure shall be documented to a level allowing consistency check with the TPRO and the TPSE
T417	ROOT_SENTENCE 7011 7168	When the procedure is automated, the listing of the automated procedure shall be documented to a level allowing consistency check with the TPRO and the TPSE.
T418	VARIABLE 7170 7193	The Verification Report
T419	CONDITION 7194 7205	is prepared
T420	KEY_C 7206 7210	when
T421	VARIABLE 7211 7274	more than one of the defined verification methods (see 5.5.3.1)
T422	CONDITION 7275 7310	is utilized to verify a requirement
T423	CONDITION 7314 7344	a specific set of requirements
T424	OR 7275 7344	is utilized to verify a requirement or a specific set of requirements
T425	STATEMENT 7211 7344	more than one of the defined verification methods (see 5.5.3.1) is utilized to verify a requirement or a specific set of requirements
T426	CAUSE 7206 7344	when more than one of the defined verification methods (see 5.5.3.1) is utilized to verify a requirement or a specific set of requirements
T427	STATEMENT 7170 7205	The Verification Report is prepared
T428	CAUSE_EFFECT_RELATION 7170 7344	The Verification Report is prepared when more than one of the defined verification methods (see 5.5.3.1) is utilized to verify a requirement or a specific set of requirements
T429	ROOT_SENTENCE 7170 7345	The Verification Report is prepared when more than one of the defined verification methods (see 5.5.3.1) is utilized to verify a requirement or a specific set of requirements.
T430	KEY_C 7347 7351	When
T431	VARIABLE 7352 7397	exchanging structural mathematical model data
T432	VARIABLE 7453 7473	translation problems
T433	VARIABLE 7478 7527	differences in capabilities of different software
T434	CONDITION 7528 7547	shall be considered
T435	AND 7453 7527	translation problems and differences in capabilities of different software
T436	STATEMENT 7453 7547	translation problems and differences in capabilities of different software shall be considered
T437	CONDITION 7399 7451	for physical models transfer between different codes
T438	STATEMENT 7352 7451	exchanging structural mathematical model data, for physical models transfer between different codes
T439	CAUSE 7347 7451	When exchanging structural mathematical model data, for physical models transfer between different codes
T440	CAUSE_EFFECT_RELATION 7347 7547	When exchanging structural mathematical model data, for physical models transfer between different codes, translation problems and differences in capabilities of different software shall be considered
T441	ROOT_SENTENCE 7347 7548	When exchanging structural mathematical model data, for physical models transfer between different codes, translation problems and differences in capabilities of different software shall be considered.
T442	KEY_C 7550 7554	When
T443	VARIABLE 7555 7600	exchanging structural mathematical model data
T444	CONDITION 7602 7621	for physical models
T445	STATEMENT 7555 7621	exchanging structural mathematical model data, for physical models
T446	CAUSE 7550 7621	When exchanging structural mathematical model data, for physical models
T447	VARIABLE 7623 7645	accompanying documents
T448	CONDITION 7646 7670	shall describe the model
T449	CONDITION 7672 7684	the software
T450	CONDITION 7686 7697	the version
T451	CONDITION 7701 7708	release
T452	CONDITION 7710 7735	any parameters being used
T453	CONDITION 7740 7781	the results of the performed model checks
T454	AND 7710 7781	any parameters being used and the results of the performed model checks
T455	OR 7686 7708	the version or release
T456	AND 7686 7781	the version or release, any parameters being used and the results of the performed model checks
T457	AND 7672 7781	the software, the version or release, any parameters being used and the results of the performed model checks
T458	AND 7646 7781	shall describe the model, the software, the version or release, any parameters being used and the results of the performed model checks
T459	STATEMENT 7623 7781	accompanying documents shall describe the model, the software, the version or release, any parameters being used and the results of the performed model checks
T460	CAUSE_EFFECT_RELATION 7550 7781	When exchanging structural mathematical model data, for physical models, accompanying documents shall describe the model, the software, the version or release, any parameters being used and the results of the performed model checks
T461	ROOT_SENTENCE 7550 7782	When exchanging structural mathematical model data, for physical models, accompanying documents shall describe the model, the software, the version or release, any parameters being used and the results of the performed model checks.
T462	KEY_C 7784 7788	When
T463	VARIABLE 7789 7834	exchanging structural mathematical model data
T464	CONDITION 7836 7844	for mass
T465	CONDITION 7849 7867	stiffness matrices
T466	AND 7836 7867	for mass and stiffness matrices
T467	STATEMENT 7789 7867	exchanging structural mathematical model data, for mass and stiffness matrices
T468	CAUSE 7784 7867	When exchanging structural mathematical model data, for mass and stiffness matrices
T469	VARIABLE 7869 7878	the model
T470	CONDITION 7879 7903	shall be reduced in size
T471	CONDITION 7908 7942	restitution matrices shall be used
T472	AND 7879 7942	shall be reduced in size and restitution matrices shall be used
T473	STATEMENT 7869 7942	the model shall be reduced in size and restitution matrices shall be used
T474	CAUSE_EFFECT_RELATION 7784 7942	When exchanging structural mathematical model data, for mass and stiffness matrices, the model shall be reduced in size and restitution matrices shall be used
T475	ROOT_SENTENCE 7784 7943	When exchanging structural mathematical model data, for mass and stiffness matrices, the model shall be reduced in size and restitution matrices shall be used.
T476	KEY_C 7945 7949	When
T477	VARIABLE 7950 7995	exchanging structural mathematical model data
T478	CONDITION 7997 8016	for mode components
T479	VARIABLE 8018 8032	the definition
T480	CONDITION 8033 8087	may depend upon the method used (e.g. clamped or free)
T481	STATEMENT 8018 8087	the definition may depend upon the method used (e.g. clamped or free)
T482	STATEMENT 7950 8016	exchanging structural mathematical model data, for mode components
T483	CAUSE 7945 8016	When exchanging structural mathematical model data, for mode components
T484	CAUSE_EFFECT_RELATION 7945 8087	When exchanging structural mathematical model data, for mode components, the definition may depend upon the method used (e.g. clamped or free)
T485	ROOT_SENTENCE 7945 8088	When exchanging structural mathematical model data, for mode components, the definition may depend upon the method used (e.g. clamped or free).
T486	KEY_C 8090 8094	When
T487	VARIABLE 8095 8107	design parts
T488	CONDITION 8108 8145	are represented by an idealized model
T489	CONDITION 8150 8196	their mass represented with the physical value
T490	AND 8108 8196	are represented by an idealized model and their mass represented with the physical value
T491	STATEMENT 8095 8196	design parts are represented by an idealized model and their mass represented with the physical value
T492	CAUSE 8090 8196	When design parts are represented by an idealized model and their mass represented with the physical value
T493	VARIABLE 8198 8217	the assumed density
T494	CONDITION 8218 8249	shall be reported in the CADMDD
T495	STATEMENT 8198 8249	the assumed density shall be reported in the CADMDD
T496	CAUSE_EFFECT_RELATION 8090 8249	When design parts are represented by an idealized model and their mass represented with the physical value, the assumed density shall be reported in the CADMDD
T497	ROOT_SENTENCE 8090 8250	When design parts are represented by an idealized model and their mass represented with the physical value, the assumed density shall be reported in the CADMDD.
T498	KEY_C 8252 8256	When
T499	VARIABLE 8257 8276	the vibration loads
T500	CONDITION 8277 8323	are enveloped by the other qualification tests
T501	VARIABLE 8325 8344	the vibration tests
T502	CONDITION 8345 8404	specified in 4.3.2.2c may be deleted with customer approval
T503	STATEMENT 8325 8404	the vibration tests specified in 4.3.2.2c may be deleted with customer approval
T504	STATEMENT 8257 8323	the vibration loads are enveloped by the other qualification tests
T505	CAUSE 8252 8323	When the vibration loads are enveloped by the other qualification tests
T506	CAUSE_EFFECT_RELATION 8252 8404	When the vibration loads are enveloped by the other qualification tests, the vibration tests specified in 4.3.2.2c may be deleted with customer approval
T507	ROOT_SENTENCE 8252 8405	When the vibration loads are enveloped by the other qualification tests, the vibration tests specified in 4.3.2.2c may be deleted with customer approval.
T508	KEY_C 8407 8411	When
T509	VARIABLE 8412 8446	the non‐metallic liner of the COPV
T510	CONDITION 8447 8479	remains in compression up to MDP
T511	NEGATION 8484 8526	flaws do not propagate during the LBB test
T512	AND 8447 8526	remains in compression up to MDP and flaws do not propagate during the LBB test
T513	STATEMENT 8412 8526	the non‐metallic liner of the COPV remains in compression up to MDP and flaws do not propagate during the LBB test
T514	CAUSE 8407 8526	When the non‐metallic liner of the COPV remains in compression up to MDP and flaws do not propagate during the LBB test
T515	VARIABLE 8528 8537	the flaws
T516	CONDITION 8538 8595	prefabricated in the liner of the LBB full‐scale specimen
T517	CONDITION 8596 8617	may be through cracks
T518	AND 8538 8617	prefabricated in the liner of the LBB full‐scale specimen may be through cracks
T519	STATEMENT 8528 8617	the flaws prefabricated in the liner of the LBB full‐scale specimen may be through cracks
T520	CAUSE_EFFECT_RELATION 8407 8617	When the non‐metallic liner of the COPV remains in compression up to MDP and flaws do not propagate during the LBB test, the flaws prefabricated in the liner of the LBB full‐scale specimen may be through cracks
T521	ROOT_SENTENCE 8407 8618	When the non‐metallic liner of the COPV remains in compression up to MDP and flaws do not propagate during the LBB test, the flaws prefabricated in the liner of the LBB full‐scale specimen may be through cracks.
T522	KEY_C 8620 8624	When
T523	VARIABLE 8625 8637	the hardware
T524	CONDITION 8638 8660	mounting induces axial
T525	CONDITION 8664 8732	radial restrictions on the pressure driven expansion of the hardware
T526	VARIABLE 8734 8756	the burst test fixture
T527	CONDITION 8757 8795	shall simulate the structural response
T528	CONDITION 8799 8836	reaction loads of the flight mounting
T529	OR 8757 8836	shall simulate the structural response or reaction loads of the flight mounting
T530	STATEMENT 8734 8836	the burst test fixture shall simulate the structural response or reaction loads of the flight mounting
T531	OR 8638 8732	mounting induces axial or radial restrictions on the pressure driven expansion of the hardware
T532	STATEMENT 8625 8732	the hardware mounting induces axial or radial restrictions on the pressure driven expansion of the hardware
T533	CAUSE 8620 8732	When the hardware mounting induces axial or radial restrictions on the pressure driven expansion of the hardware
T534	CAUSE_EFFECT_RELATION 8620 8836	When the hardware mounting induces axial or radial restrictions on the pressure driven expansion of the hardware, the burst test fixture shall simulate the structural response or reaction loads of the flight mounting
T535	ROOT_SENTENCE 8620 8837	When the hardware mounting induces axial or radial restrictions on the pressure driven expansion of the hardware, the burst test fixture shall simulate the structural response or reaction loads of the flight mounting.
T536	KEY_C 8839 8843	When
T537	VARIABLE 8844 8847	NDI
T538	CONDITION 8848 8887	is performed in the qualification tests
T539	VARIABLE 8889 8891	it
T540	CONDITION 8892 8913	shall meet clause 5.7
T541	STATEMENT 8889 8913	it shall meet clause 5.7
T542	STATEMENT 8844 8887	NDI is performed in the qualification tests
T543	CAUSE 8839 8887	When NDI is performed in the qualification tests
T544	CAUSE_EFFECT_RELATION 8839 8913	When NDI is performed in the qualification tests, it shall meet clause 5.7
T545	ROOT_SENTENCE 8839 8914	When NDI is performed in the qualification tests, it shall meet clause 5.7.
T546	KEY_C 8916 8920	When
T547	VARIABLE 8921 8967	the composite wall of the pressurized hardware
T548	CONDITION 8968 8984	serves partially
T549	CONDITION 8988 9041	totally as a permeation barrier (e.g. for CPV or CPS)
T550	OR 8968 9041	serves partially or totally as a permeation barrier (e.g. for CPV or CPS)
T551	STATEMENT 8921 9041	the composite wall of the pressurized hardware serves partially or totally as a permeation barrier (e.g. for CPV or CPS)
T552	CAUSE 8916 9041	When the composite wall of the pressurized hardware serves partially or totally as a permeation barrier (e.g. for CPV or CPS)
T553	VARIABLE 9043 9070	any degradation of the wall
T554	KEY_C 9071 9077	due to
T555	VARIABLE 9078 9089	the contact
T556	CONDITION 9090 9111	with the stored fluid
T557	STATEMENT 9078 9111	the contact with the stored fluid
T558	CAUSE 9071 9111	due to the contact with the stored fluid
T559	CAUSE_EFFECT_RELATION 9043 9111	any degradation of the wall due to the contact with the stored fluid
T560	CONDITION 9112 9179	shall be accounted for in the design allowable of material strength
T561	STATEMENT 9043 9179	any degradation of the wall due to the contact with the stored fluid shall be accounted for in the design allowable of material strength
T562	CAUSE_EFFECT_RELATION 8916 9179	When the composite wall of the pressurized hardware serves partially or totally as a permeation barrier (e.g. for CPV or CPS), any degradation of the wall due to the contact with the stored fluid shall be accounted for in the design allowable of material strength
T563	ROOT_SENTENCE 8916 9180	When the composite wall of the pressurized hardware serves partially or totally as a permeation barrier (e.g. for CPV or CPS), any degradation of the wall due to the contact with the stored fluid shall be accounted for in the design allowable of material strength.
T564	VARIABLE 9182 9201	Anti‐creep barriers
T565	CONDITION 9202 9215	shall be used
T566	KEY_C 9216 9220	when
T567	VARIABLE 9221 9251	migration of fluids lubricants
T568	CONDITION 9252 9291	causes a change of the lubricant amount
T569	CONDITION 9292 9368	on the parts to be lubricated resulting in mechanism performance degradation
T570	CONDITION 9369 9406	below the limits specified in the SMS
T571	AND 9292 9406	on the parts to be lubricated resulting in mechanism performance degradation below the limits specified in the SMS
T572	AND 9252 9406	causes a change of the lubricant amount on the parts to be lubricated resulting in mechanism performance degradation below the limits specified in the SMS
T573	STATEMENT 9221 9406	migration of fluids lubricants causes a change of the lubricant amount on the parts to be lubricated resulting in mechanism performance degradation below the limits specified in the SMS
T574	CAUSE 9216 9406	when migration of fluids lubricants causes a change of the lubricant amount on the parts to be lubricated resulting in mechanism performance degradation below the limits specified in the SMS
T575	STATEMENT 9182 9215	Anti‐creep barriers shall be used
T576	CAUSE_EFFECT_RELATION 9182 9406	Anti‐creep barriers shall be used when migration of fluids lubricants causes a change of the lubricant amount on the parts to be lubricated resulting in mechanism performance degradation below the limits specified in the SMS
T577	ROOT_SENTENCE 9182 9407	Anti‐creep barriers shall be used when migration of fluids lubricants causes a change of the lubricant amount on the parts to be lubricated resulting in mechanism performance degradation below the limits specified in the SMS.
T578	VARIABLE 9409 9411	TL
T579	CONDITION 9412 9444	is the deliverable output torque
T580	KEY_C 9446 9450	when
T581	VARIABLE 9451 9476	specified by the customer
T582	CAUSE 9446 9476	when specified by the customer
T583	STATEMENT 9409 9444	TL is the deliverable output torque
T584	CAUSE_EFFECT_RELATION 9409 9476	TL is the deliverable output torque, when specified by the customer
T585	ROOT_SENTENCE 9409 9477	TL is the deliverable output torque, when specified by the customer.
T586	KEY_C 9479 9483	When
T587	VARIABLE 9484 9504	the actuation torque
T588	VARIABLE 9509 9514	force
T589	OR 9484 9515	the actuation torque (or force)
T590	CONDITION 9516 9562	is supplied by an electronic controlled device
T591	STATEMENT 9484 9562	the actuation torque (or force) is supplied by an electronic controlled device
T592	CAUSE 9479 9562	When the actuation torque (or force) is supplied by an electronic controlled device
T593	VARIABLE 9564 9584	the actuation torque
T594	VARIABLE 9589 9594	force
T595	OR 9564 9595	the actuation torque (or force)
T596	CONDITION 9596 9619	supplied by this device
T597	CONDITION 9620 9670	shall be derived considering worst‐case conditions
T598	AND 9596 9670	supplied by this device shall be derived considering worst‐case conditions
T599	STATEMENT 9564 9670	the actuation torque (or force) supplied by this device shall be derived considering worst‐case conditions
T600	CAUSE_EFFECT_RELATION 9479 9670	When the actuation torque (or force) is supplied by an electronic controlled device, the actuation torque (or force) supplied by this device shall be derived considering worst‐case conditions
T601	ROOT_SENTENCE 9479 9671	When the actuation torque (or force) is supplied by an electronic controlled device, the actuation torque (or force) supplied by this device shall be derived considering worst‐case conditions.
T602	KEY_C 9673 9677	When
T603	VARIABLE 9678 9698	the actuation torque
T604	VARIABLE 9703 9708	force
T605	OR 9678 9709	the actuation torque (or force)
T606	CONDITION 9710 9742	is supplied by a spring actuator
T607	STATEMENT 9678 9742	the actuation torque (or force) is supplied by a spring actuator
T608	CAUSE 9673 9742	When the actuation torque (or force) is supplied by a spring actuator
T609	VARIABLE 9744 9764	the actuation torque
T610	VARIABLE 9769 9774	force
T611	OR 9744 9775	the actuation torque (or force)
T612	CONDITION 9776 9798	supplied by the spring
T613	CONDITION 9800 9850	shall be derived considering worst‐case conditions
T614	CONDITION 9856 9910	be multiplied by the maximum uncertainty factor of 0,8
T615	AND 9800 9910	shall be derived considering worst‐case conditions, and be multiplied by the maximum uncertainty factor of 0,8
T616	AND 9776 9910	supplied by the spring, shall be derived considering worst‐case conditions, and be multiplied by the maximum uncertainty factor of 0,8
T617	STATEMENT 9744 9910	the actuation torque (or force) supplied by the spring, shall be derived considering worst‐case conditions, and be multiplied by the maximum uncertainty factor of 0,8
T618	CAUSE_EFFECT_RELATION 9673 9910	When the actuation torque (or force) is supplied by a spring actuator, the actuation torque (or force) supplied by the spring, shall be derived considering worst‐case conditions, and be multiplied by the maximum uncertainty factor of 0,8
T619	ROOT_SENTENCE 9673 9911	When the actuation torque (or force) is supplied by a spring actuator, the actuation torque (or force) supplied by the spring, shall be derived considering worst‐case conditions, and be multiplied by the maximum uncertainty factor of 0,8.
T620	KEY_C 9913 9917	When
T621	VARIABLE 9918 9937	other forms of life
T622	CONDITION 9938 9963	are accommodated on board
T623	STATEMENT 9918 9963	other forms of life are accommodated on board
T624	CAUSE 9913 9963	When other forms of life are accommodated on board
T625	VARIABLE 9965 9974	the ECLSS
T626	CONDITION 9975 10055	also ensures the appropriate environmental conditions for those living organisms
T627	STATEMENT 9965 10055	the ECLSS also ensures the appropriate environmental conditions for those living organisms
T628	CAUSE_EFFECT_RELATION 9913 10055	When other forms of life are accommodated on board, the ECLSS also ensures the appropriate environmental conditions for those living organisms
T629	ROOT_SENTENCE 9913 10056	When other forms of life are accommodated on board, the ECLSS also ensures the appropriate environmental conditions for those living organisms.
T630	VARIABLE 10058 10094	An uncontrolled pressurization event
T631	CONDITION 10095 10112	shall be detected
T632	STATEMENT 10058 10112	An uncontrolled pressurization event shall be detected
T633	KEY_C 10113 10117	when
T634	VARIABLE 10118 10144	the rate of pressurization
T635	CONDITION 10145 10177	is higher than a specified value
T636	STATEMENT 10118 10177	the rate of pressurization is higher than a specified value
T637	CAUSE 10113 10177	when the rate of pressurization is higher than a specified value
T638	CAUSE_EFFECT_RELATION 10058 10177	An uncontrolled pressurization event shall be detected when the rate of pressurization is higher than a specified value
T639	ROOT_SENTENCE 10058 10178	An uncontrolled pressurization event shall be detected when the rate of pressurization is higher than a specified value.
T640	KEY_C 10180 10184	When
T641	VARIABLE 10185 10193	recovery
T642	CONDITION 10201 10213	be performed
T643	NEGATION 10194 10213	cannot be performed
T644	STATEMENT 10185 10213	recovery cannot be performed
T645	CAUSE 10180 10213	When recovery cannot be performed
T646	VARIABLE 10215 10222	storage
T647	VARIABLE 10227 10250	stabilization of wastes
T648	AND 10215 10250	storage and stabilization of wastes
T649	CONDITION 10251 10279	shall specify means for safe
T650	CONDITION 10284 10306	effective disinfection
T651	CONDITION 10308 10320	sanitization
T652	CONDITION 10325 10336	containment
T653	AND 10308 10336	sanitization and containment
T654	AND 10284 10336	effective disinfection, sanitization and containment
T655	AND 10251 10336	shall specify means for safe and effective disinfection, sanitization and containment
T656	STATEMENT 10215 10336	storage and stabilization of wastes shall specify means for safe and effective disinfection, sanitization and containment
T657	CAUSE_EFFECT_RELATION 10180 10336	When recovery cannot be performed, storage and stabilization of wastes shall specify means for safe and effective disinfection, sanitization and containment
T658	ROOT_SENTENCE 10180 10337	When recovery cannot be performed, storage and stabilization of wastes shall specify means for safe and effective disinfection, sanitization and containment.
T659	KEY_C 10339 10343	When
T660	VARIABLE 10344 10372	verification at system level
T661	CONDITION 10373 10393	is performed by test
T662	VARIABLE 10395 10429	a representative propulsion system
T663	VARIABLE 10431 10458	including electrical system
T664	AND 10395 10458	a representative propulsion system, including electrical system
T665	CONDITION 10460 10496	shall be tested in flight conditions
T666	CONDITION 10500 10532	flight representative conditions
T667	OR 10460 10532	shall be tested in flight conditions or flight representative conditions
T668	STATEMENT 10395 10532	a representative propulsion system, including electrical system, shall be tested in flight conditions or flight representative conditions
T669	STATEMENT 10344 10393	verification at system level is performed by test
T670	CAUSE 10339 10393	When verification at system level is performed by test
T671	CAUSE_EFFECT_RELATION 10339 10532	When verification at system level is performed by test, a representative propulsion system, including electrical system, shall be tested in flight conditions or flight representative conditions
T672	ROOT_SENTENCE 10339 10533	When verification at system level is performed by test, a representative propulsion system, including electrical system, shall be tested in flight conditions or flight representative conditions.
T673	VARIABLE 10535 10555	Cross check analysis
T674	CONDITION 10556 10574	shall be performed
T675	KEY_C 10575 10579	when
T676	VARIABLE 10580 10597	flight conditions
T677	CONDITION 10605 10636	be reproduced by ground testing
T678	NEGATION 10598 10636	cannot be reproduced by ground testing
T679	STATEMENT 10580 10636	flight conditions cannot be reproduced by ground testing
T680	CAUSE 10575 10636	when flight conditions cannot be reproduced by ground testing
T681	STATEMENT 10535 10574	Cross check analysis shall be performed
T682	VARIABLE 10639 10645	The UM
T683	CONDITION 10646 10703	shall include the verification activities to be performed
T684	KEY_C 10705 10709	when
T685	VARIABLE 10710 10739	these verification activities
T686	CONDITION 10740 10752	are required
T687	CONDITION 10757 10787	the conditions to perform them
T688	AND 10740 10787	are required and the conditions to perform them
T689	STATEMENT 10710 10787	these verification activities are required and the conditions to perform them
T690	CAUSE 10705 10787	when these verification activities are required and the conditions to perform them
T691	STATEMENT 10639 10703	The UM shall include the verification activities to be performed
T692	CAUSE_EFFECT_RELATION 10639 10787	The UM shall include the verification activities to be performed, when these verification activities are required and the conditions to perform them
T693	ROOT_SENTENCE 10639 10788	The UM shall include the verification activities to be performed, when these verification activities are required and the conditions to perform them.
T694	VARIABLE 10790 10810	The stability margin
T695	CONDITION 10811 10837	shall be a design criteria
T696	KEY_C 10838 10842	when
T697	VARIABLE 10843 10852	designing
T698	CONDITION 10853 10869	a thrust chamber
T699	STATEMENT 10843 10869	designing a thrust chamber
T700	CAUSE 10838 10869	when designing a thrust chamber
T701	STATEMENT 10790 10837	The stability margin shall be a design criteria
T702	CAUSE_EFFECT_RELATION 10790 10869	The stability margin shall be a design criteria when designing a thrust chamber
T703	ROOT_SENTENCE 10790 10870	The stability margin shall be a design criteria when designing a thrust chamber.
T704	KEY_C 10872 10876	When
T705	VARIABLE 10877 10887	boost pump
T706	CONDITION 10888 10896	are used
T707	VARIABLE 10898 10928	the justification of their use
T708	CONDITION 10929 10985	shall be expressed at the liquid propulsion system level
T709	CONDITION 10986 11007	including performance
T710	CONDITION 11009 11020	reliability
T711	CONDITION 11025 11029	cost
T712	AND 11009 11029	reliability and cost
T713	AND 10986 11029	including performance, reliability and cost
T714	AND 10929 11029	shall be expressed at the liquid propulsion system level including performance, reliability and cost
T715	STATEMENT 10898 11029	the justification of their use shall be expressed at the liquid propulsion system level including performance, reliability and cost
T716	STATEMENT 10877 10896	boost pump are used
T717	CAUSE 10872 10896	When boost pump are used
T718	CAUSE_EFFECT_RELATION 10872 11029	When boost pump are used, the justification of their use shall be expressed at the liquid propulsion system level including performance, reliability and cost
T719	ROOT_SENTENCE 10872 11030	When boost pump are used, the justification of their use shall be expressed at the liquid propulsion system level including performance, reliability and cost.
T720	VARIABLE 11032 11045	Both internal
T721	VARIABLE 11050 11069	external load cases
T722	AND 11032 11069	Both internal and external load cases
T723	CONDITION 11070 11083	shall be used
T724	KEY_C 11084 11088	when
T725	VARIABLE 11089 11101	establishing
T726	CONDITION 11102 11125	dimensioning load cases
T727	STATEMENT 11089 11125	establishing dimensioning load cases
T728	CAUSE 11084 11125	when establishing dimensioning load cases
T729	STATEMENT 11032 11083	Both internal and external load cases shall be used
T730	CAUSE_EFFECT_RELATION 11032 11125	Both internal and external load cases shall be used when establishing dimensioning load cases
T731	ROOT_SENTENCE 11032 11126	Both internal and external load cases shall be used when establishing dimensioning load cases.
T732	VARIABLE 11128 11140	Risk of wear
T733	VARIABLE 11145 11164	tribological damage
T734	AND 11128 11164	Risk of wear and tribological damage
T735	CONDITION 11165 11184	shall be considered
T736	KEY_C 11185 11189	when
T737	VARIABLE 11190 11199	selecting
T738	CONDITION 11200 11208	material
T739	STATEMENT 11190 11208	selecting material
T740	CAUSE 11185 11208	when selecting material
T741	STATEMENT 11128 11184	Risk of wear and tribological damage shall be considered
T742	CAUSE_EFFECT_RELATION 11128 11208	Risk of wear and tribological damage shall be considered when selecting material
T743	ROOT_SENTENCE 11128 11209	Risk of wear and tribological damage shall be considered when selecting material.
T744	VARIABLE 11211 11217	Valves
T745	VARIABLE 11222 11232	regulators
T746	AND 11211 11232	Valves and regulators
T747	CONDITION 11243 11265	generate contamination
T748	NEGATION 11233 11265	shall not generate contamination
T749	CONDITION 11267 11296	exceeding the specified level
T750	AND 11233 11296	shall not generate contamination, exceeding the specified level
T751	STATEMENT 11211 11296	Valves and regulators shall not generate contamination, exceeding the specified level
T752	KEY_C 11298 11302	when
T753	VARIABLE 11303 11310	exposed
T754	CONDITION 11311 11341	to the specified environmental
T755	CONDITION 11346 11362	functional tests
T756	AND 11311 11362	to the specified environmental and functional tests
T757	STATEMENT 11303 11362	exposed to the specified environmental and functional tests
T758	CAUSE 11298 11362	when exposed to the specified environmental and functional tests
T759	CAUSE_EFFECT_RELATION 11211 11362	Valves and regulators shall not generate contamination, exceeding the specified level, when exposed to the specified environmental and functional tests
T760	ROOT_SENTENCE 11211 11363	Valves and regulators shall not generate contamination, exceeding the specified level, when exposed to the specified environmental and functional tests.
T761	VARIABLE 11365 11399	Compatibility of dissimilar metals
T762	CONDITION 11400 11419	shall be considered
T763	STATEMENT 11365 11419	Compatibility of dissimilar metals shall be considered
T764	KEY_C 11420 11424	when
T765	VARIABLE 11425 11434	selecting
T766	CONDITION 11435 11463	a mechanical cleaning method
T767	STATEMENT 11425 11463	selecting a mechanical cleaning method
T768	CAUSE 11420 11463	when selecting a mechanical cleaning method
T769	CAUSE_EFFECT_RELATION 11365 11463	Compatibility of dissimilar metals shall be considered when selecting a mechanical cleaning method
T770	ROOT_SENTENCE 11365 11464	Compatibility of dissimilar metals shall be considered when selecting a mechanical cleaning method.
T771	VARIABLE 11466 11474	Sampling
T772	CONDITION 11475 11507	shall be in conformance with 7.2
T773	NONE_CAUSAL 11466 11507	Sampling shall be in conformance with 7.2
T774	KEY_C 11509 11520	except that
T775	VARIABLE 11521 11568	additional sample material from the offered lot
T776	CONDITION 11569 11576	is used
T777	STATEMENT 11521 11576	additional sample material from the offered lot is used
T778	EFFECT 11509 11576	except that additional sample material from the offered lot is used
T779	KEY_C 11577 11581	when
T780	VARIABLE 11582 11606	necessary to make 0,1 m2
T781	CAUSE 11577 11606	when necessary to make 0,1 m2
T782	CAUSE_EFFECT_RELATION 11509 11606	except that additional sample material from the offered lot is used when necessary to make 0,1 m2
T783	ROOT_SENTENCE 11466 11607	Sampling shall be in conformance with 7.2, except that additional sample material from the offered lot is used when necessary to make 0,1 m2.
T787	KEY_C 11772 11776	When
T788	VARIABLE 11777 11791	an N‐bit field
T789	CONDITION 11792 11845	is used to express a binary value (such as a counter)
T790	VARIABLE 11847 11871	the most significant bit
T791	CONDITION 11872 11930	is the first bit of the field, i.e. bit 0 (see Figure 3‐1)
T792	STATEMENT 11847 11930	the most significant bit is the first bit of the field, i.e. bit 0 (see Figure 3‐1)
T793	STATEMENT 11777 11845	an N‐bit field is used to express a binary value (such as a counter)
T794	CAUSE 11772 11845	When an N‐bit field is used to express a binary value (such as a counter)
T795	CAUSE_EFFECT_RELATION 11772 11930	When an N‐bit field is used to express a binary value (such as a counter), the most significant bit is the first bit of the field, i.e. bit 0 (see Figure 3‐1)
T796	ROOT_SENTENCE 11772 11931	When an N‐bit field is used to express a binary value (such as a counter), the most significant bit is the first bit of the field, i.e. bit 0 (see Figure 3‐1).
T797	VARIABLE 11933 11949	The code symbols
T798	CONDITION 11950 11976	are called channel symbols
T799	KEY_C 11977 11981	when
T800	VARIABLE 11982 11986	they
T801	CONDITION 11987 12013	are the output of the last
T802	CONDITION 12017 12062	only code applied during the encoding process
T803	OR 11987 12062	are the output of the last or only code applied during the encoding process
T804	STATEMENT 11982 12062	they are the output of the last or only code applied during the encoding process
T805	CAUSE 11977 12062	when they are the output of the last or only code applied during the encoding process
T806	STATEMENT 11933 11976	The code symbols are called channel symbols
T807	CAUSE_EFFECT_RELATION 11933 12062	The code symbols are called channel symbols when they are the output of the last or only code applied during the encoding process
T808	ROOT_SENTENCE 11933 12063	The code symbols are called channel symbols when they are the output of the last or only code applied during the encoding process.
T809	VARIABLE 12065 12087	The convolutional code
T810	CONDITION 12089 12098	by itself
T811	CONDITION 12107 12146	guarantee sufficient symbol transitions
T812	NEGATION 12100 12146	cannot guarantee sufficient symbol transitions
T813	AND 12089 12146	by itself, cannot guarantee sufficient symbol transitions
T814	STATEMENT 12065 12146	The convolutional code, by itself, cannot guarantee sufficient symbol transitions
T815	KEY_C 12147 12151	when
T816	VARIABLE 12152 12181	non‐binary modulation schemes
T817	CONDITION 12182 12203	such as QPSK are used
T818	STATEMENT 12152 12203	non‐binary modulation schemes such as QPSK are used
