T1	VARIABLE 3 25	accelerated life tests
T447	VARIABLE 12604 12620	the deviation(s)
T448	CONDITION 12621 12661	shall be indicated on the master drawing
T449	STATEMENT 12604 12661	the deviation(s) shall be indicated on the master drawing
T450	STATEMENT 12538 12602	approvals for deviations from this specification have been given
T451	CAUSE 12535 12602	If approvals for deviations from this specification have been given
T452	CAUSE_EFFECT_RELATION 12535 12661	If approvals for deviations from this specification have been given, the deviation(s) shall be indicated on the master drawing
T453	ROOT_SENTENCE 12535 12662	If approvals for deviations from this specification have been given, the deviation(s) shall be indicated on the master drawing.
T454	KEY_C 12363 12365	If
T455	VARIABLE 12366 12387	the table of contents
T456	CONDITION 12388 12414	ends on a left-facing page
T457	VARIABLE 12416 12445	the reverse right-facing page
T458	CONDITION 12446 12460	shall be blank
T459	VARIABLE 12465 12491	the introduction paragraph
T460	CONDITION 12492 12532	shall begin on the next left-facing page
T461	STATEMENT 12465 12532	the introduction paragraph shall begin on the next left-facing page
T462	STATEMENT 12416 12460	the reverse right-facing page shall be blank
T463	AND 12416 12532	the reverse right-facing page shall be blank and the introduction paragraph shall begin on the next left-facing page
T464	STATEMENT 12366 12414	the table of contents ends on a left-facing page
T465	CAUSE 12363 12414	If the table of contents ends on a left-facing page
T466	CAUSE_EFFECT_RELATION 12363 12532	If the table of contents ends on a left-facing page, the reverse right-facing page shall be blank and the introduction paragraph shall begin on the next left-facing page
T467	ROOT_SENTENCE 12363 12533	If the table of contents ends on a left-facing page, the reverse right-facing page shall be blank and the introduction paragraph shall begin on the next left-facing page.
T468	KEY_C 12303 12305	If
T469	VARIABLE 12306 12311	space
T470	CONDITION 12321 12327	permit
T471	NEGATION 12312 12327	does not permit
T472	STATEMENT 12306 12327	space does not permit
T473	CAUSE 12303 12327	If space does not permit
T474	VARIABLE 12329 12331	it
T475	CONDITION 12332 12360	shall begin on the next page
T476	STATEMENT 12329 12360	it shall begin on the next page
T477	CAUSE_EFFECT_RELATION 12303 12360	If space does not permit, it shall begin on the next page
T478	ROOT_SENTENCE 12303 12361	If space does not permit, it shall begin on the next page.
T479	KEY_C 12199 12201	If
T480	VARIABLE 12202 12213	implemented
T481	VARIABLE 12215 12257	the maximum allowable shocks on the memory
T482	CONDITION 12258 12274	shall be defined
T483	CONDITION 12279 12300	included in R-SYS-300
T484	AND 12258 12300	shall be defined and included in R-SYS-300
T485	STATEMENT 12215 12300	the maximum allowable shocks on the memory shall be defined and included in R-SYS-300
T486	CAUSE 12199 12213	If implemented
T487	CAUSE_EFFECT_RELATION 12199 12300	If implemented, the maximum allowable shocks on the memory shall be defined and included in R-SYS-300
T488	ROOT_SENTENCE 12199 12301	If implemented, the maximum allowable shocks on the memory shall be defined and included in R-SYS-300.
T491	KEY_C 11939 11941	If
T492	VARIABLE 11942 11964	the sampling operation
T493	CONDITION 11973 11983	successful
T494	NEGATION 11965 11983	was not successful
T495	STATEMENT 11942 11983	the sampling operation was not successful
T496	CAUSE 11939 11983	If the sampling operation was not successful
T497	VARIABLE 11985 11999	the spacecraft
T498	CONDITION 12000 12051	can undertake 2 more attempts (3 attempts in total)
T499	STATEMENT 11985 12051	the spacecraft can undertake 2 more attempts (3 attempts in total)
T500	CAUSE_EFFECT_RELATION 11939 12051	If the sampling operation was not successful, the spacecraft can undertake 2 more attempts (3 attempts in total)
T501	ROOT_SENTENCE 11939 12052	If the sampling operation was not successful, the spacecraft can undertake 2 more attempts (3 attempts in total).
T502	KEY_C 11692 11694	If
T503	VARIABLE 11695 11712	not complied with
T504	CAUSE 11692 11712	If not complied with
T505	VARIABLE 11714 11724	the Agency
T506	CONDITION 11725 11754	shall immediately be notified
T507	STATEMENT 11714 11754	the Agency shall immediately be notified
T508	CAUSE_EFFECT_RELATION 11692 11754	If not complied with, the Agency shall immediately be notified
T509	ROOT_SENTENCE 11692 11755	If not complied with, the Agency shall immediately be notified.
T510	KEY_C 11575 11577	If
T511	VARIABLE 11578 11601	the alternate frequency
T512	CONDITION 11602 11633	deviates by more than 1 percent
T513	KEY_C 11635 11639	then
T514	VARIABLE 11640 11677	acceptance by the qualifying activity
T515	CONDITION 11678 11689	is required
T516	STATEMENT 11640 11689	acceptance by the qualifying activity is required
T517	EFFECT 11635 11689	then acceptance by the qualifying activity is required
T518	STATEMENT 11578 11633	the alternate frequency deviates by more than 1 percent
T519	CAUSE 11575 11633	If the alternate frequency deviates by more than 1 percent
T520	CAUSE_EFFECT_RELATION 11575 11689	If the alternate frequency deviates by more than 1 percent, then acceptance by the qualifying activity is required
T521	ROOT_SENTENCE 11575 11690	If the alternate frequency deviates by more than 1 percent, then acceptance by the qualifying activity is required.
