T1	VARIABLE 0 8	The user
T475	NONE_CAUSAL 6231 6249	(see Section 4.12)
T476	STATEMENT 6086 6116	This option shall only be sent
T477	STATEMENT 6120 6230	the peer L2CAP entity has indicated support for the Extended Window size feature in the Extended Features Mask
T478	CAUSE 6117 6230	if the peer L2CAP entity has indicated support for the Extended Window size feature in the Extended Features Mask
T479	CAUSE_EFFECT_RELATION 6086 6230	This option shall only be sent if the peer L2CAP entity has indicated support for the Extended Window size feature in the Extended Features Mask
T480	ROOT_SENTENCE 6086 6250	This option shall only be sent if the peer L2CAP entity has indicated support for the Extended Window size feature in the Extended Features Mask (see Section 4.12).
T481	VARIABLE 5155 5172	the monitor timer
T482	CONDITION 5173 5190	is already active
T483	VARIABLE 5196 5206	an S-frame
T484	CONDITION 5207 5214	is sent
T485	KEY_C 5191 5195	when
T486	KEY_C 5152 5154	If
T487	CAUSE 5191 5214	when an S-frame is sent
T488	CAUSE 5152 5190	If the monitor timer is already active
T489	STATEMENT 5155 5190	the monitor timer is already active
T490	STATEMENT 5196 5214	an S-frame is sent
T491	VARIABLE 5216 5225	the timer
T492	CONDITION 5226 5244	shall be restarted
T493	STATEMENT 5216 5244	the timer shall be restarted
T494	AND 5152 5214	If the monitor timer is already active when an S-frame is sent
T495	CAUSE_EFFECT_RELATION 5152 5244	If the monitor timer is already active when an S-frame is sent, the timer shall be restarted
T496	ROOT_SENTENCE 5152 5245	If the monitor timer is already active when an S-frame is sent, the timer shall be restarted.
T497	VARIABLE 4822 4824	it
T498	CONDITION 4825 4885	shall send the connection parameter update to its Controller
T499	KEY_C 4779 4781	If
T500	VARIABLE 4782 4800	the LE master Host
T501	CONDITION 4801 4820	accepts the request
T502	STATEMENT 4782 4820	the LE master Host accepts the request
T503	CAUSE 4779 4820	If the LE master Host accepts the request
T504	STATEMENT 4822 4885	it shall send the connection parameter update to its Controller
T505	CAUSE_EFFECT_RELATION 4779 4885	If the LE master Host accepts the request, it shall send the connection parameter update to its Controller
T506	ROOT_SENTENCE 4779 4886	If the LE master Host accepts the request, it shall send the connection parameter update to its Controller.
T507	NONE_CAUSAL 2518 2611	The data field shall contain the value associated with the InfoType field sent in the Request
T508	OR 2518 2663	The data field shall contain the value associated with the InfoType field sent in the Request, or shall be empty if the InfoType is not supported
T509	ROOT_SENTENCE 2518 2664	The data field shall contain the value associated with the InfoType field sent in the Request, or shall be empty if the InfoType is not supported.
T510	VARIABLE 3374 3391	the remote device
T511	CONDITION 3392 3434	returns a negative response to this option
T512	VARIABLE 3439 3455	the local device
T513	CONDITION 3463 3487	honor the proposed value
T514	NEGATION 3456 3487	cannot honor the proposed value
T515	KEY_C 3371 3373	If
T516	KEY_C 3489 3493	then
T517	VARIABLE 3494 3496	it
T518	CONDITION 3497 3593	shall either continue the configuration process by sending a new request with the original value
T519	CONDITION 3598 3620	disconnect the channel
T520	OR 3497 3620	shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T521	STATEMENT 3494 3620	it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T522	EFFECT 3489 3620	then it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T523	STATEMENT 3439 3487	the local device cannot honor the proposed value
T524	STATEMENT 3374 3434	the remote device returns a negative response to this option
T525	AND 3374 3487	the remote device returns a negative response to this option and the local device cannot honor the proposed value
T526	CAUSE 3371 3487	If the remote device returns a negative response to this option and the local device cannot honor the proposed value
T527	CAUSE_EFFECT_RELATION 3371 3620	If the remote device returns a negative response to this option and the local device cannot honor the proposed value, then it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel
T528	ROOT_SENTENCE 3371 3621	If the remote device returns a negative response to this option and the local device cannot honor the proposed value, then it shall either continue the configuration process by sending a new request with the original value, or disconnect the channel.
T529	NONE_CAUSAL 3623 3650	This is an asymmetric value
T530	VARIABLE 3623 3627	This
T531	CONDITION 3628 3650	is an asymmetric value
T532	VARIABLE 3655 3680	the sender of the Request
T533	CONDITION 3681 3718	shall specify its flush timeout value
T534	KEY_C 3719 3721	if
T535	VARIABLE 3722 3724	it
T536	CONDITION 3725 3765	differs from the default value of 0xFFFF
T537	STATEMENT 3655 3718	the sender of the Request shall specify its flush timeout value
T538	STATEMENT 3722 3765	it differs from the default value of 0xFFFF
T539	CAUSE 3719 3765	if it differs from the default value of 0xFFFF
T540	CAUSE_EFFECT_RELATION 3655 3765	the sender of the Request shall specify its flush timeout value if it differs from the default value of 0xFFFF
T541	AND 3623 3765	This is an asymmetric value and the sender of the Request shall specify its flush timeout value if it differs from the default value of 0xFFFF
T542	ROOT_SENTENCE 3623 3766	This is an asymmetric value and the sender of the Request shall specify its flush timeout value if it differs from the default value of 0xFFFF.
T543	KEY_C 13495 13497	If
T544	VARIABLE 13498 13540	the ability to not detect missing I-frames
T545	CONDITION 13541 13579	will cause problems for an application
T546	VARIABLE 13581 13583	it
T547	CONDITION 13584 13598	is recommended
T548	VARIABLE 13604 13635	the Extended Window Size option
T549	CONDITION 13636 13643	be used
T550	STATEMENT 13604 13643	the Extended Window Size option be used
T551	KEY_C 13599 13603	that
T552	EFFECT 13599 13643	that the Extended Window Size option be used
T553	STATEMENT 13581 13598	it is recommended
T554	AND 13581 13643	it is recommended that the Extended Window Size option be used
T555	STATEMENT 13498 13579	the ability to not detect missing I-frames will cause problems for an application
T556	CAUSE 13495 13579	If the ability to not detect missing I-frames will cause problems for an application
T557	CAUSE_EFFECT_RELATION 13495 13643	If the ability to not detect missing I-frames will cause problems for an application, it is recommended that the Extended Window Size option be used
T558	ROOT_SENTENCE 13495 13644	If the ability to not detect missing I-frames will cause problems for an application, it is recommended that the Extended Window Size option be used.
T559	KEY_C 13143 13145	If
T560	VARIABLE 13146 13165	more than one frame
T561	CONDITION 13166 13195	is sent in the acknowledgment
T562	VARIABLE 13196 13216	only the first frame
T563	CONDITION 13217 13245	shall have an F-bit set to 1
T564	STATEMENT 13196 13245	only the first frame shall have an F-bit set to 1
T565	STATEMENT 13146 13195	more than one frame is sent in the acknowledgment
T566	CAUSE 13143 13195	If more than one frame is sent in the acknowledgment
T567	CAUSE_EFFECT_RELATION 13143 13245	If more than one frame is sent in the acknowledgment only the first frame shall have an F-bit set to 1
T568	ROOT_SENTENCE 13143 13246	If more than one frame is sent in the acknowledgment only the first frame shall have an F-bit set to 1.
T569	KEY_C 13012 13014	If
T570	VARIABLE 13015 13034	the value specified
T571	CONDITION 13035 13039	is P
T572	KEY_C 13040 13044	then
T573	VARIABLE 13045 13054	the F-bit
T574	CONDITION 13055 13140	shall be set equal to the value of the P-bit of the received frame being acknowledged
T575	STATEMENT 13045 13140	the F-bit shall be set equal to the value of the P-bit of the received frame being acknowledged
T576	EFFECT 13040 13140	then the F-bit shall be set equal to the value of the P-bit of the received frame being acknowledged
T577	STATEMENT 13015 13039	the value specified is P
T578	CAUSE 13012 13039	If the value specified is P
T579	CAUSE_EFFECT_RELATION 13012 13140	If the value specified is P then the F-bit shall be set equal to the value of the P-bit of the received frame being acknowledged
T580	ROOT_SENTENCE 13012 13141	If the value specified is P then the F-bit shall be set equal to the value of the P-bit of the received frame being acknowledged.
T581	KEY_C 12945 12947	If
T582	VARIABLE 12948 12971	the value for the F-bit
T583	CONDITION 12979 12988	specified
T584	NEGATION 12972 12988	is not specified
T585	STATEMENT 12948 12988	the value for the F-bit is not specified
T586	CAUSE 12945 12988	If the value for the F-bit is not specified
T587	VARIABLE 12989 12991	it
T588	CONDITION 12992 13009	shall be set to 0
T589	STATEMENT 12989 13009	it shall be set to 0
T590	CAUSE_EFFECT_RELATION 12945 13009	If the value for the F-bit is not specified it shall be set to 0
T591	ROOT_SENTENCE 12945 13010	If the value for the F-bit is not specified it shall be set to 0.
T592	KEY_C 12859 12861	If
T593	VARIABLE 12862 12869	a frame
T594	CONDITION 12870 12891	has already been sent
T595	KEY_C 12892 12896	then
T596	VARIABLE 12897 12899	it
T597	CONDITION 12907 12942	necessary to send additional frames
T598	NEGATION 12900 12942	is not necessary to send additional frames
T599	STATEMENT 12897 12942	it is not necessary to send additional frames
T600	EFFECT 12892 12942	then it is not necessary to send additional frames
T601	STATEMENT 12862 12891	a frame has already been sent
T602	CAUSE 12859 12891	If a frame has already been sent
T603	CAUSE_EFFECT_RELATION 12859 12942	If a frame has already been sent then it is not necessary to send additional frames
T604	ROOT_SENTENCE 12859 12943	If a frame has already been sent then it is not necessary to send additional frames.
T605	VARIABLE 12779 12781	It
T606	CONDITION 12782 12794	returns TRUE
T607	KEY_C 12795 12797	if
T608	VARIABLE 12798 12820	either of its operands
T609	CONDITION 12821 12829	are TRUE
T610	KEY_C 12680 12682	If
T611	VARIABLE 12683 12716	the P-bit of the received S-frame
T612	CONDITION 12717 12721	is 1
T613	KEY_C 12722 12726	then
T614	VARIABLE 12727 12765	the F-bit of the retransmitted I-frame
T615	CONDITION 12766 12776	shall be 1
T616	STATEMENT 12727 12776	the F-bit of the retransmitted I-frame shall be 1
T617	EFFECT 12722 12776	then the F-bit of the retransmitted I-frame shall be 1
T618	STATEMENT 12683 12721	the P-bit of the received S-frame is 1
T619	CAUSE 12680 12721	If the P-bit of the received S-frame is 1
T620	CAUSE_EFFECT_RELATION 12680 12776	If the P-bit of the received S-frame is 1 then the F-bit of the retransmitted I-frame shall be 1
T621	ROOT_SENTENCE 12680 12777	If the P-bit of the received S-frame is 1 then the F-bit of the retransmitted I-frame shall be 1.
T622	KEY_C 12606 12608	If
T623	VARIABLE 12609 12630	a value for the P-bit
T624	VARIABLE 12634 12639	F-bit
T625	OR 12609 12639	a value for the P-bit or F-bit
T626	NEGATION 12640 12656	is not specified
T627	CONDITION 12647 12656	specified
T628	VARIABLE 12657 12666	the value
T629	CONDITION 12667 12677	shall be 0
T630	STATEMENT 12657 12677	the value shall be 0
T631	CAUSE 12606 12656	If a value for the P-bit or F-bit is not specified
T632	CAUSE_EFFECT_RELATION 12606 12677	If a value for the P-bit or F-bit is not specified the value shall be 0
T633	ROOT_SENTENCE 12606 12678	If a value for the P-bit or F-bit is not specified the value shall be 0.
T634	KEY_C 12521 12523	If
T635	VARIABLE 12524 12542	the busy condition
T636	CONDITION 12543 12549	clears
T637	KEY_C 12550 12554	then
T638	VARIABLE 12555 12561	frames
T639	CONDITION 12562 12592	can be acknowledged with an RR
T640	CONDITION 12596 12603	I-frame
T641	OR 12562 12603	can be acknowledged with an RR or I-frame
T642	STATEMENT 12555 12603	frames can be acknowledged with an RR or I-frame
T643	EFFECT 12550 12603	then frames can be acknowledged with an RR or I-frame
T644	STATEMENT 12524 12549	the busy condition clears
T645	CAUSE 12521 12549	If the busy condition clears
T646	CAUSE_EFFECT_RELATION 12521 12603	If the busy condition clears then frames can be acknowledged with an RR or I-frame
T647	ROOT_SENTENCE 12521 12604	If the busy condition clears then frames can be acknowledged with an RR or I-frame.
T648	VARIABLE 12401 12411	This value
T649	CONDITION 12412 12442	shall be set to 16384 (0x4000)
T650	KEY_C 12290 12292	If
T651	VARIABLE 12293 12298	L2CAP
T652	CONDITION 12299 12317	runs above the HCI
T653	CAUSE 12830 12839	otherwise
T654	VARIABLE 12840 12842	it
T655	CONDITION 12843 12856	returns FALSE
T656	STATEMENT 12840 12856	it returns FALSE
T657	CAUSE_EFFECT_RELATION 12830 12856	otherwise it returns FALSE
T658	CAUSE 12795 12829	if either of its operands are TRUE
T659	STATEMENT 12798 12829	either of its operands are TRUE
T660	STATEMENT 12779 12794	It returns TRUE
T662	CAUSE_EFFECT_RELATION 12779 12856	It returns TRUE if either of its operands are TRUE otherwise it returns FALSE
T663	ROOT_SENTENCE 12779 12857	It returns TRUE if either of its operands are TRUE otherwise it returns FALSE.
T664	OR 12795 12856	if either of its operands are TRUE otherwise it returns FALSE
T661	CAUSE 12487 12496	otherwise
T665	VARIABLE 12497 12499	it
T666	CONDITION 12500 12518	shall be set to 64
T667	STATEMENT 12497 12518	it shall be set to 64
T668	CAUSE_EFFECT_RELATION 12487 12518	otherwise it shall be set to 64
T669	KEY_C 12443 12445	if
T670	VARIABLE 12446 12477	the Extended Window Size option
T671	CONDITION 12478 12485	is used
T672	STATEMENT 12446 12485	the Extended Window Size option is used
T673	CAUSE 12443 12485	if the Extended Window Size option is used
T674	OR 12443 12518	if the Extended Window Size option is used; otherwise it shall be set to 64
T675	STATEMENT 12401 12442	This value shall be set to 16384 (0x4000)
T676	CAUSE_EFFECT_RELATION 12401 12518	This value shall be set to 16384 (0x4000) if the Extended Window Size option is used; otherwise it shall be set to 64
T677	ROOT_SENTENCE 12401 12519	This value shall be set to 16384 (0x4000) if the Extended Window Size option is used; otherwise it shall be set to 64.
T678	KEY_C 12319 12323	then
T679	VARIABLE 12324 12341	an implementation
T680	CONDITION 12342 12398	may send HCI transport sized fragments to the Controller
T681	STATEMENT 12324 12398	an implementation may send HCI transport sized fragments to the Controller
T682	EFFECT 12319 12398	then an implementation may send HCI transport sized fragments to the Controller
T683	STATEMENT 12293 12317	L2CAP runs above the HCI
T684	CAUSE 12290 12317	If L2CAP runs above the HCI
T685	CAUSE_EFFECT_RELATION 12290 12398	If L2CAP runs above the HCI, then an implementation may send HCI transport sized fragments to the Controller
T686	ROOT_SENTENCE 12290 12399	If L2CAP runs above the HCI, then an implementation may send HCI transport sized fragments to the Controller.
T687	KEY_C 12109 12111	If
T688	VARIABLE 12112 12152	the Result of the Configuration Response
T689	CONDITION 12153 12202	is Failure (0x0005) for service type “Guaranteed”
T690	KEY_C 12203 12207	then
T691	VARIABLE 12208 12245	an Extended Flow Specification option
T692	CONDITION 12246 12287	may be sent in the Configuration Response
T693	STATEMENT 12208 12287	an Extended Flow Specification option may be sent in the Configuration Response
T694	EFFECT 12203 12287	then an Extended Flow Specification option may be sent in the Configuration Response
T695	STATEMENT 12112 12202	the Result of the Configuration Response is Failure (0x0005) for service type “Guaranteed”
T696	CAUSE 12109 12202	If the Result of the Configuration Response is Failure (0x0005) for service type “Guaranteed”
T697	CAUSE_EFFECT_RELATION 12109 12287	If the Result of the Configuration Response is Failure (0x0005) for service type “Guaranteed” then an Extended Flow Specification option may be sent in the Configuration Response
T698	ROOT_SENTENCE 12109 12288	If the Result of the Configuration Response is Failure (0x0005) for service type “Guaranteed” then an Extended Flow Specification option may be sent in the Configuration Response.
T699	KEY_C 11994 11996	If
T700	VARIABLE 11997 12000	HCI
T701	CONDITION 12001 12008	is used
T702	KEY_C 12010 12014	then
T703	VARIABLE 12015 12031	the L2CAP entity
T704	CONDITION 12032 12106	should check that the requested QoS can be achieved over the HCI transport
T705	STATEMENT 12015 12106	the L2CAP entity should check that the requested QoS can be achieved over the HCI transport
T706	EFFECT 12010 12106	then the L2CAP entity should check that the requested QoS can be achieved over the HCI transport
T707	STATEMENT 11997 12008	HCI is used
T708	CAUSE 11994 12008	If HCI is used
T709	CAUSE_EFFECT_RELATION 11994 12106	If HCI is used, then the L2CAP entity should check that the requested QoS can be achieved over the HCI transport
T710	ROOT_SENTENCE 11994 12107	If HCI is used, then the L2CAP entity should check that the requested QoS can be achieved over the HCI transport.
T711	KEY_C 11825 11827	If
T712	VARIABLE 11828 11851	a Configuration Request
T713	CONDITION 11852 11909	is sent containing the Extended Flow Specification option
T714	KEY_C 11910 11914	then
T715	VARIABLE 11915 11944	the Quality of Service option
T716	VARIABLE 11949 11969	Flush Timeout option
T717	CONDITION 11980 11991	be included
T718	NEGATION 11970 11991	shall not be included
T719	AND 11915 11969	the Quality of Service option and Flush Timeout option
T720	STATEMENT 11915 11991	the Quality of Service option and Flush Timeout option shall not be included
T721	EFFECT 11910 11991	then the Quality of Service option and Flush Timeout option shall not be included
T722	STATEMENT 11828 11909	a Configuration Request is sent containing the Extended Flow Specification option
T723	CAUSE 11825 11909	If a Configuration Request is sent containing the Extended Flow Specification option
T724	CAUSE_EFFECT_RELATION 11825 11991	If a Configuration Request is sent containing the Extended Flow Specification option then the Quality of Service option and Flush Timeout option shall not be included
T725	ROOT_SENTENCE 11825 11992	If a Configuration Request is sent containing the Extended Flow Specification option then the Quality of Service option and Flush Timeout option shall not be included.
T726	KEY_C 11725 11727	If
T727	VARIABLE 11728 11757	the Transmitter state machine
T728	CONDITION 11758 11780	is in the WAIT_F state
T729	KEY_C 11782 11786	then
T730	VARIABLE 11787 11808	a frame sent with P=1
T731	CONDITION 11809 11822	is unanswered
T732	STATEMENT 11787 11822	a frame sent with P=1 is unanswered
T733	EFFECT 11782 11822	then a frame sent with P=1 is unanswered
T734	STATEMENT 11728 11780	the Transmitter state machine is in the WAIT_F state
T735	CAUSE 11725 11780	If the Transmitter state machine is in the WAIT_F state
T736	CAUSE_EFFECT_RELATION 11725 11822	If the Transmitter state machine is in the WAIT_F state, then a frame sent with P=1 is unanswered
T737	ROOT_SENTENCE 11725 11823	If the Transmitter state machine is in the WAIT_F state, then a frame sent with P=1 is unanswered.
T738	KEY_C 11630 11632	If
T739	VARIABLE 11633 11643	expression
T740	CONDITION 11644 11651	is TRUE
T741	KEY_C 11652 11656	then
T742	VARIABLE 11657 11670	the statement
T743	CONDITION 11671 11682	is executed
T744	CAUSE 11683 11692	otherwise
T745	VARIABLE 11693 11706	the statement
T746	CONDITION 11714 11722	executed
T747	NEGATION 11707 11722	is not executed
T748	STATEMENT 11693 11722	the statement is not executed
T749	CAUSE_EFFECT_RELATION 11683 11722	otherwise the statement is not executed
T750	STATEMENT 11657 11682	the statement is executed
T751	EFFECT 11652 11682	then the statement is executed
T752	STATEMENT 11633 11651	expression is TRUE
T753	CAUSE 11630 11651	If expression is TRUE
T754	OR 11652 11722	then the statement is executed otherwise the statement is not executed
T755	CAUSE_EFFECT_RELATION 11630 11722	If expression is TRUE then the statement is executed otherwise the statement is not executed
T756	ROOT_SENTENCE 11630 11723	If expression is TRUE then the statement is executed otherwise the statement is not executed.
T757	KEY_C 7905 7907	If
T758	VARIABLE 7908 7927	a duplicate Request
T759	CONDITION 7928 7935	is sent
T760	VARIABLE 7937 7962	the particular ERTX timer
T761	CONDITION 7963 7973	disappears
T762	CONDITION 7975 8002	replaced by a new RTX timer
T763	VARIABLE 8007 8033	the whole timing procedure
T764	CONDITION 8034 8084	restarts as described previously for the RTX timer
T765	STATEMENT 8007 8084	the whole timing procedure restarts as described previously for the RTX timer
T766	AND 7963 8002	disappears, replaced by a new RTX timer
T767	STATEMENT 7937 8002	the particular ERTX timer disappears, replaced by a new RTX timer
T768	AND 7937 8084	the particular ERTX timer disappears, replaced by a new RTX timer and the whole timing procedure restarts as described previously for the RTX timer
T769	STATEMENT 7908 7935	a duplicate Request is sent
T770	CAUSE 7905 7935	If a duplicate Request is sent
T771	CAUSE_EFFECT_RELATION 7905 8084	If a duplicate Request is sent, the particular ERTX timer disappears, replaced by a new RTX timer and the whole timing procedure restarts as described previously for the RTX timer
T772	ROOT_SENTENCE 7905 8085	If a duplicate Request is sent, the particular ERTX timer disappears, replaced by a new RTX timer and the whole timing procedure restarts as described previously for the RTX timer.
T773	KEY_C 8087 8089	If
T774	VARIABLE 8090 8093	one
T775	VARIABLE 8097 8116	both L2CAP entities
T776	CONDITION 8124 8170	send the FCS option in a configuration request
T777	KEY_C 8171 8175	then
T778	VARIABLE 8176 8187	the default
T779	CONDITION 8188 8201	shall be used
T780	STATEMENT 8176 8201	the default shall be used
T781	EFFECT 8171 8201	then the default shall be used
T782	OR 8090 8116	one or both L2CAP entities
T783	NEGATION 8117 8170	do not send the FCS option in a configuration request
T784	STATEMENT 8090 8170	one or both L2CAP entities do not send the FCS option in a configuration request
T785	CAUSE 8087 8170	If one or both L2CAP entities do not send the FCS option in a configuration request
T786	CAUSE_EFFECT_RELATION 8087 8201	If one or both L2CAP entities do not send the FCS option in a configuration request then the default shall be used
T787	ROOT_SENTENCE 8087 8202	If one or both L2CAP entities do not send the FCS option in a configuration request then the default shall be used.
T788	KEY_C 8427 8429	If
T789	VARIABLE 8430 8449	channel reliability
T790	CONDITION 8457 8463	needed
T791	NEGATION 8450 8463	is not needed
T792	STATEMENT 8430 8463	channel reliability is not needed
T793	CAUSE 8427 8463	If channel reliability is not needed
T794	VARIABLE 8465 8493	packets with invalid lengths
T795	CONDITION 8494 8519	may be silently discarded
T796	STATEMENT 8465 8519	packets with invalid lengths may be silently discarded
T797	CAUSE_EFFECT_RELATION 8427 8519	If channel reliability is not needed, packets with invalid lengths may be silently discarded
T798	ROOT_SENTENCE 8427 8520	If channel reliability is not needed, packets with invalid lengths may be silently discarded.
T799	KEY_C 8522 8524	If
T800	VARIABLE 8525 8557	delivery of erroneous L2CAP SDUs
T801	CONDITION 8558 8568	is enabled
T802	STATEMENT 8525 8568	delivery of erroneous L2CAP SDUs is enabled
T803	CAUSE 8522 8568	If delivery of erroneous L2CAP SDUs is enabled
T804	VARIABLE 8570 8588	the receiving side
T805	KEY_C 9023 9025	If
T806	VARIABLE 9026 9050	Automatic Flush Time-out
T807	CONDITION 9051 9058	is used
T808	KEY_C 9060 9064	then
T809	VARIABLE 9065 9067	it
T810	CONDITION 9068 9096	should be taken into account
T811	VARIABLE 9102 9104	it
T812	CONDITION 9105 9131	only flushes one L2CAP PDU
T813	STATEMENT 9102 9131	it only flushes one L2CAP PDU
T814	STATEMENT 9065 9096	it should be taken into account
T815	KEY_C 9097 9101	that
T816	EFFECT 9097 9131	that it only flushes one L2CAP PDU
T817	EFFECT 9060 9096	then it should be taken into account
T818	AND 9060 9131	then it should be taken into account that it only flushes one L2CAP PDU
T819	STATEMENT 9026 9058	Automatic Flush Time-out is used
T820	CAUSE 9023 9058	If Automatic Flush Time-out is used
T821	CAUSE_EFFECT_RELATION 9023 9131	If Automatic Flush Time-out is used, then it should be taken into account that it only flushes one L2CAP PDU
T822	ROOT_SENTENCE 9023 9132	If Automatic Flush Time-out is used, then it should be taken into account that it only flushes one L2CAP PDU.
T823	VARIABLE 9134 9148	An application
T824	CONDITION 9149 9166	shall be notified
T825	KEY_C 9167 9169	if
T826	VARIABLE 9170 9172	it
T827	CONDITION 9173 9189	is de-registered
T828	STATEMENT 9170 9189	it is de-registered
T829	CAUSE 9167 9189	if it is de-registered
T830	STATEMENT 9134 9166	An application shall be notified
T831	CAUSE_EFFECT_RELATION 9134 9189	An application shall be notified if it is de-registered
T832	ROOT_SENTENCE 9134 9190	An application shall be notified if it is de-registered.
T834	KEY_C 9494 9496	If
T835	VARIABLE 9497 9499	it
T836	CONDITION 9500 9608	is desirable to restrict the reception of the transmitted data to only a subset of the slaves in the piconet
T837	KEY_C 9610 9614	then
T838	VARIABLE 9615 9638	higher level encryption
T839	CONDITION 9639 9683	may be used to support private communication
T840	STATEMENT 9615 9683	higher level encryption may be used to support private communication
T841	EFFECT 9610 9683	then higher level encryption may be used to support private communication
T842	STATEMENT 9497 9608	it is desirable to restrict the reception of the transmitted data to only a subset of the slaves in the piconet
T843	CAUSE 9494 9608	If it is desirable to restrict the reception of the transmitted data to only a subset of the slaves in the piconet
T844	CAUSE_EFFECT_RELATION 9494 9683	If it is desirable to restrict the reception of the transmitted data to only a subset of the slaves in the piconet, then higher level encryption may be used to support private communication
T845	ROOT_SENTENCE 9494 9684	If it is desirable to restrict the reception of the transmitted data to only a subset of the slaves in the piconet, then higher level encryption may be used to support private communication.
T846	KEY_C 9686 9688	If
T847	VARIABLE 9689 9702	the data rate
T848	CONDITION 9710 9755	be achieved by using the “preferred” PDU size
T849	KEY_C 9756 9760	then
T850	VARIABLE 9761 9806	an integer multiple of the preferred PDU size
T851	CONDITION 9807 9821	should be used
T852	STATEMENT 9761 9821	an integer multiple of the preferred PDU size should be used
T853	EFFECT 9756 9821	then an integer multiple of the preferred PDU size should be used
T854	NEGATION 9703 9755	cannot be achieved by using the “preferred” PDU size
T855	STATEMENT 9689 9755	the data rate cannot be achieved by using the “preferred” PDU size
T856	CAUSE 9686 9755	If the data rate cannot be achieved by using the “preferred” PDU size
T857	CAUSE_EFFECT_RELATION 9686 9821	If the data rate cannot be achieved by using the “preferred” PDU size then an integer multiple of the preferred PDU size should be used
T858	ROOT_SENTENCE 9686 9822	If the data rate cannot be achieved by using the “preferred” PDU size then an integer multiple of the preferred PDU size should be used.
T871	VARIABLE 9933 9945	A SREJ frame
T872	CONDITION 9956 9970	be transmitted
T873	NEGATION 9946 9970	shall not be transmitted
T874	STATEMENT 9933 9970	A SREJ frame shall not be transmitted
T875	KEY_C 9971 9973	if
T876	VARIABLE 9974 10008	an earlier REJ exception condition
T877	CONDITION 10017 10029	been cleared
T878	NEGATION 10009 10029	has not been cleared
T879	STATEMENT 9974 10029	an earlier REJ exception condition has not been cleared
T880	CAUSE 9971 10029	if an earlier REJ exception condition has not been cleared
T881	CAUSE_EFFECT_RELATION 9933 10029	A SREJ frame shall not be transmitted if an earlier REJ exception condition has not been cleared
T882	ROOT_SENTENCE 9933 10030	A SREJ frame shall not be transmitted if an earlier REJ exception condition has not been cleared.
T883	NONE_CAUSAL 10032 10040	Likewise
T884	VARIABLE 10041 10052	a REJ frame
T885	CONDITION 10063 10077	be transmitted
T886	NEGATION 10053 10077	shall not be transmitted
T887	STATEMENT 10041 10077	a REJ frame shall not be transmitted
T888	KEY_C 10078 10080	if
T889	VARIABLE 10081 10084	one
T890	VARIABLE 10088 10118	more SREJ exception conditions
T891	CONDITION 10128 10140	been cleared
T892	NEGATION 10119 10140	have not been cleared
T893	OR 10081 10118	one or more SREJ exception conditions
T894	STATEMENT 10081 10140	one or more SREJ exception conditions have not been cleared
T895	CAUSE 10078 10140	if one or more SREJ exception conditions have not been cleared
T896	CAUSE_EFFECT_RELATION 10041 10140	a REJ frame shall not be transmitted if one or more SREJ exception conditions have not been cleared
T897	ROOT_SENTENCE 10032 10141	Likewise a REJ frame shall not be transmitted if one or more SREJ exception conditions have not been cleared.
T898	VARIABLE 10406 10427	The Stop Timer action
T899	CONDITION 10428 10441	stops a timer
T900	KEY_C 10442 10444	if
T901	VARIABLE 10445 10447	it
T902	CONDITION 10448 10458	is running
T903	STATEMENT 10445 10458	it is running
T904	CAUSE 10442 10458	if it is running
T905	STATEMENT 10406 10441	The Stop Timer action stops a timer
T906	CAUSE_EFFECT_RELATION 10406 10458	The Stop Timer action stops a timer if it is running
T907	ROOT_SENTENCE 10406 10459	The Stop Timer action stops a timer if it is running.
T908	KEY_C 10461 10463	If
T909	VARIABLE 10464 10492	additional missing I- frames
T910	CONDITION 10493 10505	are detected
T911	CONDITION 10506 10524	while in SREJ_SENT
T912	AND 10493 10524	are detected while in SREJ_SENT
T913	STATEMENT 10464 10524	additional missing I- frames are detected while in SREJ_SENT
T914	CAUSE 10461 10524	If additional missing I- frames are detected while in SREJ_SENT
T915	KEY_C 10525 10529	then
T916	VARIABLE 10530 10552	additional SREJ frames
T917	VARIABLE 10558 10567	REJ frame
T918	CONDITION 10568 10605	can be sent to request those I-frames
T919	OR 10530 10567	additional SREJ frames or a REJ frame
T920	STATEMENT 10530 10605	additional SREJ frames or a REJ frame can be sent to request those I-frames
T921	EFFECT 10525 10605	then additional SREJ frames or a REJ frame can be sent to request those I-frames
T922	CAUSE_EFFECT_RELATION 10461 10605	If additional missing I- frames are detected while in SREJ_SENT then additional SREJ frames or a REJ frame can be sent to request those I-frames
T923	ROOT_SENTENCE 10461 10606	If additional missing I- frames are detected while in SREJ_SENT then additional SREJ frames or a REJ frame can be sent to request those I-frames.
T924	VARIABLE 10608 10610	It
T925	CONDITION 10611 10623	returns TRUE
T926	KEY_C 10624 10626	if
T927	VARIABLE 10627 10640	both operands
T928	CONDITION 10641 10649	are TRUE
T929	CAUSE 10650 10659	otherwise
T930	VARIABLE 10660 10662	it
T931	CONDITION 10663 10676	returns FALSE
T932	STATEMENT 10660 10676	it returns FALSE
T933	CAUSE_EFFECT_RELATION 10650 10676	otherwise it returns FALSE
T934	STATEMENT 10627 10649	both operands are TRUE
