T1	VARIABLE 22 38	structure return
T416	CAUSE_EFFECT_RELATION 6009 6186	In the case specified in 6.2c, the test shall be performed on a 100% basis on the whole lot and the causes of the nonconformance investigated and recorded in the relifing report
T417	ROOT_SENTENCE 6009 6187	In the case specified in 6.2c, the test shall be performed on a 100% basis on the whole lot and the causes of the nonconformance investigated and recorded in the relifing report.
T418	KEY_C 7758 7772	In the case of
T419	VARIABLE 7773 7803	the waterfall life cycle model
T420	VARIABLE 7805 7812	the SAR
T421	CONDITION 7813 7894	is positioned at the completion of the software architectural (high-level) design
T422	STATEMENT 7805 7894	the SAR is positioned at the completion of the software architectural (high-level) design
T423	CAUSE 7758 7803	In the case of the waterfall life cycle model
T424	CAUSE_EFFECT_RELATION 7758 7894	In the case of the waterfall life cycle model, the SAR is positioned at the completion of the software architectural (high-level) design
T425	ROOT_SENTENCE 7758 7895	In the case of the waterfall life cycle model, the SAR is positioned at the completion of the software architectural (high-level) design.
T426	KEY_C 8600 8616	In the case of a
T427	VARIABLE 8617 8630	spiral effort
T428	VARIABLE 8632 8666	only the most general requirements
T429	CONDITION 8667 8698	may be known for future spirals
T430	CAUSE 8600 8630	In the case of a spiral effort
T431	STATEMENT 8632 8698	only the most general requirements may be known for future spirals
T432	KEY_C 2809 2826	In the case where
T433	VARIABLE 2827 2837	separation
T434	CONDITION 2838 2875	has occurred cleanly between the tape
T435	CONDITION 2880 2898	the sample surface
T436	AND 2838 2898	has occurred cleanly between the tape and the sample surface
T437	VARIABLE 2900 2916	the tape fixture
T438	CONDITION 2917 2950	shall be removed from the machine
T439	VARIABLE 2955 2968	the used tape
T440	CONDITION 2969 3032	replaced by a new length of tape having a greater peel strength
T441	STATEMENT 2955 3032	the used tape replaced by a new length of tape having a greater peel strength
T442	STATEMENT 2900 2950	the tape fixture shall be removed from the machine
T443	AND 2900 3032	the tape fixture shall be removed from the machine and the used tape replaced by a new length of tape having a greater peel strength
T444	STATEMENT 2827 2898	separation has occurred cleanly between the tape and the sample surface
T445	CAUSE 2809 2898	In the case where separation has occurred cleanly between the tape and the sample surface
T446	CAUSE_EFFECT_RELATION 2809 3032	In the case where separation has occurred cleanly between the tape and the sample surface, the tape fixture shall be removed from the machine and the used tape replaced by a new length of tape having a greater peel strength
T447	ROOT_SENTENCE 2809 3033	In the case where separation has occurred cleanly between the tape and the sample surface, the tape fixture shall be removed from the machine and the used tape replaced by a new length of tape having a greater peel strength.
T448	VARIABLE 5540 5589	Implementation of the thermal management criteria
T449	KEY_C 5590 5604	in the case of
T450	VARIABLE 5605 5619	power circuits
T451	CAUSE 5590 5619	in the case of power circuits
T452	CAUSE_EFFECT_RELATION 5540 5619	Implementation of the thermal management criteria in the case of power circuits
T453	ROOT_SENTENCE 5540 5620	Implementation of the thermal management criteria in the case of power circuits.
T454	KEY_C 7993 8007	In the case of
T455	VARIABLE 8008 8061	the ESA standard (A)ATSR Level-2 LST (ESA_V3) product
T456	VARIABLE 8062 8067	there
T457	CONDITION 8068 8093	are 13 land biome classes
T458	CONDITION 8098 8144	one lake class at a spatial resolution of 0.5°
T459	AND 8068 8144	are 13 land biome classes and one lake class at a spatial resolution of 0.5°
T460	STATEMENT 8062 8144	there are 13 land biome classes and one lake class at a spatial resolution of 0.5°
T461	CAUSE 7993 8061	In the case of the ESA standard (A)ATSR Level-2 LST (ESA_V3) product
T462	CAUSE_EFFECT_RELATION 7993 8144	In the case of the ESA standard (A)ATSR Level-2 LST (ESA_V3) product there are 13 land biome classes and one lake class at a spatial resolution of 0.5°
T463	ROOT_SENTENCE 7993 8145	In the case of the ESA standard (A)ATSR Level-2 LST (ESA_V3) product there are 13 land biome classes and one lake class at a spatial resolution of 0.5°.
T464	KEY_C 8437 8451	In the case of
T465	VARIABLE 8452 8458	Family
T466	VARIABLE 8462 8504	System of Systems (FoS and SoS) approaches
T467	VARIABLE 8506 8537	an individual materiel solution
T468	CONDITION 8546 8597	fully satisfy a necessary capability gap on its own
T469	NEGATION 8538 8597	may not fully satisfy a necessary capability gap on its own
T470	STATEMENT 8506 8597	an individual materiel solution may not fully satisfy a necessary capability gap on its own
T471	OR 8452 8504	Family or System of Systems (FoS and SoS) approaches
T472	CAUSE 8437 8504	In the case of Family or System of Systems (FoS and SoS) approaches
T473	CAUSE_EFFECT_RELATION 8437 8597	In the case of Family or System of Systems (FoS and SoS) approaches, an individual materiel solution may not fully satisfy a necessary capability gap on its own
T474	ROOT_SENTENCE 8437 8598	In the case of Family or System of Systems (FoS and SoS) approaches, an individual materiel solution may not fully satisfy a necessary capability gap on its own.
T475	CAUSE_EFFECT_RELATION 8600 8698	In the case of a spiral effort, only the most general requirements may be known for future spirals
T476	ROOT_SENTENCE 8600 8699	In the case of a spiral effort, only the most general requirements may be known for future spirals.
T487	KEY_C 9047 9064	In the case where
T488	VARIABLE 9065 9081	an EIRENE mobile
T489	CONDITION 9082 9145	attempts to make a Railway emergency call over a public network
T490	VARIABLE 9147 9229	the ability to pre-empt lower priority calls (particularly public emergency calls)
T491	CONDITION 9230 9246	may be inhibited
T492	VARIABLE 9255 9274	a special agreement
T493	CONDITION 9275 9286	is in place
T495	NEGATION 9248 9286	unless a special agreement is in place
T496	STATEMENT 9147 9246	the ability to pre-empt lower priority calls (particularly public emergency calls) may be inhibited
T497	STATEMENT 9065 9145	an EIRENE mobile attempts to make a Railway emergency call over a public network
T498	CAUSE 9047 9145	In the case where an EIRENE mobile attempts to make a Railway emergency call over a public network
T499	CAUSE_EFFECT_RELATION 9047 9286	In the case where an EIRENE mobile attempts to make a Railway emergency call over a public network, the ability to pre-empt lower priority calls (particularly public emergency calls) may be inhibited, unless a special agreement is in place
T500	CAUSE_EFFECT_RELATION 9147 9286	the ability to pre-empt lower priority calls (particularly public emergency calls) may be inhibited, unless a special agreement is in place
T501	ROOT_SENTENCE 9047 9287	In the case where an EIRENE mobile attempts to make a Railway emergency call over a public network, the ability to pre-empt lower priority calls (particularly public emergency calls) may be inhibited, unless a special agreement is in place.
T502	KEY_C 9670 9693	However, in the case of
T503	VARIABLE 9694 9708	an AMA message
T504	KEY_C 9709 9713	that
T505	CONDITION 9714 9737	contains assigned speed
T506	CONDITION 9742 9802	the application point from which the speed reduction applies
T507	AND 9714 9802	contains assigned speed and the application point from which the speed reduction applies
T508	CAUSE 9709 9802	that contains assigned speed and the application point from which the speed reduction applies
T509	VARIABLE 9804 9843	a complete absence of operational reply
T510	CONDITION 9844 9873	might be deemed inappropriate
T511	STATEMENT 9804 9873	a complete absence of operational reply might be deemed inappropriate
T512	CAUSE 9670 9708	However, in the case of an AMA message
T513	AND 9670 9802	However, in the case of an AMA message that contains assigned speed and the application point from which the speed reduction applies
T514	CAUSE_EFFECT_RELATION 9670 9873	However, in the case of an AMA message that contains assigned speed and the application point from which the speed reduction applies, a complete absence of operational reply might be deemed inappropriate
T515	ROOT_SENTENCE 9670 9874	However, in the case of an AMA message that contains assigned speed and the application point from which the speed reduction applies, a complete absence of operational reply might be deemed inappropriate.
T516	KEY_C 10007 10023	In the case when
T517	VARIABLE 10024 10035	an ATS Unit
T518	CONDITION 10043 10092	able to meet the requests of an adjacent ATS unit
T519	NEGATION 10036 10092	is not able to meet the requests of an adjacent ATS unit
T520	VARIABLE 10093 10097	they
T521	CONDITION 10098 10148	will need to propose an alternate course of action
T522	CONDITION 10153 10175	justify their proposal
T523	AND 10098 10175	will need to propose an alternate course of action and justify their proposal
T524	STATEMENT 10093 10175	they will need to propose an alternate course of action and justify their proposal
T525	STATEMENT 10024 10092	an ATS Unit is not able to meet the requests of an adjacent ATS unit
T526	CAUSE 10007 10092	In the case when an ATS Unit is not able to meet the requests of an adjacent ATS unit
T527	CAUSE_EFFECT_RELATION 10007 10175	In the case when an ATS Unit is not able to meet the requests of an adjacent ATS unit they will need to propose an alternate course of action and justify their proposal
T528	ROOT_SENTENCE 10007 10176	In the case when an ATS Unit is not able to meet the requests of an adjacent ATS unit they will need to propose an alternate course of action and justify their proposal.
T529	KEY_C 10178 10192	In the case of
T530	VARIABLE 10202 10214	runway usage
T531	CONDITION 10193 10201	multiple
T532	VARIABLE 10216 10226	departures
T533	CONDITION 10227 10275	will use the set of SIDs assigned to each runway
T534	STATEMENT 10216 10275	departures will use the set of SIDs assigned to each runway
T535	STATEMENT 10193 10214	multiple runway usage
T536	CAUSE 10178 10214	In the case of multiple runway usage
T537	CAUSE_EFFECT_RELATION 10178 10275	In the case of multiple runway usage, departures will use the set of SIDs assigned to each runway
T538	ROOT_SENTENCE 10178 10276	In the case of multiple runway usage, departures will use the set of SIDs assigned to each runway.
T539	KEY_C 10278 10294	In the case that
T540	VARIABLE 10295 10300	there
T541	CONDITION 10307 10340	extended science operations phase
T542	NEGATION 10301 10340	is no extended science operations phase
T543	VARIABLE 10342 10367	the post operations phase
T544	CONDITION 10368 10431	shall start at the end of the nominal science operations phases
T545	STATEMENT 10342 10431	the post operations phase shall start at the end of the nominal science operations phases
T546	STATEMENT 10295 10340	there is no extended science operations phase
T547	CAUSE 10278 10340	In the case that there is no extended science operations phase
T548	CAUSE_EFFECT_RELATION 10278 10431	In the case that there is no extended science operations phase, the post operations phase shall start at the end of the nominal science operations phases
T549	ROOT_SENTENCE 10278 10432	In the case that there is no extended science operations phase, the post operations phase shall start at the end of the nominal science operations phases.
T550	KEY_C 10690 10704	In the case of
T551	VARIABLE 10705 10719	large airports
T552	CONDITION 10720 10753	with three to four active runways
T553	VARIABLE 10755 10809	the effect of increased throughput on TMA traffic load
T554	CONDITION 10810 10830	needs to be examined
T555	STATEMENT 10755 10830	the effect of increased throughput on TMA traffic load needs to be examined
T556	STATEMENT 10705 10753	large airports with three to four active runways
T557	CAUSE 10690 10753	In the case of large airports with three to four active runways
T558	CAUSE_EFFECT_RELATION 10690 10830	In the case of large airports with three to four active runways, the effect of increased throughput on TMA traffic load needs to be examined
T559	ROOT_SENTENCE 10690 10831	In the case of large airports with three to four active runways, the effect of increased throughput on TMA traffic load needs to be examined.
T560	KEY_C 10901 10915	In the case of
T561	VARIABLE 10916 10925	a tracker
T562	VARIABLE 10927 10935	this age
T563	CONDITION 10936 10976	shall be derived from the time of output
T564	CONDITION 10981 11021	from information provided by the tracker
T565	AND 10936 11021	shall be derived from the time of output and from information provided by the tracker
T566	STATEMENT 10927 11021	this age shall be derived from the time of output and from information provided by the tracker
T567	CAUSE 10901 10925	In the case of a tracker
T568	CAUSE_EFFECT_RELATION 10901 11021	In the case of a tracker, this age shall be derived from the time of output and from information provided by the tracker
T569	ROOT_SENTENCE 10901 11022	In the case of a tracker, this age shall be derived from the time of output and from information provided by the tracker.
T570	VARIABLE 11138 11158	Different parameters
T571	CONDITION 11159 11173	may be applied
T572	KEY_C 11174 11188	in the case of
T573	VARIABLE 11189 11207	system degradation
T574	CAUSE 11174 11207	in the case of system degradation
T575	STATEMENT 11138 11173	Different parameters may be applied
T576	CAUSE_EFFECT_RELATION 11138 11207	Different parameters may be applied in the case of system degradation
T577	ROOT_SENTENCE 11138 11208	Different parameters may be applied in the case of system degradation.
T578	KEY_C 11210 11224	In the case of
T579	VARIABLE 11225 11268	Maastricht Upper Area Control Centre (MUAC)
T580	VARIABLE 11270 11278	revenues
T581	CONDITION 11279 11300	received from Belgium
T582	CONDITION 11302 11317	the Netherlands
T583	CONDITION 11319 11329	Luxembourg
T584	CONDITION 11334 11341	Germany
T585	CONDITION 11342 11373	should be disclosed in this row
T586	AND 11319 11341	Luxembourg and Germany
T587	AND 11302 11341	the Netherlands, Luxembourg and Germany
T589	CAUSE 11210 11268	In the case of Maastricht Upper Area Control Centre (MUAC)
T590	CAUSE 11279 11341	received from Belgium, the Netherlands, Luxembourg and Germany
T592	CAUSE_EFFECT_RELATION 11210 11373	In the case of Maastricht Upper Area Control Centre (MUAC), revenues received from Belgium, the Netherlands, Luxembourg and Germany should be disclosed in this row
T591	CAUSE_EFFECT_RELATION 11270 11373	revenues received from Belgium, the Netherlands, Luxembourg and Germany should be disclosed in this row
T593	ROOT_SENTENCE 11210 11374	In the case of Maastricht Upper Area Control Centre (MUAC), revenues received from Belgium, the Netherlands, Luxembourg and Germany should be disclosed in this row.
T594	VARIABLE 12294 12305	A wireframe
T595	CONDITION 12306 12325	immediately appears
T596	KEY_C 12326 12343	as in the case of
T597	VARIABLE 12344 12357	repositioning
T598	CAUSE 12326 12357	as in the case of repositioning
T599	STATEMENT 12294 12325	A wireframe immediately appears
T600	CAUSE_EFFECT_RELATION 12294 12357	A wireframe immediately appears as in the case of repositioning
T601	ROOT_SENTENCE 12294 12358	A wireframe immediately appears as in the case of repositioning.
T602	VARIABLE 12180 12186	The P5
T603	CONDITION 12187 12230	shall be transmitted on the control channel
T604	KEY_C 12232 12246	in the case of
T605	VARIABLE 12247 12263	Mode S All- Call
T606	STATEMENT 12267 12291	selective interrogations
T607	CONDITION 12267 12276	selective
T608	VARIABLE 12277 12291	interrogations
T609	OR 12247 12291	Mode S All- Call or selective interrogations
T610	CAUSE 12232 12291	in the case of Mode S All- Call or selective interrogations
T611	STATEMENT 12180 12230	The P5 shall be transmitted on the control channel
T612	CAUSE_EFFECT_RELATION 12180 12291	The P5 shall be transmitted on the control channel, in the case of Mode S All- Call or selective interrogations
T613	ROOT_SENTENCE 12180 12292	The P5 shall be transmitted on the control channel, in the case of Mode S All- Call or selective interrogations.
T626	KEY_C 12474 12488	In the case of
T627	VARIABLE 12489 12496	the HAW
T628	VARIABLE 12501 12504	VAW
T629	AND 12489 12504	the HAW and VAW
T630	VARIABLE 12506 12533	depressing the icon buttons
T631	KEY_C 12534 12541	ENABLES
T632	VARIABLE 12542 12555	these windows
T633	CAUSE 12506 12541	depressing the icon buttons ENABLES
T634	CAUSE_EFFECT_RELATION 12506 12555	depressing the icon buttons ENABLES these windows
T635	CAUSE 12474 12504	In the case of the HAW and VAW
T636	CAUSE_EFFECT_RELATION 12474 12555	In the case of the HAW and VAW, depressing the icon buttons ENABLES these windows
T637	ROOT_SENTENCE 12474 12556	In the case of the HAW and VAW, depressing the icon buttons ENABLES these windows.
T638	KEY_C 12558 12572	In the case of
T639	CONDITION 12573 12581	multiple
T640	VARIABLE 12582 12596	screen systems
T641	VARIABLE 12597 12607	the button
T642	CONDITION 12608 12640	will be shown in the normal mode
T643	CONDITION 12641 12665	on other display screens
T644	AND 12608 12665	will be shown in the normal mode on other display screens
T645	STATEMENT 12597 12665	the button will be shown in the normal mode on other display screens
T646	STATEMENT 12573 12596	multiple screen systems
T647	CAUSE 12558 12596	In the case of multiple screen systems
T648	CAUSE_EFFECT_RELATION 12558 12665	In the case of multiple screen systems the button will be shown in the normal mode on other display screens
T649	ROOT_SENTENCE 12558 12666	In the case of multiple screen systems the button will be shown in the normal mode on other display screens.
T650	KEY_C 13583 13600	In the case where
T651	VARIABLE 13601 13608	the PSE
T652	CONDITION 13609 13634	detects a fault condition
T653	VARIABLE 13636 13643	the PSE
T654	CONDITION 13654 13683	inject full power on the line
T655	NEGATION 13644 13683	shall not inject full power on the line
T656	STATEMENT 13636 13683	the PSE shall not inject full power on the line
T657	STATEMENT 13601 13634	the PSE detects a fault condition
T658	CAUSE 13583 13634	In the case where the PSE detects a fault condition
T659	CAUSE_EFFECT_RELATION 13583 13683	In the case where the PSE detects a fault condition, the PSE shall not inject full power on the line
T660	ROOT_SENTENCE 13583 13684	In the case where the PSE detects a fault condition, the PSE shall not inject full power on the line.
T661	KEY_C 13686 13703	In the case where
T662	VARIABLE 13704 13711	the PSE
T663	CONDITION 13712 13742	has an internal power splitter
T664	VARIABLE 13747 13756	the U-R2P
T665	CONDITION 13757 13781	is an internal interface
T666	VARIABLE 13783 13824	the electrical specifications of Table 38
T667	CONDITION 13825 13862	apply to the U-R interface of the PSE
T668	STATEMENT 13783 13862	the electrical specifications of Table 38 apply to the U-R interface of the PSE
T669	STATEMENT 13747 13781	the U-R2P is an internal interface
T670	STATEMENT 13704 13742	the PSE has an internal power splitter
T671	AND 13704 13781	the PSE has an internal power splitter and the U-R2P is an internal interface
T672	CAUSE 13686 13781	In the case where the PSE has an internal power splitter and the U-R2P is an internal interface
T673	CAUSE_EFFECT_RELATION 13686 13862	In the case where the PSE has an internal power splitter and the U-R2P is an internal interface, the electrical specifications of Table 38 apply to the U-R interface of the PSE
T674	ROOT_SENTENCE 13686 13863	In the case where the PSE has an internal power splitter and the U-R2P is an internal interface, the electrical specifications of Table 38 apply to the U-R interface of the PSE.
T675	KEY_C 13994 14008	In the case of
T676	VARIABLE 14009 14023	a POTS service
T677	CONDITION 14024 14041	from the exchange
T678	VARIABLE 14043 14051	the same
T679	CONDITION 14052 14103	is required to support the POTS Adapter bypass mode
T680	KEY_C 14104 14108	when
T681	VARIABLE 14109 14127	reverse power feed
T682	CONDITION 14128 14141	is turned off
T683	STATEMENT 14109 14141	reverse power feed is turned off
T684	CAUSE 14104 14141	when reverse power feed is turned off
T685	STATEMENT 14043 14103	the same is required to support the POTS Adapter bypass mode
T686	CAUSE_EFFECT_RELATION 14043 14141	the same is required to support the POTS Adapter bypass mode when reverse power feed is turned off
T687	STATEMENT 14009 14041	a POTS service from the exchange
T688	CAUSE 13994 14041	In the case of a POTS service from the exchange
T689	CAUSE_EFFECT_RELATION 13994 14141	In the case of a POTS service from the exchange, the same is required to support the POTS Adapter bypass mode when reverse power feed is turned off
T690	ROOT_SENTENCE 13994 14142	In the case of a POTS service from the exchange, the same is required to support the POTS Adapter bypass mode when reverse power feed is turned off.
T691	KEY_C 12787 12798	In the case
T692	VARIABLE 12799 12815	said regulations
T693	CONDITION 12824 12833	available
T694	CONDITION 12837 12847	applicable
T695	OR 12824 12847	available or applicable
T696	NEGATION 12816 12847	are not available or applicable
T697	STATEMENT 12799 12847	said regulations are not available or applicable
T698	VARIABLE 12849 12861	implementers
T699	CONDITION 12862 12895	can rely on NIST SP 800-57 Part 1
T700	STATEMENT 12849 12895	implementers can rely on NIST SP 800-57 Part 1
T701	CAUSE 12787 12847	In the case said regulations are not available or applicable
T702	CAUSE_EFFECT_RELATION 12787 12895	In the case said regulations are not available or applicable; implementers can rely on NIST SP 800-57 Part 1
T703	ROOT_SENTENCE 12787 12896	In the case said regulations are not available or applicable; implementers can rely on NIST SP 800-57 Part 1.
T704	KEY_C 13050 13061	In the case
T705	VARIABLE 13062 13090	the problematic interrogator
T706	CONDITION 13091 13149	is located in a country which is not subject to the SPI IR
T707	VARIABLE 13151 13165	the resolution
T708	CONDITION 13166 13211	will follow the same steps as described above
T709	STATEMENT 13062 13149	the problematic interrogator is located in a country which is not subject to the SPI IR
T710	STATEMENT 13151 13211	the resolution will follow the same steps as described above
T711	CAUSE 13050 13149	In the case the problematic interrogator is located in a country which is not subject to the SPI IR
T712	CAUSE_EFFECT_RELATION 13050 13211	In the case the problematic interrogator is located in a country which is not subject to the SPI IR, the resolution will follow the same steps as described above
T713	ROOT_SENTENCE 13050 13212	In the case the problematic interrogator is located in a country which is not subject to the SPI IR, the resolution will follow the same steps as described above.
T714	CONDITION 1159 1170	be achieved
T715	VARIABLE 69 81	return wires
T716	AND 61 81	hot and return wires
T717	CONDITION 5768 5780	insufficient
T718	STATEMENT 5768 5801	insufficient space on the package
T477	KEY_C 9248 9254	unless
T478	STATEMENT 9255 9286	a special agreement is in place
