T6	VARIABLE 364 378	Terminal posts
T434	VARIABLE 6753 6771	the amount of time
T436	CONDITION 6772 6788	required to test
T437	STATEMENT 6753 6788	the amount of time required to test
T438	CAUSE 6746 6788	due to the amount of time required to test
T439	STATEMENT 6721 6745	This is only tested once
T440	CAUSE_EFFECT_RELATION 6721 6788	This is only tested once due to the amount of time required to test
T441	ROOT_SENTENCE 6721 6789	This is only tested once due to the amount of time required to test.
T442	KEY_C 6791 6797	Due to
T443	VARIABLE 6798 6812	the complexity
T444	VARIABLE 6817 6841	size of the process maps
T445	AND 6798 6841	the complexity and size of the process maps
T446	VARIABLE 6842 6844	it
T447	CONDITION 6845 6918	is recommended to view this section of the document in 250% magnification
T448	STATEMENT 6842 6918	it is recommended to view this section of the document in 250% magnification
T449	CAUSE 6791 6841	Due to the complexity and size of the process maps
T450	CAUSE_EFFECT_RELATION 6791 6918	Due to the complexity and size of the process maps it is recommended to view this section of the document in 250% magnification
T451	ROOT_SENTENCE 6791 6919	Due to the complexity and size of the process maps it is recommended to view this section of the document in 250% magnification.
T452	VARIABLE 13595 13603	Robotics
T453	CONDITION 13604 13652	is the preferred means of performing maintenance
T454	KEY_C 13653 13659	due to
T455	VARIABLE 13660 13696	the limited availability of the crew
T456	CAUSE 13653 13696	due to the limited availability of the crew
T457	STATEMENT 13595 13652	Robotics is the preferred means of performing maintenance
T458	CAUSE_EFFECT_RELATION 13595 13696	Robotics is the preferred means of performing maintenance due to the limited availability of the crew
T459	KEY_NC 13698 13705	however
T460	VARIABLE 13707 13739	early phases of Gateway assembly
T461	CONDITION 13740 13786	will be solely reliant on crew for maintenance
T462	STATEMENT 13707 13786	early phases of Gateway assembly will be solely reliant on crew for maintenance
T463	NONE_CAUSAL 13698 13786	however, early phases of Gateway assembly will be solely reliant on crew for maintenance
T464	ROOT_SENTENCE 13595 13787	Robotics is the preferred means of performing maintenance due to the limited availability of the crew; however, early phases of Gateway assembly will be solely reliant on crew for maintenance.
T465	VARIABLE 12993 12995	It
T466	CONDITION 12996 13065	is important to take the right value of the Cell junction capacitance
T467	KEY_C 13066 13072	due to
T468	VARIABLE 13073 13076	its
T469	CONDITION 13077 13180	non‐linearity (estimation of the capacitance for voltage values between 0 and Vnominal, see Figure E‐6)
T470	STATEMENT 13073 13180	its non‐linearity (estimation of the capacitance for voltage values between 0 and Vnominal, see Figure E‐6)
T471	CAUSE 13066 13180	due to its non‐linearity (estimation of the capacitance for voltage values between 0 and Vnominal, see Figure E‐6)
T472	STATEMENT 12993 13065	It is important to take the right value of the Cell junction capacitance
T473	CAUSE_EFFECT_RELATION 12993 13180	It is important to take the right value of the Cell junction capacitance due to its non‐linearity (estimation of the capacitance for voltage values between 0 and Vnominal, see Figure E‐6)
T474	ROOT_SENTENCE 12993 13181	It is important to take the right value of the Cell junction capacitance due to its non‐linearity (estimation of the capacitance for voltage values between 0 and Vnominal, see Figure E‐6).
T475	VARIABLE 9111 9123	Flash crowds
T476	CONDITION 9124 9132	occurred
T477	KEY_C 9133 9139	due to
T478	VARIABLE 9140 9165	a sudden burst in traffic
T479	CAUSE 9133 9165	due to a sudden burst in traffic
T480	STATEMENT 9111 9132	Flash crowds occurred
T481	CAUSE_EFFECT_RELATION 9111 9165	Flash crowds occurred due to a sudden burst in traffic
T482	ROOT_SENTENCE 9111 9166	Flash crowds occurred due to a sudden burst in traffic.
T483	KEY_C 8868 8874	Due to
T484	VARIABLE 8875 8897	the proprietary nature
T485	CONDITION 8898 8914	of existing CDNs
T486	VARIABLE 8916 8955	limited information about response time
T487	VARIABLE 8959 8971	service cost
T488	OR 8916 8971	limited information about response time or service cost
T489	CONDITION 8972 9015	is typically available from individual CDNs
T490	VARIABLE 9021 9043	load balancing control
T491	CONDITION 9044 9081	is retained by an individual provider
T492	CONDITION 9082 9108	within its own Web servers
T493	AND 9044 9108	is retained by an individual provider within its own Web servers
T494	STATEMENT 9021 9108	load balancing control is retained by an individual provider within its own Web servers
T495	STATEMENT 8916 9015	limited information about response time or service cost is typically available from individual CDNs
T496	AND 8916 9108	limited information about response time or service cost is typically available from individual CDNs, and load balancing control is retained by an individual provider within its own Web servers
T497	STATEMENT 8875 8914	the proprietary nature of existing CDNs
T498	CAUSE 8868 8914	Due to the proprietary nature of existing CDNs
T499	CAUSE_EFFECT_RELATION 8868 9108	Due to the proprietary nature of existing CDNs, limited information about response time or service cost is typically available from individual CDNs, and load balancing control is retained by an individual provider within its own Web servers
T500	ROOT_SENTENCE 8868 9109	Due to the proprietary nature of existing CDNs, limited information about response time or service cost is typically available from individual CDNs, and load balancing control is retained by an individual provider within its own Web servers.
T501	VARIABLE 11898 11916	the beam potential
T502	CONDITION 11917 11952	follows also a similar distribution
T503	STATEMENT 11898 11952	the beam potential follows also a similar distribution
T504	KEY_C 11847 11853	Due to
T505	VARIABLE 11854 11896	the Gaussian primary ion beam distribution
T506	CAUSE 11847 11896	Due to the Gaussian primary ion beam distribution
T507	CAUSE_EFFECT_RELATION 11847 11952	Due to the Gaussian primary ion beam distribution, the beam potential follows also a similar distribution
T508	ROOT_SENTENCE 11847 11953	Due to the Gaussian primary ion beam distribution, the beam potential follows also a similar distribution.
T509	VARIABLE 11686 11696	Ionization
T510	CONDITION 11697 11699	is
T511	KEY_C 11700 11706	due to
T512	VARIABLE 11707 11761	the higher energy part of the space radiation spectrum
T513	VARIABLE 11763 11765	UV
T514	VARIABLE 11767 11777	soft X‐ray
T515	VARIABLE 11782 11799	charged particles
T516	CONDITION 11800 11843	with energy of the order of 100 eV or above
T517	AND 11767 11799	soft X‐ray and charged particles
T518	AND 11763 11799	UV, soft X‐ray and charged particles
T519	NONE_CAUSAL 11763 11843	UV, soft X‐ray and charged particles with energy of the order of 100 eV or above
T520	CAUSE 11700 11761	due to the higher energy part of the space radiation spectrum
T521	STATEMENT 11686 11699	Ionization is
T522	CAUSE_EFFECT_RELATION 11686 11761	Ionization is due to the higher energy part of the space radiation spectrum
T523	ROOT_SENTENCE 11686 11845	Ionization is due to the higher energy part of the space radiation spectrum (UV, soft X‐ray and charged particles with energy of the order of 100 eV or above).
T532	VARIABLE 11291 11313	The number of ADC bits
T533	CONDITION 11314 11363	shall therefore be sufficient to prevent clipping
T534	KEY_C 11364 11370	due to
T535	VARIABLE 11371 11397	strong interfering signals
T536	CONDITION 11398 11418	such as airplane DME
T537	CONDITION 11423 11440	satellite signals
T538	AND 11398 11440	such as airplane DME and satellite signals
T539	STATEMENT 11371 11440	strong interfering signals such as airplane DME and satellite signals
T540	CAUSE 11364 11440	due to strong interfering signals such as airplane DME and satellite signals
T541	STATEMENT 11291 11363	The number of ADC bits shall therefore be sufficient to prevent clipping
T542	CAUSE_EFFECT_RELATION 11291 11440	The number of ADC bits shall therefore be sufficient to prevent clipping due to strong interfering signals such as airplane DME and satellite signals
T543	ROOT_SENTENCE 11291 11441	The number of ADC bits shall therefore be sufficient to prevent clipping due to strong interfering signals such as airplane DME and satellite signals.
T544	VARIABLE 11152 11184	Changing the beam former weights
T545	CONDITION 11185 11239	shall be possible within 60 seconds in case of changes
T546	KEY_C 11240 11246	due to
T547	VARIABLE 11247 11265	manual interaction
T548	VARIABLE 11269 11288	changes in schedule
T549	OR 11247 11288	manual interaction or changes in schedule
T550	CAUSE 11240 11288	due to manual interaction or changes in schedule
T551	STATEMENT 11152 11239	Changing the beam former weights shall be possible within 60 seconds in case of changes
T552	CAUSE_EFFECT_RELATION 11152 11288	Changing the beam former weights shall be possible within 60 seconds in case of changes due to manual interaction or changes in schedule
T553	ROOT_SENTENCE 11152 11289	Changing the beam former weights shall be possible within 60 seconds in case of changes due to manual interaction or changes in schedule.
T554	KEY_C 11012 11018	Due to
T555	VARIABLE 11019 11051	the random distribution of flaws
T556	VARIABLE 11052 11092	the failure of a complex structural part
T557	CONDITION 11093 11149	can be initiated not only at the point of highest stress
T558	STATEMENT 11052 11149	the failure of a complex structural part can be initiated not only at the point of highest stress
T559	CAUSE 11012 11051	Due to the random distribution of flaws
T560	CAUSE_EFFECT_RELATION 11012 11149	Due to the random distribution of flaws the failure of a complex structural part can be initiated not only at the point of highest stress
T561	ROOT_SENTENCE 11012 11150	Due to the random distribution of flaws the failure of a complex structural part can be initiated not only at the point of highest stress.
T562	KEY_C 10674 10680	due to
T563	VARIABLE 10681 10690	personnel
T564	CONDITION 10691 10734	being unaware of handling fiber optic cable
T565	STATEMENT 10681 10734	personnel being unaware of handling fiber optic cable
T566	CAUSE 10674 10734	due to personnel being unaware of handling fiber optic cable
T567	VARIABLE 10625 10647	Use of common labeling
T568	CONDITION 10648 10673	minimizes breaks in fiber
T569	STATEMENT 10625 10673	Use of common labeling minimizes breaks in fiber
T570	CAUSE_EFFECT_RELATION 10625 10734	Use of common labeling minimizes breaks in fiber due to personnel being unaware of handling fiber optic cable
T571	ROOT_SENTENCE 10625 10735	Use of common labeling minimizes breaks in fiber due to personnel being unaware of handling fiber optic cable.
T573	VARIABLE 10230 10240	Horizontal
T574	VARIABLE 10244 10261	inclined formwork
T575	OR 10230 10261	Horizontal or inclined formwork
T576	CONDITION 10262 10294	to the upper surface of concrete
T577	CONDITION 10295 10337	shall be adequately secured against uplift
T578	AND 10262 10337	to the upper surface of concrete shall be adequately secured against uplift
T579	STATEMENT 10230 10337	Horizontal or inclined formwork to the upper surface of concrete shall be adequately secured against uplift
T580	KEY_C 10338 10344	due to
T581	VARIABLE 10345 10375	the pressure of fresh concrete
T582	CAUSE 10338 10375	due to the pressure of fresh concrete
T583	CAUSE_EFFECT_RELATION 10230 10375	Horizontal or inclined formwork to the upper surface of concrete shall be adequately secured against uplift due to the pressure of fresh concrete
T584	ROOT_SENTENCE 10230 10376	Horizontal or inclined formwork to the upper surface of concrete shall be adequately secured against uplift due to the pressure of fresh concrete.
T585	VARIABLE 10150 10178	Plastering on the outer wall
T586	CONDITION 10187 10194	require
T587	NEGATION 10179 10194	may not require
T588	STATEMENT 10150 10194	Plastering on the outer wall may not require
T589	KEY_C 10195 10201	due to
T590	VARIABLE 10202 10227	the attractive appearance
T591	CAUSE 10195 10227	due to the attractive appearance
T592	CAUSE_EFFECT_RELATION 10150 10227	Plastering on the outer wall may not require due to the attractive appearance
T593	ROOT_SENTENCE 10150 10228	Plastering on the outer wall may not require due to the attractive appearance.
T594	VARIABLE 10081 10089	The bond
T595	CONDITION 10090 10122	acts as a good thermal insulator
T596	KEY_C 10123 10129	due to
T597	VARIABLE 10130 10136	cavity
T598	CONDITION 10137 10147	in between
T599	STATEMENT 10130 10147	cavity in between
T600	CAUSE 10123 10147	due to cavity in between
T601	STATEMENT 10081 10122	The bond acts as a good thermal insulator
T602	CAUSE_EFFECT_RELATION 10081 10147	The bond acts as a good thermal insulator due to cavity in between
T603	ROOT_SENTENCE 10081 10148	The bond acts as a good thermal insulator due to cavity in between.
T604	KEY_C 9942 9948	Due to
T605	VARIABLE 9949 9963	this reduction
T606	CONDITION 9964 9983	in number of bricks
T607	STATEMENT 9949 9983	this reduction in number of bricks
T608	CAUSE 9942 9983	Due to this reduction in number of bricks
T609	VARIABLE 9985 10005	the consumption sand
T610	CONDITION 10006 10077	is saved as compared to normal English Bond and Flemish Bond brick wall
T611	STATEMENT 9985 10077	the consumption sand is saved as compared to normal English Bond and Flemish Bond brick wall
T612	CAUSE_EFFECT_RELATION 9942 10077	Due to this reduction in number of bricks, the consumption sand is saved as compared to normal English Bond and Flemish Bond brick wall
T613	ROOT_SENTENCE 9942 10079	Due to this reduction in number of bricks, the consumption sand is saved as compared to normal English Bond and Flemish Bond brick wall).
T615	VARIABLE 1137 1151	This procedure
T616	CONDITION 1152 1163	can be used
T617	KEY_C 1164 1168	when
T618	VARIABLE 1169 1171	it
T619	CONDITION 1172 1259	is necessary to interrupt an internal connection of a multi-layer printed circuit board
T620	STATEMENT 1169 1259	it is necessary to interrupt an internal connection of a multi-layer printed circuit board
T621	CAUSE 1164 1259	when it is necessary to interrupt an internal connection of a multi-layer printed circuit board
T622	STATEMENT 1137 1163	This procedure can be used
T623	CAUSE_EFFECT_RELATION 1137 1259	This procedure can be used when it is necessary to interrupt an internal connection of a multi-layer printed circuit board
T624	ROOT_SENTENCE 1137 1260	This procedure can be used when it is necessary to interrupt an internal connection of a multi-layer printed circuit board.
T625	VARIABLE 429 454	Terminal post replacement
T626	CONDITION 455 468	is applicable
T627	KEY_C 469 473	when
T628	VARIABLE 474 476	it
T629	CONDITION 477 528	is considered that the operation can be carried out
T630	CONDITION 537 571	damage to adjacent conductor track
T631	CONDITION 575 588	base laminate
T632	CONDITION 592 602	components
T633	OR 575 602	base laminate or components
T634	OR 537 602	damage to adjacent conductor track or base laminate or components
T635	NEGATION 529 602	without damage to adjacent conductor track or base laminate or components
T636	AND 477 602	is considered that the operation can be carried out without damage to adjacent conductor track or base laminate or components
T637	STATEMENT 474 602	it is considered that the operation can be carried out without damage to adjacent conductor track or base laminate or components
T638	CAUSE 469 602	when it is considered that the operation can be carried out without damage to adjacent conductor track or base laminate or components
T639	STATEMENT 429 468	Terminal post replacement is applicable
T640	CAUSE_EFFECT_RELATION 429 602	Terminal post replacement is applicable when it is considered that the operation can be carried out without damage to adjacent conductor track or base laminate or components
T641	ROOT_SENTENCE 429 603	Terminal post replacement is applicable when it is considered that the operation can be carried out without damage to adjacent conductor track or base laminate or components.
T642	NONE_CAUSAL 232 261	For plated through holes only
T643	KEY_C 263 267	When
T644	VARIABLE 268 278	the repair
T645	CONDITION 279 291	is completed
T646	VARIABLE 293 316	a clinched lead-through
T647	CONDITION 317 361	is to be inserted in the plated through hole
T648	STATEMENT 293 361	a clinched lead-through is to be inserted in the plated through hole
T649	STATEMENT 268 291	the repair is completed
T650	CAUSE 263 291	When the repair is completed
T651	CAUSE_EFFECT_RELATION 263 361	When the repair is completed, a clinched lead-through is to be inserted in the plated through hole
T652	ROOT_SENTENCE 232 362	For plated through holes only: When the repair is completed, a clinched lead-through is to be inserted in the plated through hole.
T653	VARIABLE 605 620	Extreme caution
T654	CONDITION 621 639	shall be exercised
T655	KEY_C 640 644	when
T656	VARIABLE 645 652	dealing
T657	CONDITION 653 742	with circuit boards having plated-through holes as the connecting surfaces rupture easily
T658	STATEMENT 645 742	dealing with circuit boards having plated-through holes as the connecting surfaces rupture easily
T659	CAUSE 640 742	when dealing with circuit boards having plated-through holes as the connecting surfaces rupture easily
T660	STATEMENT 605 639	Extreme caution shall be exercised
T661	CAUSE_EFFECT_RELATION 605 742	Extreme caution shall be exercised when dealing with circuit boards having plated-through holes as the connecting surfaces rupture easily
T662	ROOT_SENTENCE 605 743	Extreme caution shall be exercised when dealing with circuit boards having plated-through holes as the connecting surfaces rupture easily.
T663	VARIABLE 745 756	This method
T664	CONDITION 757 770	shall be used
T665	CONDITION 771 806	to enable a component to be mounted
T666	AND 757 806	shall be used to enable a component to be mounted
T667	STATEMENT 745 806	This method shall be used to enable a component to be mounted
T668	KEY_C 807 811	when
T669	VARIABLE 812 821	the leads
T670	CONDITION 822 918	are of a larger diameter than that of existing plated through holes in the printed circuit board
T671	STATEMENT 812 918	the leads are of a larger diameter than that of existing plated through holes in the printed circuit board
T672	CAUSE 807 918	when the leads are of a larger diameter than that of existing plated through holes in the printed circuit board
T673	CAUSE_EFFECT_RELATION 745 918	This method shall be used to enable a component to be mounted when the leads are of a larger diameter than that of existing plated through holes in the printed circuit board
T674	ROOT_SENTENCE 745 919	This method shall be used to enable a component to be mounted when the leads are of a larger diameter than that of existing plated through holes in the printed circuit board.
T691	VARIABLE 1418 1426	Problems
T692	KEY_C 1427 1436	caused by
T693	VARIABLE 1437 1464	inadequate early definition
T694	CAUSE 1427 1464	caused by inadequate early definition
T695	CONDITION 1466 1531	often pass unnoticed during the exchange of technical information
T696	CAUSE_EFFECT_RELATION 1418 1531	Problems caused by inadequate early definition, often pass unnoticed during the exchange of technical information
T697	ROOT_SENTENCE 1418 1532	Problems caused by inadequate early definition, often pass unnoticed during the exchange of technical information.
T698	VARIABLE 1534 1539	Users
T699	CONDITION 1540 1597	should be able to search for pages of the academic portal
T700	KEY_C 1599 1604	since
T701	VARIABLE 1605 1618	most students
T702	CONDITION 1619 1666	will be searching for material given in courses
T703	STATEMENT 1605 1666	most students will be searching for material given in courses
T704	CAUSE 1599 1666	since most students will be searching for material given in courses
T705	STATEMENT 1534 1597	Users should be able to search for pages of the academic portal
T706	CAUSE_EFFECT_RELATION 1534 1666	Users should be able to search for pages of the academic portal, since most students will be searching for material given in courses
T707	ROOT_SENTENCE 1534 1667	Users should be able to search for pages of the academic portal, since most students will be searching for material given in courses.
T708	VARIABLE 1669 1671	It
T709	CONDITION 1672 1684	is important
T710	CONDITION 1685 1765	that a substantial number of users be able to access the system at the same time
T711	KEY_C 1767 1772	since
T712	VARIABLE 1773 1791	an academic portal
T713	CONDITION 1792 1834	is important to the courses that employ it
T714	STATEMENT 1773 1834	an academic portal is important to the courses that employ it
T715	CAUSE 1767 1834	since an academic portal is important to the courses that employ it
T716	AND 1672 1765	is important that a substantial number of users be able to access the system at the same time
T717	STATEMENT 1669 1765	It is important that a substantial number of users be able to access the system at the same time
T718	CAUSE_EFFECT_RELATION 1669 1834	It is important that a substantial number of users be able to access the system at the same time, since an academic portal is important to the courses that employ it
T719	ROOT_SENTENCE 1669 1835	It is important that a substantial number of users be able to access the system at the same time, since an academic portal is important to the courses that employ it.
T720	KEY_C 1837 1842	Since
T721	VARIABLE 1843 1861	the streams inputs
T722	CONDITION 1870 1892	necessarily continuous
T723	NEGATION 1862 1892	are not necessarily continuous
T724	VARIABLE 1894 1896	it
T725	CONDITION 1897 1989	is important to be able to set the time after which the signal stream is considered finished
T726	STATEMENT 1894 1989	it is important to be able to set the time after which the signal stream is considered finished
T727	STATEMENT 1843 1892	the streams inputs are not necessarily continuous
T728	CAUSE 1837 1892	Since the streams inputs are not necessarily continuous
T729	CAUSE_EFFECT_RELATION 1837 1989	Since the streams inputs are not necessarily continuous, it is important to be able to set the time after which the signal stream is considered finished
T730	ROOT_SENTENCE 1837 1990	Since the streams inputs are not necessarily continuous, it is important to be able to set the time after which the signal stream is considered finished.
T731	KEY_C 1992 1997	Since
T732	VARIABLE 1998 2028	graphical rendering activities
T733	CONDITION 2029 2067	are traditionally highly CPU-intensive
T734	CONDITION 2074 2123	should be independent of the more generalised GPU
T735	CONDITION 2131 2157	cluster compute facilities
T736	CONDITION 2158 2176	aimed at modelling
T737	CONDITION 2181 2191	simulation
T738	CONDITION 2192 2246	in order to maximise the efficiency of both activities
T739	AND 2158 2191	aimed at modelling and simulation
T740	AND 2158 2246	aimed at modelling and simulation in order to maximise the efficiency of both activities
T741	OR 2074 2157	should be independent of the more generalised GPU and/or cluster compute facilities
T742	AND 2074 2246	should be independent of the more generalised GPU and/or cluster compute facilities aimed at modelling and simulation in order to maximise the efficiency of both activities
T743	VARIABLE 2069 2073	this
T744	STATEMENT 2069 2246	this should be independent of the more generalised GPU and/or cluster compute facilities aimed at modelling and simulation in order to maximise the efficiency of both activities
T745	CAUSE_EFFECT_RELATION 1992 2246	Since graphical rendering activities are traditionally highly CPU-intensive, this should be independent of the more generalised GPU and/or cluster compute facilities aimed at modelling and simulation in order to maximise the efficiency of both activities
T746	ROOT_SENTENCE 1992 2247	Since graphical rendering activities are traditionally highly CPU-intensive, this should be independent of the more generalised GPU and/or cluster compute facilities aimed at modelling and simulation in order to maximise the efficiency of both activities.
T747	KEY_C 12466 12472	due to
T748	VARIABLE 12473 12508	deposition of penetrating particles
T749	CAUSE 12466 12508	due to deposition of penetrating particles
T750	VARIABLE 12429 12464	Any electrical charging of the mass
T751	CONDITION 12509 12551	produces an additional electrostatic force
T752	CONDITION 12552 12614	that is indistinguishable from the acceleration being measured
T753	AND 12509 12614	produces an additional electrostatic force that is indistinguishable from the acceleration being measured
T754	CAUSE_EFFECT_RELATION 12429 12614	Any electrical charging of the mass, due to deposition of penetrating particles produces an additional electrostatic force that is indistinguishable from the acceleration being measured
T755	ROOT_SENTENCE 12429 12615	Any electrical charging of the mass, due to deposition of penetrating particles produces an additional electrostatic force that is indistinguishable from the acceleration being measured.
T756	NONE_CAUSAL 13268 13275	As such
T757	VARIABLE 13277 13296	securing state data
T759	CONDITION 13334 13355	insufficient recovery
T760	AND 13297 13355	reduces the risk of an incomplete or insufficient recovery
T761	STATEMENT 13277 13355	securing state data reduces the risk of an incomplete or insufficient recovery
T762	KEY_C 13356 13362	due to
T763	VARIABLE 13363 13384	data integrity issues
T764	CAUSE 13356 13384	due to data integrity issues
T765	CAUSE_EFFECT_RELATION 13277 13384	securing state data reduces the risk of an incomplete or insufficient recovery due to data integrity issues
T766	ROOT_SENTENCE 13268 13385	As such, securing state data reduces the risk of an incomplete or insufficient recovery due to data integrity issues.
T758	CONDITION 13297 13313	reduces the risk
T767	CONDITION 13314 13330	of an incomplete
T768	OR 13314 13355	of an incomplete or insufficient recovery
T769	VARIABLE 8458 8491	The surveyed group of individuals
T770	CONDITION 8492 8512	was very heterogenic
T771	KEY_C 8513 8519	due to
T772	VARIABLE 8520 8555	the various (combined) disabilities
T773	CONDITION 8556 8567	represented
T774	STATEMENT 8520 8567	the various (combined) disabilities represented
T775	CAUSE 8513 8567	due to the various (combined) disabilities represented
T776	STATEMENT 8458 8512	The surveyed group of individuals was very heterogenic
T777	CAUSE_EFFECT_RELATION 8458 8567	The surveyed group of individuals was very heterogenic due to the various (combined) disabilities represented
T778	ROOT_SENTENCE 8458 8568	The surveyed group of individuals was very heterogenic due to the various (combined) disabilities represented.
T790	VARIABLE 8364 8368	This
T791	CONDITION 8369 8378	is mostly
T792	STATEMENT 8364 8378	This is mostly
T793	KEY_C 8379 8385	due to
T794	VARIABLE 8386 8409	the national guidelines
T795	CONDITION 8410 8455	that mostly are based on a subset of WCAG 1.0
T796	STATEMENT 8386 8455	the national guidelines that mostly are based on a subset of WCAG 1.0
T797	CAUSE 8379 8455	due to the national guidelines that mostly are based on a subset of WCAG 1.0
T798	CAUSE_EFFECT_RELATION 8364 8455	This is mostly due to the national guidelines that mostly are based on a subset of WCAG 1.0
T799	ROOT_SENTENCE 8364 8456	This is mostly due to the national guidelines that mostly are based on a subset of WCAG 1.0.
T1	CONDITION 1083 1134	straight pin terminals(cid:148) of ECSS--Q--70--08A
T2	CONDITION 990 1078	to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret
T3	CONDITION 968 989	formed insulated wire
T4	CONDITION 953 963	pre-tinned
T5	CONDITION 943 951	stripped
T39	VARIABLE 936 942	attach
T40	VARIABLE 926 934	required
T67	KEY_C 921 925	When
T68	CAUSE 921 934	When required
T69	AND 990 1134	to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret and straight pin terminals(cid:148) of ECSS--Q--70--08A
T70	AND 968 1134	formed insulated wire to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret and straight pin terminals(cid:148) of ECSS--Q--70--08A
T202	AND 953 1134	pre-tinned and formed insulated wire to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret and straight pin terminals(cid:148) of ECSS--Q--70--08A
T203	AND 943 1134	stripped, pre-tinned and formed insulated wire to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret and straight pin terminals(cid:148) of ECSS--Q--70--08A
T204	STATEMENT 936 1134	attach stripped, pre-tinned and formed insulated wire to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret and straight pin terminals(cid:148) of ECSS--Q--70--08A
T205	CAUSE_EFFECT_RELATION 921 1134	When required, attach stripped, pre-tinned and formed insulated wire to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret and straight pin terminals(cid:148) of ECSS--Q--70--08A
T267	ROOT_SENTENCE 921 1135	When required, attach stripped, pre-tinned and formed insulated wire to the isolated lead using a wrap-around connection as per subclause 9.3 (cid:147)Turret and straight pin terminals(cid:148) of ECSS--Q--70--08A.
T268	CONDITION 11516 11593	exceed the electromagnetic interference safety margins defined in ECSS--E--20
T269	NEGATION 11506 11593	shall not exceed the electromagnetic interference safety margins defined in ECSS--E--20
T284	KEY_C 11472 11478	due to
T285	VARIABLE 11479 11504	exposure to the subsystem
T286	CAUSE 11472 11504	due to exposure to the subsystem
T287	VARIABLE 11443 11470	The magnetic field strength
T288	CAUSE_EFFECT_RELATION 11443 11593	The magnetic field strength, due to exposure to the subsystem, shall not exceed the electromagnetic interference safety margins defined in ECSS--E--20
T524	ROOT_SENTENCE 11443 11594	The magnetic field strength, due to exposure to the subsystem, shall not exceed the electromagnetic interference safety margins defined in ECSS--E--20.
