T1	VARIABLE 3 12	the check
T439	STATEMENT 5214 5273	Links will be part of the content to download any documents
T440	CAUSE 5275 5287	if necessary
T441	CAUSE_EFFECT_RELATION 5214 5287	Links will be part of the content to download any documents, if necessary
T442	ROOT_SENTENCE 5214 5288	Links will be part of the content to download any documents, if necessary.
T443	KEY_C 5290 5292	If
T444	VARIABLE 5293 5308	the target page
T446	VARIABLE 5329 5358	a simple HTML with some links
T447	VARIABLE 5362 5371	documents
T448	OR 5329 5371	a simple HTML with some links or documents
T449	CONDITION 5372 5405	will be presented to the end user
T450	STATEMENT 5329 5405	a simple HTML with some links or documents will be presented to the end user
T451	STATEMENT 5293 5328	the target page was not CRM related
T452	CAUSE 5290 5328	If the target page was not CRM related
T453	CAUSE_EFFECT_RELATION 5290 5405	If the target page was not CRM related a simple HTML with some links or documents will be presented to the end user
T454	ROOT_SENTENCE 5290 5406	If the target page was not CRM related a simple HTML with some links or documents will be presented to the end user.
T466	KEY_C 5501 5503	If
T467	VARIABLE 5504 5525	a given data consumer
T472	CAUSE 5578 5629	because of a communications or other system failure
T473	AND 5501 5629	If a given data consumer is unable to receive data that it has subscribed to because of a communications or other system failure
T474	VARIABLE 5631 5651	the data in question
T475	CONDITION 5652 5663	may be lost
T476	STATEMENT 5631 5663	the data in question may be lost
T479	CAUSE_EFFECT_RELATION 5501 5663	If a given data consumer is unable to receive data that it has subscribed to because of a communications or other system failure, the data in question may be lost
T480	ROOT_SENTENCE 5501 5664	If a given data consumer is unable to receive data that it has subscribed to because of a communications or other system failure, the data in question may be lost.
T481	KEY_C 5666 5668	If
T482	VARIABLE 5669 5673	they
T483	CONDITION 5681 5708	know the correct Consultant
T484	VARIABLE 5710 5720	the system
T485	CONDITION 5721 5791	must send the mortality details onwards to the appropriate M&M meeting
T486	STATEMENT 5710 5791	the system must send the mortality details onwards to the appropriate M&M meeting
T487	STATEMENT 5669 5708	they do not know the correct Consultant
T488	CAUSE 5666 5708	If they do not know the correct Consultant
T489	CAUSE_EFFECT_RELATION 5666 5791	If they do not know the correct Consultant, the system must send the mortality details onwards to the appropriate M&M meeting
T490	ROOT_SENTENCE 5666 5792	If they do not know the correct Consultant, the system must send the mortality details onwards to the appropriate M&M meeting.
T491	VARIABLE 5794 5804	The system
T492	CONDITION 5805 5824	must allow an entry
T493	KEY_C 5825 5827	if
T494	VARIABLE 5828 5837	the death
T495	CONDITION 5838 5875	is being recorded as 30 Day Mortality
T496	ROOT_SENTENCE 5794 5876	The system must allow an entry if the death is being recorded as 30 Day Mortality.
T497	STATEMENT 5794 5824	The system must allow an entry
T498	STATEMENT 5828 5875	the death is being recorded as 30 Day Mortality
T499	CAUSE 5825 5875	if the death is being recorded as 30 Day Mortality
T500	CAUSE_EFFECT_RELATION 5794 5875	The system must allow an entry if the death is being recorded as 30 Day Mortality
T501	CAUSE_EFFECT_RELATION 4195 4361	If the user requests a large image with a short response time, it is acceptable for the ARS data system to advise the user that the target response time cannot be met
T502	ROOT_SENTENCE 3321 3414	If the user clicks on a TPM in dashboard, another window is open showing details for the TPM.
T503	KEY_C 5878 5880	If
T504	VARIABLE 5881 5916	digital signatures of medical staff
T505	CONDITION 5917 5934	become widespread
T506	VARIABLE 5936 5946	the system
T507	CONDITION 5947 5988	must be able to accommodate that facility
T508	STATEMENT 5881 5934	digital signatures of medical staff become widespread
T509	CAUSE 5878 5934	If digital signatures of medical staff become widespread
T510	STATEMENT 5936 5988	the system must be able to accommodate that facility
T511	CAUSE_EFFECT_RELATION 5878 5988	If digital signatures of medical staff become widespread, the system must be able to accommodate that facility
T512	ROOT_SENTENCE 5878 5989	If digital signatures of medical staff become widespread, the system must be able to accommodate that facility.
T513	VARIABLE 5991 6001	The system
T514	CONDITION 6002 6034	must allow an alert to be raised
T515	KEY_C 6035 6037	if
T516	VARIABLE 6038 6063	this recording of a death
T518	STATEMENT 5991 6034	The system must allow an alert to be raised
T519	STATEMENT 6038 6080	this recording of a death is not completed
T520	CAUSE 6035 6080	if this recording of a death is not completed
T521	CAUSE_EFFECT_RELATION 5991 6080	The system must allow an alert to be raised if this recording of a death is not completed
T522	ROOT_SENTENCE 5991 6081	The system must allow an alert to be raised if this recording of a death is not completed.
T523	KEY_C 6083 6085	If
T524	VARIABLE 6086 6089	you
T525	CONDITION 6090 6117	wish to label the partition
T526	VARIABLE 6119 6126	GParted
T527	CONDITION 6127 6156	lets you do so in this dialog
T528	STATEMENT 6086 6117	you wish to label the partition
T529	STATEMENT 6119 6156	GParted lets you do so in this dialog
T530	CAUSE 6083 6117	If you wish to label the partition
T531	CAUSE_EFFECT_RELATION 6083 6156	If you wish to label the partition, GParted lets you do so in this dialog
T532	ROOT_SENTENCE 6083 6157	If you wish to label the partition, GParted lets you do so in this dialog.
T533	KEY_C 6159 6161	If
T534	VARIABLE 6162 6168	that’s
T535	CONDITION 6169 6173	fine
T536	VARIABLE 6175 6229	click OK on the warning window that is being displayed
T537	STATEMENT 6162 6173	that’s fine
T538	CAUSE 6159 6173	If that’s fine
T539	CAUSE_EFFECT_RELATION 6159 6229	If that’s fine, click OK on the warning window that is being displayed
T540	ROOT_SENTENCE 6159 6230	If that’s fine, click OK on the warning window that is being displayed.
T541	KEY_C 6347 6349	If
T542	VARIABLE 6350 6356	a user
T543	CONDITION 6364 6377	be identified
T544	VARIABLE 6379 6383	they
T545	CONDITION 6393 6408	be given access
T546	STATEMENT 6379 6408	they will not be given access
T547	STATEMENT 6350 6377	a user cannot be identified
T548	CAUSE 6347 6377	If a user cannot be identified
T549	CAUSE_EFFECT_RELATION 6347 6408	If a user cannot be identified, they will not be given access
T550	ROOT_SENTENCE 6347 6409	If a user cannot be identified, they will not be given access.
T551	NONE_CAUSAL 6411 6427	Please note that
T552	KEY_C 6428 6430	if
T553	VARIABLE 6431 6458	the implementation strategy
T554	CONDITION 6459 6506	is to generalize the ECAL function of WEB-GRAPE
T555	VARIABLE 6508 6520	the solution
T556	CONDITION 6521 6667	would need to employ the IDL Virtual Machine, the freely available IDL runtime environment that needs to be installed on the system at Version 6.4
T557	STATEMENT 6508 6677	the solution would need to employ the IDL Virtual Machine, the freely available IDL runtime environment that needs to be installed on the system at Version 6.4 or higher
T558	STATEMENT 6431 6506	the implementation strategy is to generalize the ECAL function of WEB-GRAPE
T559	CAUSE 6428 6506	if the implementation strategy is to generalize the ECAL function of WEB-GRAPE
T560	CAUSE_EFFECT_RELATION 6428 6677	if the implementation strategy is to generalize the ECAL function of WEB-GRAPE, the solution would need to employ the IDL Virtual Machine, the freely available IDL runtime environment that needs to be installed on the system at Version 6.4 or higher
T561	ROOT_SENTENCE 6411 6678	Please note that if the implementation strategy is to generalize the ECAL function of WEB-GRAPE, the solution would need to employ the IDL Virtual Machine, the freely available IDL runtime environment that needs to be installed on the system at Version 6.4 or higher.
T562	CONDITION 6671 6677	higher
T563	OR 6521 6677	would need to employ the IDL Virtual Machine, the freely available IDL runtime environment that needs to be installed on the system at Version 6.4 or higher
T564	VARIABLE 6792 6814	The system required ID
T565	CONDITION 6815 6830	is coloured red
T566	KEY_C 6831 6833	if
T567	VARIABLE 6834 6867	the associated system requirement
T568	CONDITION 6868 6906	refers to a value yet to be determined
T569	STATEMENT 6834 6906	the associated system requirement refers to a value yet to be determined
T570	CAUSE 6831 6906	if the associated system requirement refers to a value yet to be determined
T571	STATEMENT 6792 6830	The system required ID is coloured red
T572	CAUSE_EFFECT_RELATION 6792 6906	The system required ID is coloured red if the associated system requirement refers to a value yet to be determined
T573	ROOT_SENTENCE 6792 6907	The system required ID is coloured red if the associated system requirement refers to a value yet to be determined.
T574	KEY_C 6910 6912	If
T575	VARIABLE 6913 6924	the anomaly
T576	CONDITION 6925 6955	can be corrected in the SL TAC
T577	VARIABLE 6957 6977	the production chain
T578	CONDITION 6978 6990	is run again
T579	STATEMENT 6957 6990	the production chain is run again
T580	STATEMENT 6913 6955	the anomaly can be corrected in the SL TAC
T581	CAUSE 6910 6955	If the anomaly can be corrected in the SL TAC
T582	CAUSE_EFFECT_RELATION 6910 6990	If the anomaly can be corrected in the SL TAC, the production chain is run again
T583	ROOT_SENTENCE 6910 6991	If the anomaly can be corrected in the SL TAC, the production chain is run again.
T584	KEY_C 6993 6995	If
T585	VARIABLE 6996 7010	the FTP server
T586	CONDITION 7011 7016	fails
T587	VARIABLE 7018 7029	an incident
T588	CONDITION 7030 7078	has to be reported to the SL TAC Service Manager
T589	STATEMENT 7018 7078	an incident has to be reported to the SL TAC Service Manager
T590	STATEMENT 6996 7016	the FTP server fails
T591	CAUSE 6993 7016	If the FTP server fails
T592	CAUSE_EFFECT_RELATION 6993 7078	If the FTP server fails, an incident has to be reported to the SL TAC Service Manager
T593	ROOT_SENTENCE 6993 7079	If the FTP server fails, an incident has to be reported to the SL TAC Service Manager.
T594	KEY_C 7278 7280	if
T595	VARIABLE 7281 7287	wanted
T596	VARIABLE 7190 7214	The feature of searching
T597	CONDITION 7215 7247	can be applied in just one group
T598	CONDITION 7256 7277	in the whole database
T599	AND 7215 7277	can be applied in just one group and not in the whole database
T600	NEGATION 7252 7277	not in the whole database
T601	STATEMENT 7190 7277	The feature of searching can be applied in just one group and not in the whole database
T602	CAUSE 7278 7287	if wanted
T603	CAUSE_EFFECT_RELATION 7190 7287	The feature of searching can be applied in just one group and not in the whole database if wanted
T604	ROOT_SENTENCE 7190 7288	The feature of searching can be applied in just one group and not in the whole database if wanted.
T605	KEY_C 7290 7292	If
T606	VARIABLE 7293 7295	he
T607	CONDITION 7296 7334	already has download languages packets
T608	VARIABLE 7336 7338	he
T609	CONDITION 7339 7361	can choose one of them
T610	STATEMENT 7336 7361	he can choose one of them
T611	STATEMENT 7293 7334	he already has download languages packets
T612	CAUSE 7290 7334	If he already has download languages packets
T613	CAUSE_EFFECT_RELATION 7290 7361	If he already has download languages packets, he can choose one of them
T614	ROOT_SENTENCE 7290 7362	If he already has download languages packets, he can choose one of them.
T615	NEGATION 6357 6377	cannot be identified
T616	NEGATION 6384 6408	will not be given access
T617	NEGATION 6064 6080	is not completed
T618	NEGATION 5674 5708	do not know the correct Consultant
T619	NEGATION 5526 5551	is unable to receive data
T620	NEGATION 5309 5328	was not CRM related
T621	NEGATION 4733 4756	doesn’t fulfil any rule
T622	NEGATION 3911 3929	were not available
T623	KEY_C 7364 7366	If
T624	VARIABLE 7367 7377	a sequence
T625	CONDITION 7378 7397	is more than a line
T626	VARIABLE 7398 7400	it
T627	CONDITION 7408 7415	be used
T628	NEGATION 7401 7415	cannot be used
T629	KEY_C 7420 7430	in case of
T630	VARIABLE 7431 7444	two sequences
T631	CONDITION 7445 7460	in one ’s field
T632	VARIABLE 7461 7479	only the first one
T633	CONDITION 7480 7487	is used
T634	STATEMENT 7431 7460	two sequences in one ’s field
T635	STATEMENT 7461 7487	only the first one is used
T636	CAUSE 7420 7460	in case of two sequences in one ’s field
T637	CAUSE_EFFECT_RELATION 7420 7487	in case of two sequences in one ’s field only the first one is used
T638	STATEMENT 7398 7415	it cannot be used
T639	STATEMENT 7367 7397	a sequence is more than a line
T640	CAUSE 7364 7397	If a sequence is more than a line
T641	CAUSE_EFFECT_RELATION 7364 7415	If a sequence is more than a line it cannot be used
T642	AND 7364 7487	If a sequence is more than a line it cannot be used and in case of two sequences in one ’s field only the first one is used
T643	ROOT_SENTENCE 7364 7488	If a sequence is more than a line it cannot be used and in case of two sequences in one ’s field only the first one is used.
T644	KEY_C 7490 7492	If
T645	VARIABLE 7493 7501	the file
T646	CONDITION 7502 7509	is lost
T647	CONDITION 7514 7539	there are no copies of it
T648	AND 7502 7539	is lost and there are no copies of it
T649	STATEMENT 7493 7539	the file is lost and there are no copies of it
T650	CAUSE 7490 7539	If the file is lost and there are no copies of it
T651	VARIABLE 7541 7549	all data
T652	CONDITION 7550 7566	are gone forever
T653	VARIABLE 7571 7579	database
T654	CONDITION 7580 7599	never unlocks again
T655	STATEMENT 7571 7599	database never unlocks again
T656	STATEMENT 7541 7566	all data are gone forever
T657	AND 7541 7599	all data are gone forever and database never unlocks again
T658	CAUSE_EFFECT_RELATION 7490 7599	If the file is lost and there are no copies of it, all data are gone forever and database never unlocks again
T659	ROOT_SENTENCE 7490 7600	If the file is lost and there are no copies of it, all data are gone forever and database never unlocks again.
T660	KEY_C 7602 7604	If
T661	NONE_CAUSAL 7605 7621	in the meanwhile
T662	VARIABLE 7622 7624	it
T663	CONDITION 7632 7647	pasted anywhere
T664	NEGATION 7625 7647	is not pasted anywhere
T665	VARIABLE 7649 7651	it
T666	CONDITION 7652 7672	must be copied again
T667	STATEMENT 7649 7672	it must be copied again
T668	STATEMENT 7622 7647	it is not pasted anywhere
T669	CAUSE 7602 7647	If in the meanwhile it is not pasted anywhere
T670	CAUSE_EFFECT_RELATION 7602 7672	If in the meanwhile it is not pasted anywhere, it must be copied again
T671	ROOT_SENTENCE 7602 7673	If in the meanwhile it is not pasted anywhere, it must be copied again.
T672	KEY_C 7675 7677	If
T673	VARIABLE 7678 7709	any of these three requirements
T674	CONDITION 7717 7726	satisfied
T675	NEGATION 7710 7726	is not satisfied
T676	VARIABLE 7728 7759	the value delivered to the user
T677	CONDITION 7760 7785	can be greatly diminished
T678	STATEMENT 7728 7785	the value delivered to the user can be greatly diminished
T679	STATEMENT 7678 7726	any of these three requirements is not satisfied
T680	CAUSE 7675 7726	If any of these three requirements is not satisfied
T681	CAUSE_EFFECT_RELATION 7675 7785	If any of these three requirements is not satisfied, the value delivered to the user can be greatly diminished
T682	ROOT_SENTENCE 7675 7786	If any of these three requirements is not satisfied, the value delivered to the user can be greatly diminished.
T683	KEY_C 7788 7790	If
T684	VARIABLE 7791 7795	they
T685	CONDITION 7796 7811	have to be open
T686	VARIABLE 7813 7817	they
T687	CONDITION 7818 7867	must be equipped with an automatic closing device
T688	CONDITION 7868 7902	connected to the fire alarm system
T689	AND 7818 7902	must be equipped with an automatic closing device connected to the fire alarm system
T690	STATEMENT 7813 7902	they must be equipped with an automatic closing device connected to the fire alarm system
T691	STATEMENT 7791 7811	they have to be open
T692	CAUSE 7788 7811	If they have to be open
T693	CAUSE_EFFECT_RELATION 7788 7902	If they have to be open, they must be equipped with an automatic closing device connected to the fire alarm system
T694	ROOT_SENTENCE 7788 7903	If they have to be open, they must be equipped with an automatic closing device connected to the fire alarm system.
T61	CONDITION 1164 1215	becomes the authoritative address to be relied upon
T73	AND 1164 1296	becomes the authoritative address to be relied upon and referred to by consumers and all parties engaged in the retail energy market
T89	CONDITION 5206 5211	right
T368	OR 5139 5211	could access more documents by sliding the documents panel left or right
T445	KEY_C 5552 5556	that
T468	VARIABLE 5557 5559	it
T695	CONDITION 5560 5577	has subscribed to
T469	STATEMENT 5557 5577	it has subscribed to
T696	CAUSE 5552 5577	that it has subscribed to
T697	KEY_C 5578 5588	because of
T698	VARIABLE 5589 5605	a communications
T699	VARIABLE 5609 5629	other system failure
T700	OR 5589 5629	a communications or other system failure
T470	STATEMENT 5504 5551	a given data consumer is unable to receive data
T471	CAUSE 5501 5551	If a given data consumer is unable to receive data
T701	AND 5501 5577	If a given data consumer is unable to receive data that it has subscribed to
T477	CONDITION 6071 6080	completed
T478	KEY_C 7905 7907	If
T517	VARIABLE 7908 7933	another transport company
T702	CONDITION 7934 7942	is hired
T703	VARIABLE 7943 7967	each individual shipment
T704	CONDITION 7968 7985	must be inspected
T705	STATEMENT 7943 7985	each individual shipment must be inspected
T706	STATEMENT 7908 7942	another transport company is hired
T707	CAUSE 7905 7942	If another transport company is hired
T708	CAUSE_EFFECT_RELATION 7905 7985	If another transport company is hired each individual shipment must be inspected
T709	ROOT_SENTENCE 7905 7986	If another transport company is hired each individual shipment must be inspected.
T710	VARIABLE 7988 7990	We
T711	CONDITION 7991 8016	used open-ended questions
T712	KEY_C 8017 8019	if
T713	VARIABLE 8020 8035	the interviewee
T714	CONDITION 8036 8091	was to have the opportunity to provide personal details
T715	STATEMENT 8020 8091	the interviewee was to have the opportunity to provide personal details
T716	STATEMENT 7988 8016	We used open-ended questions
T717	CAUSE 8017 8091	if the interviewee was to have the opportunity to provide personal details
T718	CAUSE_EFFECT_RELATION 7988 8091	We used open-ended questions if the interviewee was to have the opportunity to provide personal details
T719	ROOT_SENTENCE 7988 8092	We used open-ended questions if the interviewee was to have the opportunity to provide personal details.
T720	VARIABLE 8094 8113	Personal interviews
T721	CONDITION 8114 8129	are recommended
T722	KEY_C 8130 8132	if
T723	VARIABLE 8133 8136	one
T724	CONDITION 8137 8239	can assume that the presence of an interviewer motivates the target group to participate in the survey	
T726	STATEMENT 8133 8239	one can assume that the presence of an interviewer motivates the target group to participate in the survey
T727	STATEMENT 8094 8129	Personal interviews are recommended
T728	CAUSE 8130 8239	if one can assume that the presence of an interviewer motivates the target group to participate in the survey
T729	CAUSE_EFFECT_RELATION 8094 8239	Personal interviews are recommended if one can assume that the presence of an interviewer motivates the target group to participate in the survey
T730	ROOT_SENTENCE 8094 8240	Personal interviews are recommended if one can assume that the presence of an interviewer motivates the target group to participate in the survey.
T731	KEY_C 8242 8244	If
T732	VARIABLE 8245 8251	labels
T733	CONDITION 8252 8263	are applied
T734	VARIABLE 8265 8269	this
T735	CONDITION 8270 8316	is in most cases awarded by external assessors
T736	STATEMENT 8265 8316	this is in most cases awarded by external assessors
T737	STATEMENT 8245 8263	labels are applied
T738	CAUSE 8242 8263	If labels are applied
T739	CAUSE_EFFECT_RELATION 8242 8316	If labels are applied, this is in most cases awarded by external assessors
T740	ROOT_SENTENCE 8242 8317	If labels are applied, this is in most cases awarded by external assessors.
T741	KEY_C 8320 8322	If
T742	VARIABLE 8323 8355	the overall web application mode
T743	CONDITION 8356 8371	is being chosen
T744	VARIABLE 8373 8378	there
T745	CONDITION 8379 8438	shall be an option defining the maximum number of web pages
T746	KEY_C 8439 8443	that
T747	CONDITION 8444 8460	will be examined
T748	STATEMENT 8373 8438	there shall be an option defining the maximum number of web pages
T749	EFFECT 8439 8460	that will be examined
T750	AND 8373 8460	there shall be an option defining the maximum number of web pages that will be examined
T751	STATEMENT 8323 8371	the overall web application mode is being chosen
T752	CAUSE 8320 8371	If the overall web application mode is being chosen
T753	CAUSE_EFFECT_RELATION 8320 8460	If the overall web application mode is being chosen, there shall be an option defining the maximum number of web pages that will be examined
T754	ROOT_SENTENCE 8320 8461	If the overall web application mode is being chosen, there shall be an option defining the maximum number of web pages that will be examined.
T755	KEY_C 8463 8465	If
T756	VARIABLE 8466 8474	a permit
T757	CONDITION 8475 8521	is requested near the boundary of the District
T758	VARIABLE 8523 8574	the ability to view data from the adjacent District
T759	CONDITION 8575 8636	would be helpful in determining the impacts of the new permit
T760	STATEMENT 8523 8636	the ability to view data from the adjacent District would be helpful in determining the impacts of the new permit
T761	STATEMENT 8466 8521	a permit is requested near the boundary of the District
T762	CAUSE 8463 8521	If a permit is requested near the boundary of the District
T763	CAUSE_EFFECT_RELATION 8463 8636	If a permit is requested near the boundary of the District, the ability to view data from the adjacent District would be helpful in determining the impacts of the new permit
T764	ROOT_SENTENCE 8463 8637	If a permit is requested near the boundary of the District, the ability to view data from the adjacent District would be helpful in determining the impacts of the new permit.
T765	KEY_C 8639 8641	If
T766	VARIABLE 8642 8647	there
T767	CONDITION 8648 8715	are any preexisting peering arrangements (for a long term scenario)
T768	KEY_C 8716 8720	then
T769	VARIABLE 8721 8726	these
T770	CONDITION 8727 8757	will be returned at this point
T771	STATEMENT 8642 8715	there are any preexisting peering arrangements (for a long term scenario)
T772	CAUSE 8639 8715	If there are any preexisting peering arrangements (for a long term scenario)
T773	STATEMENT 8721 8757	these will be returned at this point
T774	EFFECT 8716 8757	then these will be returned at this point
T775	CAUSE_EFFECT_RELATION 8639 8757	If there are any preexisting peering arrangements (for a long term scenario) then these will be returned at this point
T776	ROOT_SENTENCE 8639 8758	If there are any preexisting peering arrangements (for a long term scenario) then these will be returned at this point.
T777	KEY_C 8760 8762	If
T778	VARIABLE 8763 8765	it
T779	CONDITION 8766 8783	is a new resource
T780	VARIABLE 8785 8808	its service information
T781	CONDITION 8809 8855	is registered in the SR with a new resource ID
T782	STATEMENT 8785 8855	its service information is registered in the SR with a new resource ID
T783	STATEMENT 8763 8783	it is a new resource
T784	CAUSE 8760 8783	If it is a new resource
T785	CAUSE_EFFECT_RELATION 8760 8855	If it is a new resource, its service information is registered in the SR with a new resource ID
T786	ROOT_SENTENCE 8760 8856	If it is a new resource, its service information is registered in the SR with a new resource ID.
T787	KEY_C 8858 8860	If
T788	VARIABLE 8861 8871	a resource
T789	CONDITION 8872 8877	fails
T790	VARIABLE 8879 8902	its service information
T791	CONDITION 8903 8921	is removed from SR
T792	CONDITION 8926 8964	the resource ID counter is decremented
T793	AND 8903 8964	is removed from SR and the resource ID counter is decremented
T794	STATEMENT 8879 8964	its service information is removed from SR and the resource ID counter is decremented
T795	STATEMENT 8861 8877	a resource fails
T796	CAUSE 8858 8877	If a resource fails
T797	CAUSE_EFFECT_RELATION 8858 8964	If a resource fails, its service information is removed from SR and the resource ID counter is decremented
T798	ROOT_SENTENCE 8858 8965	If a resource fails, its service information is removed from SR and the resource ID counter is decremented.
T799	KEY_C 8967 8969	If
T800	VARIABLE 8970 8978	the user
T801	CONDITION 8979 9014	requests experience service timeout
T802	VARIABLE 9016 9034	initiation request
T803	CONDITION 9035 9047	is cancelled
T804	STATEMENT 8970 9014	the user requests experience service timeout
T805	STATEMENT 9016 9047	initiation request is cancelled
T806	CAUSE 8967 9014	If the user requests experience service timeout
T807	CAUSE_EFFECT_RELATION 8967 9047	If the user requests experience service timeout, initiation request is cancelled
T808	ROOT_SENTENCE 8967 9048	If the user requests experience service timeout, initiation request is cancelled.
T809	KEY_C 9050 9052	If
T810	VARIABLE 9053 9074	a peered CDN provider
T812	VARIABLE 9108 9135	a given peering arrangement
T813	CONDITION 9136 9142	ceases
T814	STATEMENT 9108 9142	a given peering arrangement ceases
T815	STATEMENT 9053 9106	a peered CDN provider refuses to accept user requests
T816	CAUSE 9050 9106	If a peered CDN provider refuses to accept user requests
T817	CAUSE_EFFECT_RELATION 9050 9142	If a peered CDN provider refuses to accept user requests, a given peering arrangement ceases
T818	ROOT_SENTENCE 9050 9143	If a peered CDN provider refuses to accept user requests, a given peering arrangement ceases.
T819	KEY_C 9145 9147	If
T820	VARIABLE 9148 9157	connected
T821	VARIABLE 9159 9181	an adequate protection
T822	CONDITION 9182 9224	is guaranteed for the operator workstation
T823	CONDITION 9241 9284	allow outside sources to access the product
T824	AND 9182 9284	is guaranteed for the operator workstation, which will not allow outside sources to access the product
T825	STATEMENT 9159 9284	an adequate protection is guaranteed for the operator workstation, which will not allow outside sources to access the product
T826	CAUSE 9145 9157	If connected
T827	CAUSE_EFFECT_RELATION 9145 9284	If connected, an adequate protection is guaranteed for the operator workstation, which will not allow outside sources to access the product
T828	ROOT_SENTENCE 9145 9285	If connected, an adequate protection is guaranteed for the operator workstation, which will not allow outside sources to access the product.
T829	NONE_CAUSAL 9287 9294	However
T830	VARIABLE 9296 9365	the measurement of the work performed within the limits of tolerances
T831	CONDITION 9366 9419	shall be the measurement of actual work done in place
T832	KEY_C 9421 9423	if
T833	VARIABLE 9424 9440	their dimensions
T834	CONDITION 9441 9479	are less than what have been specified
T835	STATEMENT 9424 9509	their dimensions are less than what have been specified or instructed by the Engineer
T836	STATEMENT 9296 9419	the measurement of the work performed within the limits of tolerances shall be the measurement of actual work done in place
T837	CAUSE 9421 9509	if their dimensions are less than what have been specified or instructed by the Engineer
T838	CAUSE_EFFECT_RELATION 9296 9509	the measurement of the work performed within the limits of tolerances shall be the measurement of actual work done in place, if their dimensions are less than what have been specified or instructed by the Engineer
T839	ROOT_SENTENCE 9287 9510	However, the measurement of the work performed within the limits of tolerances shall be the measurement of actual work done in place, if their dimensions are less than what have been specified or instructed by the Engineer.
T840	KEY_C 9512 9514	If
T841	VARIABLE 9515 9529	the Contractor
T842	CONDITION 9530 9563	requests a change in the sequence
T843	VARIABLE 9568 9579	such change
T844	CONDITION 9580 9607	is approved by the Engineer
T845	STATEMENT 9568 9607	such change is approved by the Engineer
T846	STATEMENT 9515 9563	the Contractor requests a change in the sequence
T847	AND 9515 9607	the Contractor requests a change in the sequence and such change is approved by the Engineer
T848	CAUSE 9512 9607	If the Contractor requests a change in the sequence and such change is approved by the Engineer
T849	VARIABLE 9609 9623	the Contractor
T850	NEGATION 9624 9730	shall have no claim as per the Conditions of Contract for delay arising from such revisions to the program
T851	STATEMENT 9609 9730	the Contractor shall have no claim as per the Conditions of Contract for delay arising from such revisions to the program
T852	CAUSE_EFFECT_RELATION 9512 9730	If the Contractor requests a change in the sequence and such change is approved by the Engineer, the Contractor shall have no claim as per the Conditions of Contract for delay arising from such revisions to the program
T853	ROOT_SENTENCE 9512 9731	If the Contractor requests a change in the sequence and such change is approved by the Engineer, the Contractor shall have no claim as per the Conditions of Contract for delay arising from such revisions to the program.
T854	KEY_C 9750 9752	if
T855	CONDITION 9753 9760	granted
T856	VARIABLE 9733 9748	Such permission
T857	KEY_C 9793 9804	under which
T858	VARIABLE 9805 9815	the change
T859	CONDITION 9816 9827	may be made
T860	STATEMENT 9805 9827	the change may be made
T861	EFFECT 9793 9827	under which the change may be made
T862	CONDITION 9762 9792	shall set forth the conditions
T863	AND 9762 9827	shall set forth the conditions under which the change may be made
T864	CAUSE 9750 9760	if granted
T865	CAUSE_EFFECT_RELATION 9733 9827	Such permission, if granted, shall set forth the conditions under which the change may be made
T866	ROOT_SENTENCE 9733 9828	Such permission, if granted, shall set forth the conditions under which the change may be made.
T867	KEY_C 9830 9832	If
T868	VARIABLE 9833 9865	the product of any source proves
T869	CONDITION 9866 9878	unacceptable
T870	VARIABLE 9880 9894	the Contractor
T871	CONDITION 9895 9966	shall make necessary arrangements for the supply of acceptable material
T872	STATEMENT 9880 9966	the Contractor shall make necessary arrangements for the supply of acceptable material
T873	STATEMENT 9833 9878	the product of any source proves unacceptable
T874	CAUSE 9830 9878	If the product of any source proves unacceptable
T875	CAUSE_EFFECT_RELATION 9830 9966	If the product of any source proves unacceptable, the Contractor shall make necessary arrangements for the supply of acceptable material
T876	ROOT_SENTENCE 9830 9967	If the product of any source proves unacceptable, the Contractor shall make necessary arrangements for the supply of acceptable material.
T877	KEY_C 9969 9971	If
T878	VARIABLE 9972 9979	pallets
T879	CONDITION 9980 9988	are used
T880	VARIABLE 9990 9994	they
T881	CONDITION 9995 10060	shall be constructed so that bags are not damaged during handling
T882	CONDITION 10065 10073	stacking
T883	AND 9995 10073	shall be constructed so that bags are not damaged during handling and stacking
T884	STATEMENT 9990 10073	they shall be constructed so that bags are not damaged during handling and stacking
T885	STATEMENT 9972 9988	pallets are used
T886	CAUSE 9969 9988	If pallets are used
T887	CAUSE_EFFECT_RELATION 9969 10073	If pallets are used, they shall be constructed so that bags are not damaged during handling and stacking
T888	ROOT_SENTENCE 9969 10074	If pallets are used, they shall be constructed so that bags are not damaged during handling and stacking.
T889	KEY_C 10076 10078	If
T890	VARIABLE 10079 10108	the aggregate from any source
T891	CONDITION 10109 10120	is variable
T892	VARIABLE 10122 10146	the frequency of testing
T893	CONDITION 10147 10195	shall be increased as instructed by the Engineer
T894	STATEMENT 10122 10195	the frequency of testing shall be increased as instructed by the Engineer
T895	STATEMENT 10079 10120	the aggregate from any source is variable
T896	CAUSE 10076 10120	If the aggregate from any source is variable
T897	CAUSE_EFFECT_RELATION 10076 10195	If the aggregate from any source is variable, the frequency of testing shall be increased as instructed by the Engineer
T898	ROOT_SENTENCE 10076 10196	If the aggregate from any source is variable, the frequency of testing shall be increased as instructed by the Engineer.
T899	KEY_C 10198 10200	If
T900	VARIABLE 10201 10210	necessary
T901	VARIABLE 10212 10217	trees
