T1	VARIABLE 0 10	All timber
T430	VARIABLE 10187 10227	the portion of the cable after the break
T431	CONDITION 10228 10267	is removed (including its end terminus)
T432	CONDITION 10272 10318	replaced with a prefabricated terminus pigtail
T433	AND 10228 10318	is removed (including its end terminus) and replaced with a prefabricated terminus pigtail
T434	STATEMENT 10187 10318	the portion of the cable after the break is removed (including its end terminus) and replaced with a prefabricated terminus pigtail
T435	CAUSE_EFFECT_RELATION 10164 10318	When a splice is used, the portion of the cable after the break is removed (including its end terminus) and replaced with a prefabricated terminus pigtail
T436	ROOT_SENTENCE 10164 10319	When a splice is used, the portion of the cable after the break is removed (including its end terminus) and replaced with a prefabricated terminus pigtail.
T437	VARIABLE 10037 10056	Risk of signal loss
T438	CONDITION 10057 10067	is reduced
T439	KEY_C 10068 10072	when
T440	VARIABLE 10073 10096	cause of fiber breakage
T441	CONDITION 10097 10145	may extend to multiple fibers in the same bundle
T442	CONDITION 10149 10161	routing path
T443	OR 10097 10161	may extend to multiple fibers in the same bundle or routing path
T444	STATEMENT 10073 10161	cause of fiber breakage may extend to multiple fibers in the same bundle or routing path
T445	CAUSE 10068 10161	when cause of fiber breakage may extend to multiple fibers in the same bundle or routing path
T446	STATEMENT 10037 10067	Risk of signal loss is reduced
T447	CAUSE_EFFECT_RELATION 10037 10161	Risk of signal loss is reduced when cause of fiber breakage may extend to multiple fibers in the same bundle or routing path
T448	ROOT_SENTENCE 10037 10162	Risk of signal loss is reduced when cause of fiber breakage may extend to multiple fibers in the same bundle or routing path.
T450	KEY_C 9751 9756	Under
T449	VARIABLE 9764 9784	operating conditions
T451	CAUSE 9751 9784	Under normal operating conditions
T452	VARIABLE 9786 9855	the laser diode found in an optical fiber communication system (OFCS)
T453	CONDITION 9856 9888	is inherently an eye safe system
T454	STATEMENT 9786 9888	the laser diode found in an optical fiber communication system (OFCS) is inherently an eye safe system
T455	KEY_C 9895 9899	when
T456	VARIABLE 9900 9927	an optical fiber connection
T457	CONDITION 9928 9937	is broken
T458	CONDITION 9970 9978	are used
T459	AND 9900 9978	an optical fiber connection is broken and optical viewing instruments are used
T460	STATEMENT 9900 9937	an optical fiber connection is broken
T461	CAUSE 9895 9978	when an optical fiber connection is broken and optical viewing instruments are used
T462	CAUSE_EFFECT_RELATION 9751 9888	Under normal operating conditions, the laser diode found in an optical fiber communication system (OFCS) is inherently an eye safe system
T463	KEY_C 9597 9601	When
T464	VARIABLE 9386 9397	such models
T465	CONDITION 9398 9420	shall produce accurate
T466	CONDITION 9425 9462	empirically repeatable, valid outputs
T467	AND 9398 9462	shall produce accurate and empirically repeatable, valid outputs
T468	STATEMENT 9386 9462	such models shall produce accurate and empirically repeatable, valid outputs
T469	KEY_C 9351 9355	When
T470	VARIABLE 9356 9384	used for predictive purposes
T471	CAUSE 9351 9384	When used for predictive purposes
T472	CAUSE_EFFECT_RELATION 9351 9462	When used for predictive purposes, such models shall produce accurate and empirically repeatable, valid outputs
T473	ROOT_SENTENCE 9351 9463	When used for predictive purposes, such models shall produce accurate and empirically repeatable, valid outputs.
T474	KEY_C 8518 8522	when
T477	VARIABLE 8537 8571	agreeing on the test documentation
T480	CAUSE 8518 8571	when reviewing and agreeing on the test documentation
T481	VARIABLE 8497 8509	Verification
T482	CONDITION 8510 8517	is done
T483	STATEMENT 8497 8517	Verification is done
T484	CAUSE_EFFECT_RELATION 8497 8571	Verification is done when reviewing and agreeing on the test documentation
T485	ROOT_SENTENCE 8497 8572	Verification is done when reviewing and agreeing on the test documentation.
T486	VARIABLE 8574 8597	Reliability predictions
T487	CONDITION 8598 8621	are quantitative values
T488	CONDITION 8627 8674	are usually calculated at an early design stage
T489	KEY_C 8675 8679	when
T490	VARIABLE 8680 8716	little directly applicable test data
T491	CONDITION 8717 8730	are available
T492	STATEMENT 8680 8730	little directly applicable test data are available
T493	CAUSE 8675 8730	when little directly applicable test data are available
T494	KEY_C 8140 8144	When
T495	VARIABLE 8145 8158	the procedure
T496	CONDITION 8159 8171	is automated
T497	VARIABLE 8173 8211	the listing of the automated procedure
T498	CONDITION 8212 8231	shall be documented
T499	CONDITION 8232 8283	to a level allowing consistency check with the TPRO
T500	CONDITION 8288 8296	the TPSE
T501	AND 8232 8296	to a level allowing consistency check with the TPRO and the TPSE
T502	AND 8212 8296	shall be documented to a level allowing consistency check with the TPRO and the TPSE
T503	STATEMENT 8173 8296	the listing of the automated procedure shall be documented to a level allowing consistency check with the TPRO and the TPSE
T504	STATEMENT 8145 8171	the procedure is automated
T505	CAUSE 8140 8171	When the procedure is automated
T506	CAUSE_EFFECT_RELATION 8140 8296	When the procedure is automated, the listing of the automated procedure shall be documented to a level allowing consistency check with the TPRO and the TPSE
T507	ROOT_SENTENCE 8140 8297	When the procedure is automated, the listing of the automated procedure shall be documented to a level allowing consistency check with the TPRO and the TPSE.
T508	VARIABLE 7998 8021	a space segment element
T509	CONDITION 8029 8056	transported fully assembled
T510	CONDITION 8060 8084	is subsequently disabled
T511	NEGATION 8022 8056	is not transported fully assembled
T512	OR 8022 8084	is not transported fully assembled or is subsequently disabled
T513	STATEMENT 7998 8084	a space segment element is not transported fully assembled or is subsequently disabled
T514	CAUSE 7993 8084	When a space segment element is not transported fully assembled or is subsequently disabled
T515	KEY_C 7993 7997	When
T516	VARIABLE 8086 8119	the final assembly at launch site
T517	CONDITION 8120 8137	shall be retested
T518	STATEMENT 8086 8137	the final assembly at launch site shall be retested
T519	CAUSE_EFFECT_RELATION 7993 8137	When a space segment element is not transported fully assembled or is subsequently disabled, the final assembly at launch site shall be retested
T520	ROOT_SENTENCE 7993 8138	When a space segment element is not transported fully assembled or is subsequently disabled, the final assembly at launch site shall be retested.
T521	KEY_C 7850 7854	When
T522	CONDITION 7855 7865	performing
T523	VARIABLE 7866 7896	space segment element EMC test
T524	STATEMENT 7855 7896	performing space segment element EMC test
T525	CAUSE 7850 7896	When performing space segment element EMC test
T526	VARIABLE 7897 7933	the compatibility tests with carrier
T527	VARIABLE 7937 7967	carried space segment elements
T528	OR 7897 7967	the compatibility tests with carrier or carried space segment elements
T529	CONDITION 7968 7990	shall also be included
T530	STATEMENT 7897 7990	the compatibility tests with carrier or carried space segment elements shall also be included
T531	CAUSE_EFFECT_RELATION 7850 7990	When performing space segment element EMC test the compatibility tests with carrier or carried space segment elements shall also be included
T532	ROOT_SENTENCE 7850 7991	When performing space segment element EMC test the compatibility tests with carrier or carried space segment elements shall also be included.
T533	KEY_C 7672 7676	When
T534	VARIABLE 7677 7710	the fully assembled configuration
T535	CONDITION 7711 7766	precludes accessibility to perform requirement 6.5.3.4a
T536	STATEMENT 7677 7766	the fully assembled configuration precludes accessibility to perform requirement 6.5.3.4a
T537	CAUSE 7672 7766	When the fully assembled configuration precludes accessibility to perform requirement 6.5.3.4a
T538	VARIABLE 7768 7778	leak tests
T539	CONDITION 7779 7847	shall be conducted on a configuration to be agreed with the customer
T540	STATEMENT 7768 7847	leak tests shall be conducted on a configuration to be agreed with the customer
T541	CAUSE_EFFECT_RELATION 7672 7847	When the fully assembled configuration precludes accessibility to perform requirement 6.5.3.4a, leak tests shall be conducted on a configuration to be agreed with the customer
T542	ROOT_SENTENCE 7672 7848	When the fully assembled configuration precludes accessibility to perform requirement 6.5.3.4a, leak tests shall be conducted on a configuration to be agreed with the customer.
T543	KEY_C 7464 7468	When
T544	VARIABLE 7469 7486	a dummy structure
T545	CONDITION 7487 7518	is used in the static load test
T546	VARIABLE 7520 7522	it
T547	CONDITION 7523 7592	shall be demonstrated that it is representative in terms of stiffness
T548	CONDITION 7597 7669	as far as the constraints of the replaced flight component are concerned
T549	AND 7523 7669	shall be demonstrated that it is representative in terms of stiffness and as far as the constraints of the replaced flight component are concerned
T550	STATEMENT 7520 7669	it shall be demonstrated that it is representative in terms of stiffness and as far as the constraints of the replaced flight component are concerned
T551	STATEMENT 7469 7518	a dummy structure is used in the static load test
T552	CAUSE 7464 7518	When a dummy structure is used in the static load test
T553	CAUSE_EFFECT_RELATION 7464 7669	When a dummy structure is used in the static load test, it shall be demonstrated that it is representative in terms of stiffness and as far as the constraints of the replaced flight component are concerned
T554	ROOT_SENTENCE 7464 7670	When a dummy structure is used in the static load test, it shall be demonstrated that it is representative in terms of stiffness and as far as the constraints of the replaced flight component are concerned.
T555	KEY_C 7309 7313	When
T556	VARIABLE 7314 7339	part of the qualification
T557	CONDITION 7340 7369	is obtained on other model(s)
T558	KEY_C 7371 7375	then
T559	VARIABLE 7376 7383	the PFM
T560	CONDITION 7384 7461	shall be tested in accordance with Table 5‐3 for the relevant type(s) of test
T561	STATEMENT 7376 7461	the PFM shall be tested in accordance with Table 5‐3 for the relevant type(s) of test
T562	EFFECT 7371 7461	then the PFM shall be tested in accordance with Table 5‐3 for the relevant type(s) of test
T563	STATEMENT 7314 7369	part of the qualification is obtained on other model(s)
T564	CAUSE 7309 7369	When part of the qualification is obtained on other model(s)
T565	CAUSE_EFFECT_RELATION 7309 7461	When part of the qualification is obtained on other model(s), then the PFM shall be tested in accordance with Table 5‐3 for the relevant type(s) of test
T567	KEY_C 7142 7146	When
T568	VARIABLE 7147 7149	it
T569	CONDITION 7157 7216	feasible to test a space segment element as a single entity
T570	NEGATION 7150 7216	is not feasible to test a space segment element as a single entity
T571	STATEMENT 7147 7216	it is not feasible to test a space segment element as a single entity
T572	CAUSE 7142 7216	When it is not feasible to test a space segment element as a single entity
T573	VARIABLE 7218 7220	it
T574	CONDITION 7221 7279	may be tested separately as several space segment elements
T575	CONDITION 7283 7306	space segment equipment
T576	OR 7221 7306	may be tested separately as several space segment elements or space segment equipment
T577	STATEMENT 7218 7306	it may be tested separately as several space segment elements or space segment equipment
T578	CAUSE_EFFECT_RELATION 7142 7306	When it is not feasible to test a space segment element as a single entity, it may be tested separately as several space segment elements or space segment equipment
T579	ROOT_SENTENCE 7142 7307	When it is not feasible to test a space segment element as a single entity, it may be tested separately as several space segment elements or space segment equipment.
T580	KEY_C 6759 6763	when
T581	VARIABLE 6764 6780	functional tests
T582	CONDITION 6789 6798	performed
T583	NEGATION 6781 6798	are not performed
T584	STATEMENT 6764 6798	functional tests are not performed
T585	CAUSE 6759 6798	when functional tests are not performed
T586	VARIABLE 6715 6737	Detailed visual checks
T587	CONDITION 6738 6758	shall be carried out
T588	STATEMENT 6715 6758	Detailed visual checks shall be carried out
T589	CAUSE_EFFECT_RELATION 6715 6798	Detailed visual checks shall be carried out when functional tests are not performed
T590	ROOT_SENTENCE 6715 6799	Detailed visual checks shall be carried out when functional tests are not performed.
T591	KEY_C 6482 6486	When
T592	VARIABLE 6487 6499	a centrifuge
T593	CONDITION 6500 6507	is used
T594	STATEMENT 6487 6507	a centrifuge is used
T595	CAUSE 6482 6507	When a centrifuge is used
T596	VARIABLE 6509 6511	it
T600	STATEMENT 6509 6712	it shall be ensured that the length of the arm (measured to the geometric centre of the space segment equipment) is at least five times the dimension of the space segment equipment measured along the arm
T601	CAUSE_EFFECT_RELATION 6482 6712	When a centrifuge is used, it shall be ensured that the length of the arm (measured to the geometric centre of the space segment equipment) is at least five times the dimension of the space segment equipment measured along the arm
T597	CONDITION 6512 6712	shall be ensured that the length of the arm (measured to the geometric centre of the space segment equipment) is at least five times the dimension of the space segment equipment measured along the arm
T598	ROOT_SENTENCE 6482 6713	When a centrifuge is used, it shall be ensured that the length of the arm (measured to the geometric centre of the space segment equipment) is at least five times the dimension of the space segment equipment measured along the arm.
T599	KEY_C 6426 6430	When
T602	VARIABLE 6431 6441	accessible
T603	CAUSE 6426 6441	When accessible
T604	VARIABLE 6443 6463	protection functions
T605	CONDITION 6464 6479	shall be tested
T606	STATEMENT 6443 6479	protection functions shall be tested
T607	CAUSE_EFFECT_RELATION 6426 6479	When accessible, protection functions shall be tested
T608	ROOT_SENTENCE 6426 6480	When accessible, protection functions shall be tested.
T609	VARIABLE 6310 6331	Qualification testing
T610	CONDITION 6332 6384	shall be conducted on dedicated qualification models
T611	STATEMENT 6310 6384	Qualification testing shall be conducted on dedicated qualification models
T612	KEY_C 6155 6159	When
T613	CONDITION 6160 6169	preparing
T614	VARIABLE 6170 6223	the overall test programme of a space segment element
T615	STATEMENT 6160 6223	preparing the overall test programme of a space segment element
T616	CAUSE 6155 6223	When preparing the overall test programme of a space segment element
T617	VARIABLE 6224 6265	tests linked to compatibility with ground
T618	VARIABLE 6270 6284	launch segment
T619	AND 6224 6284	tests linked to compatibility with ground and launch segment
T620	CONDITION 6285 6307	shall also be included
T621	STATEMENT 6224 6307	tests linked to compatibility with ground and launch segment shall also be included
T622	CAUSE_EFFECT_RELATION 6155 6307	When preparing the overall test programme of a space segment element tests linked to compatibility with ground and launch segment shall also be included
T623	ROOT_SENTENCE 6155 6308	When preparing the overall test programme of a space segment element tests linked to compatibility with ground and launch segment shall also be included.
T624	KEY_C 1476 1480	when
T625	VARIABLE 1481 1513	the air temperature in the shade
T626	CONDITION 1514 1530	is less than 3°C
T627	STATEMENT 1481 1530	the air temperature in the shade is less than 3°C
T628	CAUSE 1476 1530	when the air temperature in the shade is less than 3°C
T629	VARIABLE 1450 1457	Masonry
T630	CONDITION 1468 1475	be laid
T631	NEGATION 1458 1475	shall not be laid
T632	STATEMENT 1450 1475	Masonry shall not be laid
T633	CAUSE_EFFECT_RELATION 1450 1530	Masonry shall not be laid when the air temperature in the shade is less than 3°C
T634	ROOT_SENTENCE 1450 1531	Masonry shall not be laid when the air temperature in the shade is less than 3°C.
T635	KEY_C 1575 1579	when
T636	VARIABLE 1580 1634	the level of the surrounding mortared masonry surround
T637	CONDITION 1635 1677	has reached the top of the dry stone inset
T638	STATEMENT 1580 1677	the level of the surrounding mortared masonry surround has reached the top of the dry stone inset
T639	CAUSE 1575 1677	when the level of the surrounding mortared masonry surround has reached the top of the dry stone inset
T640	VARIABLE 1533 1553	The dry stone insets
T641	CONDITION 1554 1574	shall be constructed
T642	STATEMENT 1533 1574	The dry stone insets shall be constructed
T643	CAUSE_EFFECT_RELATION 1533 1677	The dry stone insets shall be constructed when the level of the surrounding mortared masonry surround has reached the top of the dry stone inset
T644	ROOT_SENTENCE 1533 1678	The dry stone insets shall be constructed when the level of the surrounding mortared masonry surround has reached the top of the dry stone inset.
T645	KEY_C 5632 5636	when
T646	CONDITION 5637 5657	directed to do so by
T647	VARIABLE 5658 5670	the operator
T648	STATEMENT 5637 5670	directed to do so by the operator
T649	CAUSE 5632 5670	when directed to do so by the operator
T650	VARIABLE 5547 5593	A part of the on-line diagnostic test function
T651	CONDITION 5594 5631	shall provide hardware status reports
T652	STATEMENT 5547 5631	A part of the on-line diagnostic test function shall provide hardware status reports
T653	CAUSE_EFFECT_RELATION 5547 5670	A part of the on-line diagnostic test function shall provide hardware status reports when directed to do so by the operator
T654	ROOT_SENTENCE 5547 5671	A part of the on-line diagnostic test function shall provide hardware status reports when directed to do so by the operator.
T655	KEY_C 3645 3649	when
T656	VARIABLE 3650 3662	the concrete
T657	CONDITION 3663 3674	is vibrated
T658	STATEMENT 3650 3674	the concrete is vibrated
T659	CAUSE 3645 3674	when the concrete is vibrated
T660	VARIABLE 3537 3539	It
T661	CONDITION 3540 3570	shall consist of wooden boards
T662	CONDITION 3572 3584	sheet metals
T663	CONDITION 3590 3644	any other suitable material that prevent loss of grout
T664	AND 3572 3644	sheet metals, and any other suitable material that prevent loss of grout
T665	AND 3540 3644	shall consist of wooden boards, sheet metals, and any other suitable material that prevent loss of grout
T666	STATEMENT 3537 3644	It shall consist of wooden boards, sheet metals, and any other suitable material that prevent loss of grout
T667	CAUSE_EFFECT_RELATION 3537 3674	It shall consist of wooden boards, sheet metals, and any other suitable material that prevent loss of grout when the concrete is vibrated
T668	ROOT_SENTENCE 3537 3675	It shall consist of wooden boards, sheet metals, and any other suitable material that prevent loss of grout when the concrete is vibrated.
T669	KEY_C 3831 3835	when
T670	VARIABLE 3836 3844	concrete
T671	CONDITION 3845 3867	is placed against them
T672	STATEMENT 3836 3867	concrete is placed against them
T673	CAUSE 3831 3867	when concrete is placed against them
T674	VARIABLE 3677 3690	Such elements
T675	CONDITION 3691 3716	shall be set true to line
T676	CONDITION 3721 3795	level within the tolerances prescribed for the appropriate class of finish
T677	CONDITION 3800 3830	fixed so that they cannot move
T678	AND 3721 3830	level within the tolerances prescribed for the appropriate class of finish and fixed so that they cannot move
T679	AND 3691 3830	shall be set true to line and level within the tolerances prescribed for the appropriate class of finish and fixed so that they cannot move
T680	STATEMENT 3677 3830	Such elements shall be set true to line and level within the tolerances prescribed for the appropriate class of finish and fixed so that they cannot move
T681	CAUSE_EFFECT_RELATION 3677 3867	Such elements shall be set true to line and level within the tolerances prescribed for the appropriate class of finish and fixed so that they cannot move when concrete is placed against them
T682	ROOT_SENTENCE 3677 3868	Such elements shall be set true to line and level within the tolerances prescribed for the appropriate class of finish and fixed so that they cannot move when concrete is placed against them.
T683	KEY_C 5389 5393	When
T684	VARIABLE 5394 5411	the end of a tube
T685	CONDITION 5419 5496	automatically sealed by virtue of its connection be welding to another member
T686	NEGATION 5412 5496	is not automatically sealed by virtue of its connection be welding to another member
T687	STATEMENT 5394 5496	the end of a tube is not automatically sealed by virtue of its connection be welding to another member
T688	CAUSE 5389 5496	When the end of a tube is not automatically sealed by virtue of its connection be welding to another member
T689	VARIABLE 5497 5504	the end
T690	CONDITION 5505 5522	shall be properly
T691	CONDITION 5527 5544	completely sealed
T692	AND 5505 5544	shall be properly and completely sealed
T693	STATEMENT 5497 5544	the end shall be properly and completely sealed
T694	NONE_CAUSAL 5370 5386	Sealing of Tubes
T695	CAUSE_EFFECT_RELATION 5370 5544	Sealing of Tubes : When the end of a tube is not automatically sealed by virtue of its connection be welding to another member the end shall be properly and completely sealed
T696	ROOT_SENTENCE 5370 5545	Sealing of Tubes : When the end of a tube is not automatically sealed by virtue of its connection be welding to another member the end shall be properly and completely sealed.
T697	KEY_C 5199 5203	When
T698	VARIABLE 5204 5239	the first half of the strip of felt
T699	CONDITION 5240 5267	has been bonded to the roof
T700	STATEMENT 5204 5267	the first half of the strip of felt has been bonded to the roof
T701	CAUSE 5199 5267	When the first half of the strip of felt has been bonded to the roof
T702	VARIABLE 5269 5283	the other half
T703	CONDITION 5284 5302	shall be rolled up
T704	CONDITION 5307 5367	then unrolled on to the hot bonding material in the same way
T705	AND 5284 5367	shall be rolled up and then unrolled on to the hot bonding material in the same way
T706	STATEMENT 5269 5367	the other half shall be rolled up and then unrolled on to the hot bonding material in the same way
T707	ROOT_SENTENCE 5199 5368	When the first half of the strip of felt has been bonded to the roof, the other half shall be rolled up and then unrolled on to the hot bonding material in the same way.
T708	CAUSE_EFFECT_RELATION 5199 5367	When the first half of the strip of felt has been bonded to the roof, the other half shall be rolled up and then unrolled on to the hot bonding material in the same way
T709	KEY_C 5166 5170	when
T710	VARIABLE 5171 5196	tapped with wooden mallet
T711	CAUSE 5166 5196	when tapped with wooden mallet
T712	VARIABLE 5124 5142	The finished floor
T713	CONDITION 5153 5165	sound hollow
T714	NEGATION 5143 5165	shall not sound hollow
T715	STATEMENT 5124 5165	The finished floor shall not sound hollow
T716	CAUSE_EFFECT_RELATION 5124 5196	The finished floor shall not sound hollow when tapped with wooden mallet
T717	ROOT_SENTENCE 5124 5197	The finished floor shall not sound hollow when tapped with wooden mallet.
T718	KEY_C 5051 5055	when
T719	VARIABLE 5056 5078	handling the chemicals
T720	CONDITION 5079 5102	whether in concentrated
T721	CONDITION 5106 5121	in diluted form
T722	OR 5079 5121	whether in concentrated or in diluted form
T723	STATEMENT 5056 5121	handling the chemicals whether in concentrated or in diluted form
T724	CAUSE 5051 5121	when handling the chemicals whether in concentrated or in diluted form
T725	VARIABLE 4953 4998	Persons carrying out chemical soil treatments
T726	CONDITION 4999 5028	should familiarize themselves
T727	CONDITION 5033 5050	exercise due care
T728	AND 4999 5050	should familiarize themselves and exercise due care
T729	STATEMENT 4953 5050	Persons carrying out chemical soil treatments should familiarize themselves and exercise due care
T730	CAUSE_EFFECT_RELATION 4953 5121	Persons carrying out chemical soil treatments should familiarize themselves and exercise due care when handling the chemicals whether in concentrated or in diluted form
T731	ROOT_SENTENCE 4953 5122	Persons carrying out chemical soil treatments should familiarize themselves and exercise due care when handling the chemicals whether in concentrated or in diluted form.
T732	KEY_C 4668 4672	when
T733	VARIABLE 4673 4678	level
T734	CONDITION 4686 4710	maintained in excavation
T735	NEGATION 4679 4710	is not maintained in excavation
T736	STATEMENT 4673 4710	level is not maintained in excavation
T737	CAUSE 4668 4710	when level is not maintained in excavation
T738	VARIABLE 4631 4650	mud on sand filling
T739	CONDITION 4651 4667	shall be allowed
T740	STATEMENT 4631 4667	mud on sand filling shall be allowed
T741	NEGATION 4628 4667	No mud on sand filling shall be allowed
T742	CAUSE_EFFECT_RELATION 4628 4710	No mud on sand filling shall be allowed when level is not maintained in excavation
T743	ROOT_SENTENCE 4628 4711	No mud on sand filling shall be allowed when level is not maintained in excavation.
T744	VARIABLE 6397 6423	using protoflight approach
T745	KEY_C 6392 6396	when
T746	CAUSE 6392 6423	when using protoflight approach
T747	NEGATION 6385 6423	except when using protoflight approach
T748	CAUSE_EFFECT_RELATION 6310 6423	Qualification testing shall be conducted on dedicated qualification models except when using protoflight approach
T749	ROOT_SENTENCE 6310 6424	Qualification testing shall be conducted on dedicated qualification models except when using protoflight approach.
T750	KEY_C 8622 8626	that
T751	EFFECT 8622 8674	that are usually calculated at an early design stage
T752	NONE_CAUSAL 8574 8621	Reliability predictions are quantitative values
T753	CAUSE_EFFECT_RELATION 8622 8730	that are usually calculated at an early design stage when little directly applicable test data are available
T754	ROOT_SENTENCE 8574 8731	Reliability predictions are quantitative values that are usually calculated at an early design stage when little directly applicable test data are available.
T475	VARIABLE 8523 8532	reviewing
T476	AND 8523 8571	reviewing and agreeing on the test documentation
T755	VARIABLE 934 943	The Brick
T756	CONDITION 944 1020	shall be first class chimney made bricks of quality approved by the Engineer
T757	CONDITION 1025 1039	free from grit
T758	CONDITION 1044 1060	other impurities
T759	CONDITION 1061 1073	such as lime
T760	CONDITION 1075 1079	iron
T761	CONDITION 1084 1107	other deleterious salts
T762	CONDITION 1109 1124	conforming NS 1
T763	CONDITION 1129 1150	hard with sharp edges
T764	CONDITION 1155 1179	shall emit ringing sound
T765	KEY_C 1180 1184	when
T766	VARIABLE 1185 1205	struck with a mallet
T767	CAUSE 1180 1205	when struck with a mallet
T768	AND 1129 1179	hard with sharp edges and shall emit ringing sound
T769	AND 1109 1179	conforming NS 1 and hard with sharp edges and shall emit ringing sound
T770	AND 1075 1107	iron and other deleterious salts
T771	AND 1061 1107	such as lime, iron and other deleterious salts
T772	AND 1025 1060	free from grit and other impurities
T773	AND 1025 1179	free from grit and other impurities such as lime, iron and other deleterious salts, conforming NS 1 and hard with sharp edges and shall emit ringing sound
T774	AND 944 1179	shall be first class chimney made bricks of quality approved by the Engineer and free from grit and other impurities such as lime, iron and other deleterious salts, conforming NS 1 and hard with sharp edges and shall emit ringing sound
T775	STATEMENT 934 1179	The Brick shall be first class chimney made bricks of quality approved by the Engineer and free from grit and other impurities such as lime, iron and other deleterious salts, conforming NS 1 and hard with sharp edges and shall emit ringing sound
T776	CAUSE_EFFECT_RELATION 934 1205	The Brick shall be first class chimney made bricks of quality approved by the Engineer and free from grit and other impurities such as lime, iron and other deleterious salts, conforming NS 1 and hard with sharp edges and shall emit ringing sound when struck with a mallet
T777	ROOT_SENTENCE 934 1206	The Brick shall be first class chimney made bricks of quality approved by the Engineer and free from grit and other impurities such as lime, iron and other deleterious salts, conforming NS 1 and hard with sharp edges and shall emit ringing sound when struck with a mallet.
T778	KEY_C 2149 2153	When
T779	VARIABLE 2154 2183	the correct quantity of water
T780	CONDITION 2185 2227	determined as set out in the Specification
T781	CONDITION 2229 2254	has been added to the mix
T782	AND 2185 2254	determined as set out in the Specification, has been added to the mix
T783	STATEMENT 2154 2254	the correct quantity of water, determined as set out in the Specification, has been added to the mix
T784	CAUSE 2149 2254	When the correct quantity of water, determined as set out in the Specification, has been added to the mix
T787	CONDITION 2289 2309	either during mixing
T788	CONDITION 2313 2325	subsequently
T789	OR 2289 2325	either during mixing or subsequently
T785	VARIABLE 2259 2272	further water
T790	CONDITION 2273 2287	shall be added
T791	AND 2273 2325	shall be added, either during mixing or subsequently
T792	STATEMENT 2259 2325	further water shall be added, either during mixing or subsequently
T793	NEGATION 2256 2325	no further water shall be added, either during mixing or subsequently
T786	CAUSE_EFFECT_RELATION 2149 2325	When the correct quantity of water, determined as set out in the Specification, has been added to the mix, no further water shall be added, either during mixing or subsequently
T794	ROOT_SENTENCE 2149 2326	When the correct quantity of water, determined as set out in the Specification, has been added to the mix, no further water shall be added, either during mixing or subsequently.
T795	VARIABLE 2328 2355	Any under drain constructed
T796	CONDITION 2356 2403	for this purpose shall be completely grouted up
T797	KEY_C 2404 2408	when
T798	VARIABLE 2409 2413	they
T799	CONDITION 2428 2471	required by a method agreed by the Engineer
T800	NEGATION 2414 2471	are no longer required by a method agreed by the Engineer
T801	STATEMENT 2409 2471	they are no longer required by a method agreed by the Engineer
T802	CAUSE 2404 2471	when they are no longer required by a method agreed by the Engineer
T803	STATEMENT 2328 2403	Any under drain constructed for this purpose shall be completely grouted up
T804	CAUSE_EFFECT_RELATION 2328 2471	Any under drain constructed for this purpose shall be completely grouted up when they are no longer required by a method agreed by the Engineer
T805	ROOT_SENTENCE 2328 2472	Any under drain constructed for this purpose shall be completely grouted up when they are no longer required by a method agreed by the Engineer.
T806	KEY_C 2608 2612	When
T807	VARIABLE 2613 2621	concrete
T808	CONDITION 2622 2677	is discharged from the place above its final deposition
T809	VARIABLE 2679 2690	segregation
T810	CONDITION 2691 2709	shall be prevented
T811	CONDITION 2710 2730	by the use of chutes
T812	CONDITION 2732 2742	down pipes
T813	CONDITION 2744 2752	trunking
T814	CONDITION 2754 2761	baffles
T815	CONDITION 2765 2790	other appropriate devices
T816	OR 2754 2790	baffles or other appropriate devices
T817	OR 2744 2790	trunking, baffles or other appropriate devices
T818	OR 2732 2790	down pipes, trunking, baffles or other appropriate devices
T819	OR 2710 2790	by the use of chutes, down pipes, trunking, baffles or other appropriate devices
T820	AND 2691 2790	shall be prevented by the use of chutes, down pipes, trunking, baffles or other appropriate devices
T821	STATEMENT 2679 2790	segregation shall be prevented by the use of chutes, down pipes, trunking, baffles or other appropriate devices
T822	STATEMENT 2613 2677	concrete is discharged from the place above its final deposition
T823	CAUSE 2608 2677	When concrete is discharged from the place above its final deposition
T824	CAUSE_EFFECT_RELATION 2608 2790	When concrete is discharged from the place above its final deposition, segregation shall be prevented by the use of chutes, down pipes, trunking, baffles or other appropriate devices
T825	ROOT_SENTENCE 2608 2791	When concrete is discharged from the place above its final deposition, segregation shall be prevented by the use of chutes, down pipes, trunking, baffles or other appropriate devices.
T826	VARIABLE 4889 4907	The primed surface
T827	KEY_C 4908 4912	when
T828	VARIABLE 4913 4916	dry
T829	CAUSE 4908 4916	when dry
T830	CONDITION 4917 4950	shall be sand papered by using No
T831	CAUSE_EFFECT_RELATION 4889 4950	The primed surface when dry shall be sand papered by using No
T832	ROOT_SENTENCE 4889 4951	The primed surface when dry shall be sand papered by using No.
T833	KEY_C 5876 5880	When
T834	VARIABLE 5881 5917	the provisions of the DOD FAR clause
T835	VARIABLE 5921 5981	data requirements (currently DOD FAR Supplement 52.227-7031)
T836	CONDITION 5982 5993	are invoked
T837	VARIABLE 5998 6014	the DD Form 1423
T838	CONDITION 6022 6026	used
T839	VARIABLE 6028 6052	the data specified below
T841	CONDITION 6125 6152	purchase order requirements
T842	AND 6053 6152	shall be delivered by the contractor in accordance with the contract or purchase order requirements
T843	STATEMENT 6028 6152	the data specified below shall be delivered by the contractor in accordance with the contract or purchase order requirements
