T1	VARIABLE 0 8	Channels
T436	STATEMENT 3886 3905	N shall be set to 0
T437	STATEMENT 3833 3884	continuation state is to be provided in the request
T438	NEGATION 3830 3884	no continuation state is to be provided in the request
T439	CAUSE 3827 3884	If no continuation state is to be provided in the request
T440	CAUSE_EFFECT_RELATION 3827 3905	If no continuation state is to be provided in the request, N shall be set to 0
T441	ROOT_SENTENCE 3827 3906	If no continuation state is to be provided in the request, N shall be set to 0.
T442	KEY_C 3908 3910	If
T443	VARIABLE 3911 3935	the requested attributes
T444	CONDITION 3936 3961	require more than N bytes
T445	VARIABLE 3963 3977	the SDP server
T446	CONDITION 3978 4012	determines how to segment the list
T447	STATEMENT 3963 4012	the SDP server determines how to segment the list
T448	STATEMENT 3911 3961	the requested attributes require more than N bytes
T449	CAUSE 3908 3961	If the requested attributes require more than N bytes
T450	CAUSE_EFFECT_RELATION 3908 4012	If the requested attributes require more than N bytes, the SDP server determines how to segment the list
T451	ROOT_SENTENCE 3908 4013	If the requested attributes require more than N bytes, the SDP server determines how to segment the list.
T452	KEY_C 4015 4017	If
T453	VARIABLE 4018 4038	the current response
T454	CONDITION 4039 4050	is complete
T455	VARIABLE 4052 4066	this parameter
T456	CONDITION 4067 4109	consists of a single byte with the value 0
T457	STATEMENT 4052 4109	this parameter consists of a single byte with the value 0
T458	STATEMENT 4018 4050	the current response is complete
T459	CAUSE 4015 4050	If the current response is complete
T460	CAUSE_EFFECT_RELATION 4015 4109	If the current response is complete, this parameter consists of a single byte with the value 0
T461	ROOT_SENTENCE 4015 4110	If the current response is complete, this parameter consists of a single byte with the value 0.
T462	NONE_CAUSAL 4112 4119	However
T463	KEY_C 4121 4123	if
T464	VARIABLE 4124 4140	a service record
T465	CONDITION 4141 4220	has a service attribute with an attribute ID allocated to a universal attribute
T466	VARIABLE 4222 4241	the attribute value
T467	CONDITION 4242 4295	shall conform to the universal attribute’s definition
T468	STATEMENT 4222 4295	the attribute value shall conform to the universal attribute’s definition
T469	STATEMENT 4124 4220	a service record has a service attribute with an attribute ID allocated to a universal attribute
T470	CAUSE 4121 4220	if a service record has a service attribute with an attribute ID allocated to a universal attribute
T471	CAUSE_EFFECT_RELATION 4121 4295	if a service record has a service attribute with an attribute ID allocated to a universal attribute, the attribute value shall conform to the universal attribute’s definition
T472	ROOT_SENTENCE 4112 4296	However, if a service record has a service attribute with an attribute ID allocated to a universal attribute, the attribute value shall conform to the universal attribute’s definition.
T473	VARIABLE 4298 4308	The handle
T474	CONDITION 4309 4349	used to reference the service on S1 will
T475	CONDITION 4351 4377	in general, be meaningless
T476	KEY_C 4378 4380	if
T477	VARIABLE 4381 4396	presented to S2
T478	CAUSE 4378 4396	if presented to S2
T479	AND 4309 4377	used to reference the service on S1 will, in general, be meaningless
T480	STATEMENT 4298 4377	The handle used to reference the service on S1 will, in general, be meaningless
T481	CAUSE_EFFECT_RELATION 4298 4396	The handle used to reference the service on S1 will, in general, be meaningless if presented to S2
T482	ROOT_SENTENCE 4298 4397	The handle used to reference the service on S1 will, in general, be meaningless if presented to S2.
T483	VARIABLE 4399 4421	This service attribute
T484	CONDITION 4422 4444	is particularly useful
T485	KEY_C 4445 4447	if
T486	VARIABLE 4448 4464	the same service
T487	CONDITION 4465 4524	is described by service records in more than one SDP server
T488	STATEMENT 4448 4524	the same service is described by service records in more than one SDP server
T489	CAUSE 4445 4524	if the same service is described by service records in more than one SDP server
T490	STATEMENT 4399 4444	This service attribute is particularly useful
T491	CAUSE_EFFECT_RELATION 4399 4524	This service attribute is particularly useful if the same service is described by service records in more than one SDP server
T492	ROOT_SENTENCE 4399 4525	This service attribute is particularly useful if the same service is described by service records in more than one SDP server.
T493	KEY_C 4527 4529	If
T494	VARIABLE 4530 4556	the ProtocolDescriptorList
T495	CONDITION 4557 4581	describes a single stack
T496	KEY_C 4583 4585	it
T497	CONDITION 4586 4690	takes the form of a data element sequence in which each element of the sequence is a protocol descriptor
T498	STATEMENT 4583 4690	it takes the form of a data element sequence in which each element of the sequence is a protocol descriptor
T499	STATEMENT 4530 4581	the ProtocolDescriptorList describes a single stack
T500	CAUSE 4527 4581	If the ProtocolDescriptorList describes a single stack
T501	CAUSE_EFFECT_RELATION 4527 4690	If the ProtocolDescriptorList describes a single stack, it takes the form of a data element sequence in which each element of the sequence is a protocol descriptor
T502	ROOT_SENTENCE 4527 4691	If the ProtocolDescriptorList describes a single stack, it takes the form of a data element sequence in which each element of the sequence is a protocol descriptor.
T503	KEY_C 4693 4695	If
T504	VARIABLE 4696 4743	the AdditionalProtocolDescriptorLists attribute
T505	CONDITION 4744 4775	is included in a service record
T506	VARIABLE 4777 4813	the ProtocolDescriptorList attribute
T507	CONDITION 4814 4830	must be included
T508	STATEMENT 4777 4830	the ProtocolDescriptorList attribute must be included
T509	STATEMENT 4696 4775	the AdditionalProtocolDescriptorLists attribute is included in a service record
T510	CAUSE 4693 4775	If the AdditionalProtocolDescriptorLists attribute is included in a service record
T511	CAUSE_EFFECT_RELATION 4693 4830	If the AdditionalProtocolDescriptorLists attribute is included in a service record, the ProtocolDescriptorList attribute must be included
T512	ROOT_SENTENCE 4693 4831	If the AdditionalProtocolDescriptorLists attribute is included in a service record, the ProtocolDescriptorList attribute must be included.
T513	KEY_C 4833 4835	If
T514	VARIABLE 4836 4856	incompatible changes
T515	CONDITION 4857 4872	are made to SDP
T516	VARIABLE 4874 4898	the major version number
T517	CONDITION 4899 4918	will be incremented
T518	STATEMENT 4874 4918	the major version number will be incremented
T519	STATEMENT 4836 4872	incompatible changes are made to SDP
T520	CAUSE 4833 4872	If incompatible changes are made to SDP
T521	CAUSE_EFFECT_RELATION 4833 4918	If incompatible changes are made to SDP, the major version number will be incremented
T522	ROOT_SENTENCE 4833 4919	If incompatible changes are made to SDP, the major version number will be incremented.
T523	KEY_C 4921 4923	If
T524	VARIABLE 5065 5102	The attributes listed in this section
T525	CONDITION 5103 5117	are only valid
T526	KEY_C 5118 5120	if
T527	VARIABLE 5121 5153	the ServiceClassIDList attribute
T528	CONDITION 5154 5202	contains the BrowseGroupDescriptorServiceClassID
T529	STATEMENT 5121 5202	the ServiceClassIDList attribute contains the BrowseGroupDescriptorServiceClassID
T530	CAUSE 5118 5202	if the ServiceClassIDList attribute contains the BrowseGroupDescriptorServiceClassID
T531	STATEMENT 5065 5117	The attributes listed in this section are only valid
T532	CAUSE_EFFECT_RELATION 5065 5202	The attributes listed in this section are only valid if the ServiceClassIDList attribute contains the BrowseGroupDescriptorServiceClassID
T533	ROOT_SENTENCE 5065 5203	The attributes listed in this section are only valid if the ServiceClassIDList attribute contains the BrowseGroupDescriptorServiceClassID.
T534	KEY_C 5222 5224	if
T535	VARIABLE 5225 5234	a feature
T536	CONDITION 5235 5242	is used
T537	VARIABLE 5244 5246	it
T538	CONDITION 5247 5276	is used in a specified manner
T539	STATEMENT 5244 5276	it is used in a specified manner
T540	STATEMENT 5225 5242	a feature is used
T541	CAUSE 5222 5242	if a feature is used
T542	CAUSE_EFFECT_RELATION 5222 5276	if a feature is used, it is used in a specified manner
T543	VARIABLE 5205 5209	This
T544	CONDITION 5210 5220	means that
T545	NONE_CAUSAL 5205 5220	This means that
T546	ROOT_SENTENCE 5205 5277	This means that, if a feature is used, it is used in a specified manner.
T547	KEY_C 5279 5281	If
T548	VARIABLE 5282 5294	the acceptor
T549	CONDITION 5295 5348	operates according to several profiles simultaneously
T550	VARIABLE 5350 5362	this profile
T551	CONDITION 5363 5414	describes generic mechanisms for how to handle this
T552	STATEMENT 5350 5414	this profile describes generic mechanisms for how to handle this
T553	STATEMENT 5282 5348	the acceptor operates according to several profiles simultaneously
T554	CAUSE 5279 5348	If the acceptor operates according to several profiles simultaneously
T555	CAUSE_EFFECT_RELATION 5279 5414	If the acceptor operates according to several profiles simultaneously, this profile describes generic mechanisms for how to handle this
T556	ROOT_SENTENCE 5279 5415	If the acceptor operates according to several profiles simultaneously, this profile describes generic mechanisms for how to handle this.
T557	VARIABLE 5417 5425	A device
T558	CONDITION 5426 5472	may operate in multiple GAP roles concurrently
T559	KEY_C 5473 5475	if
T560	VARIABLE 5476 5503	supported by the Controller
T561	CAUSE 5473 5503	if supported by the Controller
T562	STATEMENT 5417 5472	A device may operate in multiple GAP roles concurrently
T563	CAUSE_EFFECT_RELATION 5417 5503	A device may operate in multiple GAP roles concurrently if supported by the Controller
T564	ROOT_SENTENCE 5417 5504	A device may operate in multiple GAP roles concurrently if supported by the Controller.
T565	KEY_C 5506 5508	If
T566	VARIABLE 5509 5524	a remote device
T567	CONDITION 5525 5557	has limited display capabilities
T568	VARIABLE 5559 5561	it
T569	CONDITION 5562 5598	may use only the first 20 characters
T570	STATEMENT 5559 5598	it may use only the first 20 characters
T571	STATEMENT 5509 5557	a remote device has limited display capabilities
T572	CAUSE 5506 5557	If a remote device has limited display capabilities
T573	CAUSE_EFFECT_RELATION 5506 5598	If a remote device has limited display capabilities, it may use only the first 20 characters
T574	ROOT_SENTENCE 5506 5599	If a remote device has limited display capabilities, it may use only the first 20 characters.
T575	KEY_C 5601 5603	If
T576	VARIABLE 5604 5611	the PIN
T577	CONDITION 5612 5639	contains any decimal digits
T578	VARIABLE 5640 5645	these
T579	CONDITION 5646 5728	shall be encoded using the Unicode Basic Latin characters (i.e., U+0030 to U+0039)
T580	STATEMENT 5640 5728	these shall be encoded using the Unicode Basic Latin characters (i.e., U+0030 to U+0039)
T581	STATEMENT 5604 5639	the PIN contains any decimal digits
T582	CAUSE 5601 5639	If the PIN contains any decimal digits
T583	CAUSE_EFFECT_RELATION 5601 5728	If the PIN contains any decimal digits these shall be encoded using the Unicode Basic Latin characters (i.e., U+0030 to U+0039)
T584	ROOT_SENTENCE 5601 5729	If the PIN contains any decimal digits these shall be encoded using the Unicode Basic Latin characters (i.e., U+0030 to U+0039).
T585	KEY_C 5731 5733	If
T586	VARIABLE 5734 5742	a string
T587	CONDITION 5743 5755	is displayed
T588	VARIABLE 5757 5768	this string
T589	CONDITION 5769 5843	should be translated into the language selected by the user for the device
T590	STATEMENT 5757 5843	this string should be translated into the language selected by the user for the device
T591	STATEMENT 5734 5755	a string is displayed
T592	CAUSE 5731 5755	If a string is displayed
T593	CAUSE_EFFECT_RELATION 5731 5843	If a string is displayed, this string should be translated into the language selected by the user for the device
T594	ROOT_SENTENCE 5731 5844	If a string is displayed, this string should be translated into the language selected by the user for the device.
T595	KEY_C 5846 5848	If
T596	VARIABLE 5849 5874	limited discoverable mode
T597	CONDITION 5875 5887	is supported
T598	VARIABLE 5889 5910	non-discoverable mode
T599	CONDITION 5911 5923	is mandatory
T600	STATEMENT 5889 5923	non-discoverable mode is mandatory
T601	STATEMENT 5849 5887	limited discoverable mode is supported
T602	CAUSE 5846 5887	If limited discoverable mode is supported
T603	NONE_CAUSAL 5925 5943	otherwise optional
T604	CAUSE_EFFECT_RELATION 5846 5923	If limited discoverable mode is supported, non-discoverable mode is mandatory
T605	ROOT_SENTENCE 5846 5944	If limited discoverable mode is supported, non-discoverable mode is mandatory, otherwise optional.
T606	KEY_C 5946 5948	If
T607	VARIABLE 5949 5977	two UUIDs of differing sizes
T608	CONDITION 5978 5996	are to be compared
T609	VARIABLE 5998 6014	the shorter UUID
T610	CONDITION 6015 6076	must be converted to the longer UUID format before comparison
T611	STATEMENT 5998 6076	the shorter UUID must be converted to the longer UUID format before comparison
T612	STATEMENT 5949 5996	two UUIDs of differing sizes are to be compared
T613	CAUSE 5946 5996	If two UUIDs of differing sizes are to be compared
T614	CAUSE_EFFECT_RELATION 5946 6076	If two UUIDs of differing sizes are to be compared, the shorter UUID must be converted to the longer UUID format before comparison
T615	ROOT_SENTENCE 5946 6077	If two UUIDs of differing sizes are to be compared, the shorter UUID must be converted to the longer UUID format before comparison.
T616	VARIABLE 6079 6105	The service search pattern
T617	CONDITION 6106 6113	matches
T618	KEY_C 6114 6116	if
T619	VARIABLE 6117 6129	the UUIDs it
T620	CONDITION 6130 6212	contains constitute a subset of the UUIDs in the service record’s attribute values
T621	STATEMENT 6117 6212	the UUIDs it contains constitute a subset of the UUIDs in the service record’s attribute values
T622	CAUSE 6114 6212	if the UUIDs it contains constitute a subset of the UUIDs in the service record’s attribute values
T623	STATEMENT 6079 6113	The service search pattern matches
T624	CAUSE_EFFECT_RELATION 6079 6212	The service search pattern matches if the UUIDs it contains constitute a subset of the UUIDs in the service record’s attribute values
T625	ROOT_SENTENCE 6079 6213	The service search pattern matches if the UUIDs it contains constitute a subset of the UUIDs in the service record’s attribute values.
T626	KEY_C 6215 6217	If
T627	VARIABLE 6218 6238	the current response
T628	CONDITION 6239 6250	is complete
T629	VARIABLE 6252 6266	this parameter
T630	CONDITION 6267 6309	consists of a single byte with the value 0
T631	STATEMENT 6252 6309	this parameter consists of a single byte with the value 0
T632	STATEMENT 6218 6250	the current response is complete
T633	CAUSE 6215 6250	If the current response is complete
T634	CAUSE_EFFECT_RELATION 6215 6309	If the current response is complete, this parameter consists of a single byte with the value 0
T635	ROOT_SENTENCE 6215 6310	If the current response is complete, this parameter consists of a single byte with the value 0.
T636	KEY_C 6312 6314	If
T637	VARIABLE 6315 6322	pairing
T638	CONDITION 6332 6339	succeed
T639	NEGATION 6323 6339	does not succeed
T640	STATEMENT 6315 6339	pairing does not succeed
T641	CAUSE 6312 6339	If pairing does not succeed
T642	VARIABLE 6341 6357	the local device
T643	CONDITION 6368 6404	send a channel establishment request
T644	NEGATION 6358 6404	shall not send a channel establishment request
T645	STATEMENT 6341 6404	the local device shall not send a channel establishment request
T646	CAUSE_EFFECT_RELATION 6312 6404	If pairing does not succeed, the local device shall not send a channel establishment request
T647	ROOT_SENTENCE 6312 6405	If pairing does not succeed, the local device shall not send a channel establishment request.
T648	KEY_C 6407 6409	If
T649	VARIABLE 6410 6444	the channel establishment protocol
T650	CONDITION 6445 6453	is L2CAP
T651	STATEMENT 6410 6453	the channel establishment protocol is L2CAP
T652	CAUSE 6407 6453	If the channel establishment protocol is L2CAP
T653	KEY_C 6455 6459	then
T654	VARIABLE 6460 6520	the result code 0x0003 (connection refused - security block)
T655	CONDITION 6521 6565	shall be sent in the L2CAP_ConnectRsp signal
T656	STATEMENT 6460 6565	the result code 0x0003 (connection refused - security block) shall be sent in the L2CAP_ConnectRsp signal
T657	EFFECT 6455 6565	then the result code 0x0003 (connection refused - security block) shall be sent in the L2CAP_ConnectRsp signal
T658	CAUSE_EFFECT_RELATION 6407 6565	If the channel establishment protocol is L2CAP, then the result code 0x0003 (connection refused - security block) shall be sent in the L2CAP_ConnectRsp signal
T659	ROOT_SENTENCE 6407 6566	If the channel establishment protocol is L2CAP, then the result code 0x0003 (connection refused - security block) shall be sent in the L2CAP_ConnectRsp signal.
T660	KEY_C 6568 6570	If
T661	VARIABLE 6571 6585	authentication
T662	CONDITION 6595 6602	succeed
T663	NEGATION 6586 6602	does not succeed
T664	STATEMENT 6571 6602	authentication does not succeed
T665	CAUSE 6568 6602	If authentication does not succeed
T666	KEY_C 6604 6608	then
T667	VARIABLE 6609 6625	the local device
T668	CONDITION 6636 6677	send a channel establishment confirmation
T669	NEGATION 6626 6677	shall not send a channel establishment confirmation
T670	STATEMENT 6609 6677	the local device shall not send a channel establishment confirmation
T671	EFFECT 6604 6677	then the local device shall not send a channel establishment confirmation
T672	CAUSE_EFFECT_RELATION 6568 6677	If authentication does not succeed, then the local device shall not send a channel establishment confirmation
T673	ROOT_SENTENCE 6568 6678	If authentication does not succeed, then the local device shall not send a channel establishment confirmation.
T674	KEY_C 6680 6682	If
T675	VARIABLE 6683 6696	either device
T676	CONDITION 6697 6733	has received OOB authentication data
T677	KEY_C 6734 6738	then
T678	VARIABLE 6739 6764	the OOB association model
T679	CONDITION 6765 6772	is used
T680	STATEMENT 6739 6772	the OOB association model is used
T681	EFFECT 6734 6772	then the OOB association model is used
T682	STATEMENT 6683 6733	either device has received OOB authentication data
T683	CAUSE 6680 6733	If either device has received OOB authentication data
T684	CAUSE_EFFECT_RELATION 6680 6772	If either device has received OOB authentication data then the OOB association model is used
T685	ROOT_SENTENCE 6680 6773	If either device has received OOB authentication data then the OOB association model is used.
T686	VARIABLE 7077 7108	A previously generated link key
T687	CONDITION 7109 7135	is considered “sufficient”
T688	KEY_C 7136 7138	if
T689	VARIABLE 7139 7156	the link key type
T690	CONDITION 7157 7196	is of the type required for the service
T691	CONDITION 7201 7221	of a higher strength
T692	OR 7157 7221	is of the type required for the service, or of a higher strength
T693	STATEMENT 7139 7221	the link key type is of the type required for the service, or of a higher strength
T694	CAUSE 7136 7221	if the link key type is of the type required for the service, or of a higher strength
T695	STATEMENT 7077 7135	A previously generated link key is considered “sufficient”
T696	CAUSE_EFFECT_RELATION 7077 7221	A previously generated link key is considered “sufficient” if the link key type is of the type required for the service, or of a higher strength
T697	ROOT_SENTENCE 7077 7222	A previously generated link key is considered “sufficient” if the link key type is of the type required for the service, or of a higher strength.
T698	VARIABLE 7224 7234	This field
T699	CONDITION 7235 7256	shall only be present
T700	KEY_C 7257 7259	if
T701	VARIABLE 7260 7326	the originator IEEE address sub-field of the command options field
T702	CONDITION 7327 7343	has a value of 1
T703	STATEMENT 7260 7343	the originator IEEE address sub-field of the command options field has a value of 1
T704	CAUSE 7257 7343	if the originator IEEE address sub-field of the command options field has a value of 1
T705	STATEMENT 7224 7256	This field shall only be present
T706	CAUSE_EFFECT_RELATION 7224 7343	This field shall only be present if the originator IEEE address sub-field of the command options field has a value of 1
T707	ROOT_SENTENCE 7224 7344	This field shall only be present if the originator IEEE address sub-field of the command options field has a value of 1.
T708	VARIABLE 7346 7370	The transmission options
T709	CONDITION 7381 7414	be set to require acknowledgement
T710	NEGATION 7371 7414	shall not be set to require acknowledgement
T711	STATEMENT 7346 7414	The transmission options shall not be set to require acknowledgement
T712	KEY_C 7415 7417	if
T713	VARIABLE 7418 7445	the destination MAC address
T714	CONDITION 7446 7477	is the broadcast address 0xffff
T715	STATEMENT 7418 7477	the destination MAC address is the broadcast address 0xffff
T716	CAUSE 7415 7477	if the destination MAC address is the broadcast address 0xffff
T717	CAUSE_EFFECT_RELATION 7346 7477	The transmission options shall not be set to require acknowledgement if the destination MAC address is the broadcast address 0xffff
T718	ROOT_SENTENCE 7346 7478	The transmission options shall not be set to require acknowledgement if the destination MAC address is the broadcast address 0xffff.
T723	KEY_C 8211 8213	If
T724	VARIABLE 8214 8241	the value of this sub-field
T725	CONDITION 8242 8246	is 1
T726	VARIABLE 8248 8298	the device that is leaving from its current parent
T727	CONDITION 8299 8322	will rejoin the network
T728	STATEMENT 8248 8322	the device that is leaving from its current parent will rejoin the network
T729	STATEMENT 8214 8246	the value of this sub-field is 1
T730	CAUSE 8211 8246	If the value of this sub-field is 1
T731	CAUSE_EFFECT_RELATION 8211 8322	If the value of this sub-field is 1, the device that is leaving from its current parent will rejoin the network
T732	ROOT_SENTENCE 8211 8323	If the value of this sub-field is 1, the device that is leaving from its current parent will rejoin the network.
T733	KEY_C 8325 8327	If
T734	VARIABLE 8328 8355	the value of this sub-field
T735	CONDITION 8356 8360	is 0
T736	VARIABLE 8362 8372	the device
T737	CONDITION 8382 8402	rejoin the net- work
T738	NEGATION 8373 8402	will not rejoin the net- work
T739	STATEMENT 8362 8402	the device will not rejoin the net- work
T740	STATEMENT 8328 8360	the value of this sub-field is 0
T741	CAUSE 8325 8360	If the value of this sub-field is 0
T742	CAUSE_EFFECT_RELATION 8325 8402	If the value of this sub-field is 0, the device will not rejoin the net- work
T743	ROOT_SENTENCE 8325 8403	If the value of this sub-field is 0, the device will not rejoin the net- work.
T744	KEY_C 8405 8407	If
T745	VARIABLE 8408 8435	the value of this sub-field
T746	CONDITION 8436 8440	is 1
T747	KEY_C 8442 8446	then
T748	VARIABLE 8447 8470	the leave command frame
T749	CONDITION 8471 8523	is a request for another device to leave the network
T750	STATEMENT 8447 8523	the leave command frame is a request for another device to leave the network
T751	EFFECT 8442 8523	then the leave command frame is a request for another device to leave the network
T752	STATEMENT 8408 8440	the value of this sub-field is 1
T753	CAUSE 8405 8440	If the value of this sub-field is 1
T754	CAUSE_EFFECT_RELATION 8405 8523	If the value of this sub-field is 1, then the leave command frame is a request for another device to leave the network
T755	ROOT_SENTENCE 8405 8524	If the value of this sub-field is 1, then the leave command frame is a request for another device to leave the network.
T756	KEY_C 8526 8528	If
T757	VARIABLE 8529 8556	the value of this sub-field
T758	CONDITION 8557 8561	is 0
T759	STATEMENT 8529 8561	the value of this sub-field is 0
T760	KEY_C 8563 8567	then
T761	VARIABLE 8568 8593	the leave com- mand frame
T762	CONDITION 8594 8610	is an indication
T763	VARIABLE 8616 8634	the sending device
T764	CONDITION 8635 8661	plans to leave the network
T765	STATEMENT 8616 8661	the sending device plans to leave the network
T766	EFFECT 8611 8661	that the sending device plans to leave the network
T767	STATEMENT 8568 8610	the leave com- mand frame is an indication
T768	EFFECT 8563 8610	then the leave com- mand frame is an indication
T769	AND 8563 8661	then the leave com- mand frame is an indication that the sending device plans to leave the network
T770	CAUSE 8526 8561	If the value of this sub-field is 0
T771	CAUSE_EFFECT_RELATION 8526 8661	If the value of this sub-field is 0, then the leave com- mand frame is an indication that the sending device plans to leave the network
T772	ROOT_SENTENCE 8526 8662	If the value of this sub-field is 0, then the leave com- mand frame is an indication that the sending device plans to leave the network.
T773	KEY_C 8664 8666	If
T774	VARIABLE 8667 8683	the local device
T775	CONDITION 8684 8706	knows the IEEE address
T776	KEY_C 8707 8711	then
T777	VARIABLE 8712 8721	the field
T778	CONDITION 8722 8739	shall be set to 1
T779	VARIABLE 8744 8780	the destination IEEE ad- dress field
T780	CONDITION 8781 8797	shall be present
T781	STATEMENT 8712 8739	the field shall be set to 1
T782	STATEMENT 8744 8797	the destination IEEE ad- dress field shall be present
T783	AND 8712 8797	the field shall be set to 1 and the destination IEEE ad- dress field shall be present
T784	EFFECT 8707 8797	then the field shall be set to 1 and the destination IEEE ad- dress field shall be present
T785	STATEMENT 8667 8706	the local device knows the IEEE address
T786	CAUSE 8664 8706	If the local device knows the IEEE address
T787	CAUSE_EFFECT_RELATION 8664 8797	If the local device knows the IEEE address then the field shall be set to 1 and the destination IEEE ad- dress field shall be present
T788	ROOT_SENTENCE 8664 8798	If the local device knows the IEEE address then the field shall be set to 1 and the destination IEEE ad- dress field shall be present.
T789	KEY_C 8800 8802	If
T790	VARIABLE 8803 8819	the route record
T791	CONDITION 8820 8935	is being initiated as a result of the relaying of a data frame on behalf of one of the device’s end device children
T792	VARIABLE 8937 8958	the initiating device
T793	CONDITION 8959 9021	will initialize this field with its own 16-bit network address
T794	STATEMENT 8937 9021	the initiating device will initialize this field with its own 16-bit network address
T795	STATEMENT 8803 8935	the route record is being initiated as a result of the relaying of a data frame on behalf of one of the device’s end device children
T796	CAUSE 8800 8935	If the route record is being initiated as a result of the relaying of a data frame on behalf of one of the device’s end device children
T797	ROOT_SENTENCE 8800 9022	If the route record is being initiated as a result of the relaying of a data frame on behalf of one of the device’s end device children, the initiating device will initialize this field with its own 16-bit network address.
T798	CAUSE_EFFECT_RELATION 8800 9021	If the route record is being initiated as a result of the relaying of a data frame on behalf of one of the device’s end device children, the initiating device will initialize this field with its own 16-bit network address
T799	VARIABLE 9182 9207	The first frame sub-field
T800	CONDITION 9208 9219	is set to 1
T801	KEY_C 9220 9222	if
T802	VARIABLE 9223 9227	this
T803	CONDITION 9228 9274	is the first frame of the sender's link status
T804	STATEMENT 9223 9274	this is the first frame of the sender's link status
T805	CAUSE 9220 9274	if this is the first frame of the sender's link status
T806	STATEMENT 9182 9219	The first frame sub-field is set to 1
T807	CAUSE_EFFECT_RELATION 9182 9274	The first frame sub-field is set to 1 if this is the first frame of the sender's link status
T808	ROOT_SENTENCE 9182 9275	The first frame sub-field is set to 1 if this is the first frame of the sender's link status.
T809	KEY_C 9478 9480	If
T810	VARIABLE 9481 9501	all router neighbors
T811	CONDITION 9509 9530	fit in a single frame
T812	NEGATION 9502 9530	do not fit in a single frame
T813	STATEMENT 9481 9530	all router neighbors do not fit in a single frame
T814	CAUSE 9478 9530	If all router neighbors do not fit in a single frame
T815	VARIABLE 9532 9547	multiple frames
T816	CONDITION 9548 9556	are sent
T817	STATEMENT 9532 9556	multiple frames are sent
T818	CAUSE_EFFECT_RELATION 9478 9556	If all router neighbors do not fit in a single frame, multiple frames are sent
T819	ROOT_SENTENCE 9478 9557	If all router neighbors do not fit in a single frame, multiple frames are sent.
T820	VARIABLE 9559 9624	The destination IEEE address sub-field of the frame control field
T821	CONDITION 9625 9642	shall be set to 1
T822	VARIABLE 9648 9682	the destination IEEE address field
T823	CONDITION 9683 9741	shall be set to the IEEE address of the prospective parent
T824	KEY_C 9743 9745	if
T825	VARIABLE 9746 9758	this address
T826	CONDITION 9759 9767	is known
T827	STATEMENT 9746 9767	this address is known
T828	CAUSE 9743 9767	if this address is known
T829	STATEMENT 9559 9642	The destination IEEE address sub-field of the frame control field shall be set to 1
T830	STATEMENT 9648 9741	the destination IEEE address field shall be set to the IEEE address of the prospective parent
T831	AND 9559 9741	The destination IEEE address sub-field of the frame control field shall be set to 1, and the destination IEEE address field shall be set to the IEEE address of the prospective parent
T832	CAUSE_EFFECT_RELATION 9559 9767	The destination IEEE address sub-field of the frame control field shall be set to 1, and the destination IEEE address field shall be set to the IEEE address of the prospective parent, if this address is known
T833	ROOT_SENTENCE 9559 9768	The destination IEEE address sub-field of the frame control field shall be set to 1, and the destination IEEE address field shall be set to the IEEE address of the prospective parent, if this address is known.
T834	KEY_C 9770 9772	If
T835	VARIABLE 9773 9825	the value of the Report Command Identifier sub-field
T836	CONDITION 9826 9868	indicates a PAN identifier conflict report
T837	KEY_C 9869 9873	then
T838	VARIABLE 9874 9902	the Report Information field
T839	CONDITION 9903 9944	will have the format shown in Figure 3.27
T840	STATEMENT 9874 9944	the Report Information field will have the format shown in Figure 3.27
T841	EFFECT 9869 9944	then the Report Information field will have the format shown in Figure 3.27
T842	STATEMENT 9773 9868	the value of the Report Command Identifier sub-field indicates a PAN identifier conflict report
T843	CAUSE 9770 9868	If the value of the Report Command Identifier sub-field indicates a PAN identifier conflict report
T844	CAUSE_EFFECT_RELATION 9770 9944	If the value of the Report Command Identifier sub-field indicates a PAN identifier conflict report then the Report Information field will have the format shown in Figure 3.27
T845	ROOT_SENTENCE 9770 9945	If the value of the Report Command Identifier sub-field indicates a PAN identifier conflict report then the Report Information field will have the format shown in Figure 3.27.
T846	VARIABLE 9947 9951	This
T847	CONDITION 9952 10031	allows the parent the ability to delete the child entry from the neighbor table
T848	KEY_C 10032 10034	if
T849	VARIABLE 10035 10044	the child
T850	CONDITION 10053 10113	communicated with the parent in the specified amount of time
T851	NEGATION 10045 10113	has not communicated with the parent in the specified amount of time
T852	STATEMENT 10035 10113	the child has not communicated with the parent in the specified amount of time
T853	CAUSE 10032 10113	if the child has not communicated with the parent in the specified amount of time
T854	STATEMENT 9947 10031	This allows the parent the ability to delete the child entry from the neighbor table
T855	CAUSE_EFFECT_RELATION 9947 10113	This allows the parent the ability to delete the child entry from the neighbor table if the child has not communicated with the parent in the specified amount of time
T856	ROOT_SENTENCE 9947 10114	This allows the parent the ability to delete the child entry from the neighbor table if the child has not communicated with the parent in the specified amount of time.
T857	VARIABLE 10116 10125	This scan
T858	CONDITION 10133 10142	necessary
T859	KEY_C 10143 10145	if
T860	VARIABLE 10146 10154	there is
T861	CONDITION 10155 10181	only one channel specified
T862	STATEMENT 10146 10181	there is only one channel specified
T863	CAUSE 10143 10181	if there is only one channel specified
T864	NEGATION 10126 10142	is not necessary
T865	STATEMENT 10116 10142	This scan is not necessary
T866	CAUSE_EFFECT_RELATION 10116 10181	This scan is not necessary if there is only one channel specified
